Salt Lake County, Utah December Palmer Modified Drought Index (PMDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.57,-3.69
199002,-4.01,-4.28
199003,-4.27,-4.57
199004,-4.22,-4.50
199005,-3.76,-4.12
199006,-3.21,-3.46
199007,-3.17,-3.44
199008,-3.17,-3.41
199009,-3.02,-3.30
199010,-2.91,-3.19
199011,-2.71,-2.90
199012,-2.88,-2.93
199101,-3.08,-3.20
199102,-3.49,-3.76
199103,-3.34,-3.64
199104,-1.67,-1.95
199105,0.30,-0.06
199106,0.65,0.40
199107,0.79,0.52
199108,1.10,0.86
199109,1.88,1.60
199110,1.96,1.68
199111,2.37,2.18
199112,0.99,0.94
199201,-0.54,-0.66
199202,-0.78,-1.05
199203,-1.74,-2.04
199204,-2.53,-2.81
199205,-2.75,-3.11
199206,-2.90,-3.15
199207,-2.87,-3.14
199208,-3.03,-3.27
199209,-2.94,-3.22
199210,-2.32,-2.60
199211,-0.96,-1.15
199212,0.00,-0.05
199301,2.08,1.96
199302,2.49,2.22
199303,2.10,1.80
199304,1.62,1.34
199305,2.68,2.32
199306,3.13,2.88
199307,4.21,3.94
199308,4.44,4.20
199309,3.48,3.20
199310,4.04,3.76
199311,3.06,2.87
199312,1.75,1.70
199401,0.50,0.38
199402,1.19,0.92
199403,0.22,-0.08
199404,0.44,0.16
199405,-0.25,-0.61
199406,-1.45,-1.70
199407,-2.43,-2.70
199408,-2.52,-2.76
199409,-2.54,-2.82
199410,-0.16,-0.44
199411,1.88,1.69
199412,1.93,1.88
199501,2.64,2.52
199502,1.65,1.38
199503,2.73,2.43
199504,2.55,2.27
199505,4.27,3.91
199506,4.59,4.34
199507,5.14,4.87
199508,4.73,4.49
199509,4.30,4.02
199510,2.98,2.70
199511,1.22,1.03
199512,0.55,0.50
199601,2.10,1.98
199602,2.70,2.43
199603,2.83,2.53
199604,2.67,2.39
199605,2.38,2.02
199606,1.07,0.82
199607,-0.54,-0.81
199608,-1.78,-2.02
199609,-0.82,-1.10
199610,-0.16,-0.44
199611,0.81,0.62
199612,1.54,1.49
199701,2.84,2.72
199702,2.75,2.48
199703,0.69,0.39
199704,1.06,0.78
199705,0.84,0.48
199706,1.51,1.26
199707,1.68,1.41
199708,1.91,1.67
199709,2.41,2.13
199710,2.46,2.18
199711,1.32,1.13
199712,0.13,0.08
199801,0.80,0.68
199802,2.75,2.48
199803,2.72,2.42
199804,2.49,2.21
199805,2.56,2.20
199806,4.09,3.84
199807,4.92,4.65
199808,4.89,4.65
199809,4.55,4.27
199810,4.36,4.08
199811,3.46,3.27
199812,2.05,2.00
199901,2.10,1.98
199902,2.16,1.89
199903,0.30,0.00
199904,2.44,2.16
199905,3.16,2.80
199906,3.09,2.84
199907,3.25,2.98
199908,3.06,2.82
199909,2.06,1.78
199910,-0.16,-0.44
199911,-2.07,-2.26
199912,-2.41,-2.46
200001,-2.32,-2.44
200002,-1.33,-1.60
200003,-1.68,-1.98
200004,-2.44,-2.72
200005,-2.44,-2.80
200006,-2.87,-3.12
200007,-3.53,-3.80
200008,-2.56,-2.80
200009,-1.56,-1.84
200010,-0.35,-0.63
200011,-0.35,-0.54
200012,-0.69,-0.74
200101,-1.62,-1.74
200102,-1.99,-2.26
200103,-2.41,-2.71
200104,-1.02,-1.30
200105,-2.40,-2.76
200106,-2.76,-3.01
200107,-3.06,-3.33
200108,-3.13,-3.37
200109,-3.46,-3.74
200110,-3.37,-3.65
200111,-1.42,-1.61
200112,-0.91,-0.96
200201,-1.18,-1.30
200202,-1.92,-2.19
200203,-0.95,-1.25
200204,-1.09,-1.37
200205,-1.52,-1.88
200206,-2.30,-2.55
200207,-3.03,-3.30
200208,-3.63,-3.87
200209,-1.45,-1.73
200210,-1.30,-1.58
200211,-1.90,-2.09
200212,-2.76,-2.81
200301,-3.60,-3.72
200302,-3.92,-4.19
200303,-4.22,-4.52
200304,-4.01,-4.29
200305,-3.37,-3.73
200306,-2.47,-2.72
200307,-2.79,-3.06
200308,-3.20,-3.44
200309,-3.10,-3.38
200310,-3.62,-3.90
200311,-2.29,-2.48
200312,-0.01,-0.06
200401,0.20,0.08
200402,1.60,1.33
200403,-0.32,-0.62
200404,-0.52,-0.80
200405,-0.77,-1.13
200406,-0.80,-1.05
200407,-0.92,-1.19
200408,-0.98,-1.22
200409,-0.90,-1.18
200410,1.89,1.61
200411,1.90,1.71
200412,2.08,2.03
200501,2.73,2.61
200502,2.68,2.41
200503,2.94,2.64
200504,2.84,2.56
200505,3.57,3.21
200506,3.73,3.48
200507,3.62,3.35
200508,2.37,2.13
200509,1.25,0.97
200510,0.78,0.50
200511,-0.06,-0.25
200512,0.34,0.29
200601,1.08,0.96
200602,0.70,0.43
200603,2.18,1.88
200604,2.26,1.98
200605,0.94,0.58
200606,-0.15,-0.40
200607,-1.44,-1.71
200608,-1.45,-1.69
200609,0.79,0.51
200610,1.12,0.84
200611,0.57,0.38
200612,-0.46,-0.51
200701,-1.12,-1.24
200702,-1.09,-1.36
200703,-1.62,-1.92
200704,-2.17,-2.45
200705,-2.57,-2.93
200706,-2.66,-2.91
200707,-3.02,-3.29
200708,-3.35,-3.59
200709,-2.23,-2.51
200710,-1.25,-1.53
200711,-2.82,-3.01
200712,-1.53,-1.58
200801,-0.42,-0.54
200802,0.78,0.51
200803,0.03,-0.27
200804,-0.57,-0.85
200805,-0.21,-0.57
200806,-0.09,-0.34
200807,-0.68,-0.95
200808,-1.12,-1.36
200809,-0.94,-1.22
200810,-1.27,-1.55
200811,-1.63,-1.82
200812,-1.22,-1.27
200901,-0.10,-0.22
200902,0.12,-0.15
200903,0.19,-0.11
200904,1.01,0.73
200905,0.00,-0.36
200906,1.78,1.53
200907,2.05,1.78
200908,1.07,0.83
200909,0.66,0.38
200910,0.85,0.57
200911,-1.04,-1.23
200912,-1.13,-1.18
201001,-1.64,-1.76
201002,-2.25,-2.52
201003,-2.59,-2.89
201004,-0.94,-1.22
201005,1.49,1.13
201006,1.55,1.30
201007,1.46,1.19
201008,1.52,1.28
201009,-0.17,-0.45
201010,1.02,0.74
201011,1.71,1.52
201012,3.19,3.14
201101,3.09,2.97
201102,3.11,2.84
201103,3.18,2.88
201104,4.16,3.88
201105,5.51,5.15
201106,5.17,4.92
201107,5.09,4.82
201108,4.88,4.64
201109,3.42,3.14
201110,3.08,2.80
201111,2.38,2.19
201112,0.09,0.04
201201,-0.57,-0.69
201202,-1.41,-1.68
201203,-2.39,-2.69
201204,-2.46,-2.74
201205,-2.65,-3.01
201206,-3.18,-3.43
201207,-3.59,-3.86
201208,-4.09,-4.33
201209,-3.94,-4.22
201210,-3.67,-3.95
201211,-3.80,-3.99
201212,-3.03,-3.08
201301,-3.12,-3.24
201302,-3.33,-3.60
201303,-3.79,-4.09
201304,-2.97,-3.25
201305,-2.69,-3.05
201306,-3.28,-3.53
201307,-3.29,-3.56
201308,-3.46,-3.70
201309,-1.82,-2.10
201310,-1.39,-1.67
201311,-2.70,-2.89
201312,-2.75,-2.80
201401,-3.15,-3.27
201402,-2.92,-3.19
201403,-2.93,-3.23
201404,-2.92,-3.20
201405,-2.94,-3.30
201406,-2.80,-3.05
201407,-2.79,-3.06
201408,-0.31,-0.55
201409,1.84,1.56
201410,-0.63,-0.91
201411,-1.25,-1.44
201412,-1.06,-1.11
201501,-1.65,-1.77
201502,-2.68,-2.95
201503,-4.00,-4.30
201504,-3.94,-4.22
201505,-1.14,-1.50
201506,-1.38,-1.63
201507,-0.99,-1.26
201508,-0.19,-0.43
201509,0.19,-0.09
201510,-0.55,-0.83
201511,-1.23,-1.42
201512,-0.66,-0.71
201601,-0.07,-0.19
201602,-0.64,-0.91
201603,-0.69,-0.99
201604,-0.66,-0.94
201605,-0.38,-0.74
201606,-0.83,-1.08
201607,-2.33,-2.60
201608,-3.01,-3.25
201609,-1.12,-1.40
201610,-1.54,-1.82
201611,-1.99,-2.18
201612,-1.33,-1.38
201701,0.74,0.62
201702,1.64,1.37
201703,0.97,0.67
201704,1.65,1.37
201705,0.23,-0.13
201706,-1.04,-1.29
201707,-1.68,-1.95
201708,-2.29,-2.53
201709,-0.28,-0.56
201710,-1.69,-1.97
201711,-2.46,-2.65
201712,-2.95,-3.00
201801,-3.67,-3.79
201802,-4.26,-4.53
201803,-4.42,-4.72
201804,-4.26,-4.54
201805,-4.09,-4.45
201806,-4.42,-4.67
201807,-5.13,-5.40
201808,-5.25,-5.49
201809,-5.63,-5.91
201810,-3.37,-3.65
201811,-3.02,-3.21
201812,-2.70,-2.75
201901,-1.05,-1.17
201902,0.74,0.47
201903,2.54,2.24
201904,2.83,2.55
201905,3.86,3.50
201906,2.94,2.69
201907,2.04,1.77
201908,0.61,0.37
201909,1.54,1.26
201910,0.90,0.62
201911,-0.28,-0.47
201912,-0.66,-0.71
202001,-0.68,-0.80
202002,-0.84,-1.11
202003,-1.12,-1.42
202004,-1.84,-2.12
202005,-2.49,-2.85
202006,-1.98,-2.23
202007,-2.66,-2.93
202008,-3.46,-3.70
202009,-3.83,-4.11
202010,-4.26,-4.54
202011,-4.43,-4.62
202012,-4.84,-4.89
202101,-5.35,-5.47
202102,-5.06,-5.33
202103,-5.23,-5.53
202104,-5.04,-5.32
202105,-5.16,-5.52
202106,-5.52,-5.77
202107,-5.93,-6.20
202108,-3.06,-3.30
202109,-3.81,-4.09
202110,-0.75,-1.03
202111,-1.90,-2.09
202112,-0.50,-0.55
202201,-0.76,-0.88
202202,-1.62,-1.89
202203,-2.07,-2.37
202204,-2.19,-2.47
202205,-1.42,-1.78
202206,-1.52,-1.77
202207,-1.86,-2.13
202208,-1.26,-1.50
202209,-1.49,-1.77
202210,-1.87,-2.15
202211,-0.91,-1.10
202212,0.58,0.53
202301,2.36,2.24
202302,2.41,2.14
202303,3.96,3.66
202304,3.40,3.12
202305,1.85,1.49
202306,1.36,1.11
202307,0.02,-0.25
202308,0.99,0.75
202309,0.79,0.51
202310,0.69,0.41
202311,-0.11,-0.30
202312,-0.99,-1.04
202401,-0.91,-1.03
202402,0.84,0.57
202403,1.22,0.92
