Salt Lake County, Utah December Palmer Z-Index
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-2.27,-2.44
199002,-2.43,-2.61
199003,-2.00,-2.13
199004,-1.18,-1.20
199005,-0.05,-0.30
199006,0.14,0.16
199007,-0.50,-0.62
199008,-0.95,-1.03
199009,-0.51,-0.71
199010,-0.63,-0.75
199011,-0.28,-0.17
199012,-1.36,-1.21
199101,-1.48,-1.65
199102,-2.17,-2.35
199103,-0.63,-0.76
199104,1.72,1.70
199105,2.32,2.07
199106,0.37,0.39
199107,0.16,0.04
199108,0.49,0.41
199109,2.30,2.10
199110,0.83,0.71
199111,1.84,1.95
199112,-1.39,-1.24
199201,-1.75,-1.92
199202,-0.26,-0.44
199203,-2.57,-2.70
199204,-2.90,-2.92
199205,-1.46,-1.71
199206,-1.29,-1.27
199207,-0.82,-0.94
199208,-1.34,-1.42
199209,-0.68,-0.88
199210,0.35,0.23
199211,1.40,1.51
199212,1.03,1.18
199301,3.93,3.76
199302,1.87,1.69
199303,-0.09,-0.22
199304,-0.24,-0.26
199305,2.95,2.70
199306,2.18,2.20
199307,4.19,4.07
199308,1.99,1.91
199309,-0.62,-0.82
199310,1.96,1.84
199311,-0.70,-0.59
199312,-1.27,-1.12
199401,-1.33,-1.50
199402,1.26,1.08
199403,-1.09,-1.22
199404,0.54,0.52
199405,-0.86,-1.11
199406,-2.27,-2.25
199407,-3.40,-3.52
199408,-1.01,-1.09
199409,-0.85,-1.05
199410,2.70,2.58
199411,3.22,3.33
199412,0.74,0.89
199501,2.73,2.56
199502,-0.87,-1.05
199503,2.60,2.47
199504,0.31,0.29
199505,5.94,5.69
199506,2.28,2.30
199507,3.08,2.96
199508,0.36,0.28
199509,0.16,-0.04
199510,-1.14,-1.26
199511,-1.90,-1.79
199512,-0.58,-0.43
199601,2.55,2.38
199602,1.39,1.21
199603,0.80,0.67
199604,0.38,0.36
199605,0.07,-0.18
199606,-1.32,-1.30
199607,-1.86,-1.98
199608,-2.62,-2.70
199609,0.87,0.67
199610,0.58,0.46
199611,1.20,1.31
199612,2.44,2.59
199701,4.39,4.22
199702,0.60,0.42
199703,-2.28,-2.41
199704,0.77,0.75
199705,0.00,-0.25
199706,1.24,1.26
199707,0.61,0.49
199708,0.71,0.63
199709,2.09,1.89
199710,0.90,0.78
199711,-1.07,-0.96
199712,-1.26,-1.11
199801,1.08,0.91
199802,4.29,4.11
199803,0.77,0.64
199804,0.15,0.13
199805,0.97,0.72
199806,5.40,5.42
199807,3.74,3.62
199808,1.43,1.35
199809,0.50,0.30
199810,0.82,0.70
199811,-0.55,-0.44
199812,-1.36,-1.21
199901,0.55,0.38
199902,0.56,0.38
199903,-2.24,-2.37
199904,3.46,3.44
199905,2.40,2.15
199906,0.77,0.79
199907,1.43,1.31
199908,0.42,0.34
199909,-0.84,-1.04
199910,-2.59,-2.71
199911,-3.20,-3.09
199912,-1.68,-1.53
200001,-0.46,-0.63
200002,0.88,0.70
200003,-0.77,-0.90
200004,-2.33,-2.35
200005,-0.76,-1.01
200006,-2.04,-2.02
200007,-2.88,-3.00
200008,0.75,0.67
200009,0.89,0.69
200010,1.31,1.19
200011,-0.23,-0.12
200012,-0.73,-0.58
200101,-1.74,-1.91
200102,-0.95,-1.13
200103,-1.44,-1.57
200104,1.41,1.39
200105,-2.66,-2.91
200106,-1.82,-1.80
200107,-1.76,-1.88
200108,-1.13,-1.21
200109,-1.98,-2.18
200110,-0.79,-0.91
200111,2.11,2.22
200112,0.33,0.48
200201,-0.68,-0.85
200202,-1.43,-1.61
200203,0.99,0.86
200204,-0.50,-0.52
200205,-1.00,-1.25
200206,-1.91,-1.89
200207,-2.90,-3.02
200208,-2.73,-2.81
200209,2.40,2.20
200210,-0.19,-0.31
200211,-1.22,-1.11
200212,-1.74,-1.59
200301,-3.35,-3.52
200302,-2.08,-2.26
200303,-2.12,-2.25
200304,-0.68,-0.70
200305,0.24,-0.01
200306,0.66,0.68
200307,-0.94,-1.06
200308,-1.67,-1.75
200309,-0.70,-0.90
200310,-2.50,-2.62
200311,1.23,1.34
200312,2.68,2.83
200401,0.12,-0.05
200402,1.93,1.75
200403,-2.83,-2.96
200404,-0.52,-0.54
200405,-0.65,-0.90
200406,-0.36,-0.34
200407,-0.62,-0.74
200408,-0.50,-0.58
