Salt Lake County, Utah January-December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,17.52,-4.54
199002,16.66,-5.42
199003,16.35,-5.75
199004,16.92,-5.15
199005,17.31,-4.78
199006,17.90,-4.19
199007,17.68,-4.41
199008,17.46,-4.65
199009,17.26,-4.85
199010,16.84,-5.28
199011,17.55,-4.54
199012,18.65,-3.45
199101,18.49,-3.57
199102,18.25,-3.83
199103,18.33,-3.77
199104,19.74,-2.33
199105,21.21,-0.88
199106,21.10,-0.99
199107,20.77,-1.32
199108,21.50,-0.61
199109,22.80,0.69
199110,23.76,1.64
199111,24.75,2.66
199112,24.07,1.97
199201,23.23,1.17
199202,24.32,2.24
199203,23.17,1.07
199204,20.69,-1.38
199205,19.11,-2.98
199206,18.90,-3.19
199207,19.60,-2.49
199208,18.70,-3.41
199209,17.10,-5.01
199210,16.99,-5.13
199211,16.63,-5.46
199212,18.61,-3.49
199301,21.96,-0.10
199302,22.54,0.46
199303,23.76,1.66
199304,24.84,2.77
199305,27.47,5.38
199306,28.74,6.65
199307,29.59,7.50
199308,29.81,7.70
199309,29.37,7.26
199310,30.03,7.91
199311,28.09,6.00
199312,26.42,4.32
199401,23.57,1.51
199402,23.68,1.60
199403,23.29,1.19
199404,24.28,2.21
199405,21.55,-0.54
199406,19.32,-2.77
199407,17.58,-4.51
199408,17.98,-4.13
199409,18.52,-3.59
199410,19.14,-2.98
199411,21.89,-0.20
199412,22.60,0.50
199501,24.27,2.21
199502,22.88,0.80
199503,25.05,2.95
199504,24.50,2.43
199505,28.74,6.65
199506,31.06,8.97
199507,32.05,9.96
199508,31.48,9.37
199509,31.73,9.62
199510,29.06,6.94
199511,26.80,4.71
199512,27.37,5.27
199601,28.84,6.78
199602,29.80,7.72
199603,28.63,6.53
199604,28.83,6.76
199605,24.92,2.83
199606,22.88,0.79
199607,22.33,0.24
199608,21.83,-0.28
199609,22.29,0.18
199610,23.59,1.47
199611,25.28,3.19
199612,26.70,4.60
199701,26.38,4.32
199702,25.86,3.78
199703,23.95,1.85
199704,23.98,1.91
199705,24.21,2.12
199706,25.88,3.79
199707,26.16,4.07
199708,27.37,5.26
199709,28.07,5.96
199710,28.25,6.13
199711,26.51,4.42
199712,24.17,2.07
199801,23.38,1.32
199802,25.85,3.77
199803,27.57,5.47
199804,27.25,5.18
199805,27.63,5.54
199806,30.08,7.99
199807,30.38,8.29
199808,29.99,7.88
199809,28.97,6.86
199810,28.78,6.66
199811,29.17,7.08
199812,28.95,6.85
199901,28.43,6.37
199902,26.14,4.06
199903,24.48,2.38
199904,26.74,4.67
199905,27.62,5.53
199906,24.67,2.58
199907,24.46,2.37
199908,24.67,2.56
199909,23.90,1.79
199910,21.93,-0.19
199911,20.91,-1.18
199912,21.45,-0.65
200001,21.64,-0.42
200002,22.85,0.77
200003,23.58,1.48
200004,20.09,-1.98
200005,18.51,-3.58
200006,17.30,-4.79
200007,16.69,-5.40
200008,17.61,-4.50
200009,18.83,-3.28
200010,21.35,-0.77
200011,22.19,0.10
200012,22.09,-0.01
200101,20.09,-1.97
200102,18.32,-3.76
200103,18.14,-3.96
200104,20.56,-1.51
200105,19.05,-3.04
200106,19.56,-2.53
200107,20.15,-1.94
200108,19.08,-3.03
200109,17.63,-4.48
200110,16.41,-5.71
200111,18.89,-3.20
200112,19.44,-2.66
200201,19.60,-2.46
200202,18.68,-3.40
200203,19.70,-2.40
200204,18.41,-3.66
200205,19.33,-2.76
200206,18.75,-3.34
200207,18.20,-3.89
200208,17.37,-4.74
200209,19.69,-2.42
200210,19.68,-2.44
200211,17.00,-5.09
200212,16.15,-5.95
200301,15.91,-6.15
200302,16.96,-5.12
200303,16.28,-5.82
200304,15.99,-6.08
200305,16.98,-5.11
200306,18.33,-3.76
200307,18.18,-3.91
200308,18.79,-3.32
200309,17.02,-5.09
200310,16.10,-6.02
200311,17.70,-4.39
200312,20.44,-1.66
200401,20.69,-1.37
200402,21.82,-0.26
200403,20.89,-1.21
200404,21.18,-0.89
200405,20.45,-1.64
200406,19.96,-2.13
200407,20.57,-1.52
200408,20.69,-1.42
200409,20.83,-1.28
200410,25.96,3.84
200411,24.61,2.52
200412,22.62,0.52
200501,24.40,2.34
200502,23.66,1.58
200503,26.05,3.95
200504,26.69,4.62
200505,29.34,7.25
200506,30.22,8.13
200507,29.45,7.36
200508,29.25,7.14
200509,28.80,6.69
200510,24.80,2.68
200511,25.07,2.98
200512,26.08,3.98
200601,26.17,4.11
200602,25.46,3.38
200603,25.93,3.83
200604,26.31,4.24
200605,23.39,1.30
200606,22.32,0.23
200607,22.75,0.66
200608,23.29,1.18
200609,25.20,3.09
200610,26.02,3.90
200611,26.06,3.97
200612,24.37,2.27
200701,22.19,0.13
200702,23.18,1.10
200703,20.77,-1.33
200704,18.54,-3.53
200705,18.28,-3.81
200706,18.69,-3.40
200707,18.97,-3.12
200708,18.35,-3.76
200709,17.71,-4.40
200710,17.65,-4.47
200711,16.21,-5.88
200712,18.50,-3.60
200801,20.62,-1.44
200802,20.76,-1.32
200803,20.60,-1.50
200804,20.76,-1.31
200805,21.73,-0.36
200806,21.50,-0.59
200807,20.76,-1.33
200808,21.02,-1.09
200809,20.40,-1.71
200810,19.29,-2.83
200811,20.93,-1.16
200812,19.93,-2.17
200901,19.97,-2.09
200902,19.17,-2.91
200903,20.13,-1.97
200904,22.82,0.75
200905,22.42,0.33
200906,24.95,2.86
200907,25.30,3.21
200908,24.94,2.83
200909,24.88,2.77
200910,25.33,3.21
200911,23.67,1.58
200912,23.30,1.20
201001,21.76,-0.30
201002,21.03,-1.05
201003,20.55,-1.55
201004,20.24,-1.83
201005,22.27,0.18
201006,20.04,-2.05
201007,19.94,-2.15
201008,20.91,-1.20
201009,20.04,-2.07
201010,21.32,-0.80
201011,23.96,1.87
201012,26.98,4.88
201101,27.07,5.01
201102,28.30,6.22
201103,29.63,7.53
201104,31.05,8.98
201105,32.81,10.72
201106,32.80,10.71
201107,33.31,11.22
201108,33.28,11.17
201109,33.49,11.38
201110,32.42,10.30
201111,31.22,9.13
201112,26.20,4.10
201201,27.15,5.09
201202,26.52,4.44
201203,24.64,2.54
201204,21.75,-0.32
201205,17.50,-4.59
201206,16.15,-5.94
201207,16.24,-5.85
201208,15.10,-7.01
201209,15.55,-6.56
201210,15.19,-6.93
201211,15.04,-7.05
201212,17.75,-4.35
201301,17.14,-4.92
201302,16.53,-5.55
201303,16.17,-5.93
201304,16.66,-5.41
201305,17.48,-4.61
201306,17.49,-4.60
201307,18.08,-4.01
201308,18.46,-3.65
201309,19.77,-2.34
201310,19.87,-2.25
201311,19.05,-3.04
201312,18.11,-3.99
201401,17.63,-4.43
201402,19.35,-2.73
201403,20.47,-1.63
201404,19.71,-2.36
201405,19.20,-2.89
201406,20.27,-1.82
201407,19.66,-2.43
201408,21.64,-0.47
201409,22.39,0.28
201410,20.89,-1.23
201411,21.45,-0.64
201412,22.03,-0.07
201501,21.77,-0.29
201502,19.64,-2.44
201503,18.40,-3.70
201504,18.68,-3.39
201505,22.14,0.05
201506,21.85,-0.24
201507,22.18,0.09
201508,21.03,-1.08
201509,19.56,-2.55
