San Juan County, Utah January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,53.7,2.0
199002,53.9,2.2
199003,53.7,2.0
199004,53.5,1.8
199005,53.2,1.5
199006,53.6,1.9
199007,53.5,1.8
199008,53.6,1.9
199009,53.7,2.0
199010,53.7,2.0
199011,53.5,1.8
199012,52.8,1.1
199101,52.3,0.6
199102,52.4,0.7
199103,51.9,0.2
199104,51.4,-0.3
199105,51.4,-0.3
199106,50.9,-0.8
199107,50.9,-0.8
199108,50.9,-0.8
199109,50.8,-0.9
199110,51.0,-0.7
199111,50.9,-0.8
199112,51.3,-0.4
199201,51.6,-0.1
199202,51.7,0.0
199203,52.1,0.4
199204,52.8,1.1
199205,53.0,1.3
199206,53.0,1.3
199207,52.8,1.1
199208,52.8,1.1
199209,52.8,1.1
199210,52.9,1.2
199211,52.6,0.9
199212,52.4,0.7
199301,52.8,1.1
199302,52.7,1.0
199303,52.7,1.0
199304,52.2,0.5
199305,52.2,0.5
199306,52.1,0.4
199307,52.2,0.5
199308,52.1,0.4
199309,52.0,0.3
199310,51.5,-0.2
199311,51.6,-0.1
199312,52.0,0.3
199401,52.0,0.3
199402,51.8,0.1
199403,52.0,0.3
199404,52.1,0.4
199405,52.1,0.4
199406,52.7,1.0
199407,53.1,1.4
199408,53.5,1.8
199409,53.7,2.0
199410,53.7,2.0
199411,53.7,2.0
199412,53.9,2.2
199501,53.9,2.2
199502,54.7,3.0
199503,54.5,2.8
199504,54.3,2.6
199505,53.8,2.1
199506,53.0,1.3
199507,52.7,1.0
199508,52.6,0.9
199509,52.6,0.9
199510,52.8,1.1
199511,53.5,1.8
199512,53.6,1.9
199601,53.6,1.9
199602,53.3,1.6
199603,53.3,1.6
199604,53.6,1.9
199605,54.3,2.6
199606,54.9,3.2
199607,55.3,3.6
199608,55.3,3.6
199609,55.0,3.3
199610,54.8,3.1
199611,54.5,2.8
199612,54.3,2.6
199701,54.2,2.5
199702,53.7,2.0
199703,53.9,2.2
199704,53.5,1.8
199705,53.4,1.7
199706,53.1,1.4
199707,52.7,1.0
199708,52.4,0.7
199709,52.7,1.0
199710,52.7,1.0
199711,52.7,1.0
199712,52.5,0.8
199801,52.8,1.1
199802,52.8,1.1
199803,52.5,0.8
199804,52.5,0.8
199805,52.2,0.5
199806,51.9,0.2
199807,52.2,0.5
199808,52.5,0.8
199809,52.6,0.9
199810,52.7,1.0
199811,52.7,1.0
199812,52.8,1.1
199901,53.0,1.3
199902,53.3,1.6
199903,53.7,2.0
199904,53.7,2.0
199905,53.6,1.9
199906,53.8,2.1
199907,53.6,1.9
199908,53.2,1.5
199909,52.9,1.2
199910,53.1,1.4
199911,53.4,1.7
199912,53.4,1.7
200001,53.3,1.6
200002,53.4,1.7
200003,52.9,1.2
200004,53.7,2.0
200005,54.3,2.6
200006,54.6,2.9
200007,54.7,3.0
200008,55.2,3.5
200009,55.5,3.8
200010,55.3,3.6
200011,54.5,2.8
200012,54.6,2.9
200101,54.3,2.6
200102,54.1,2.4
200103,54.3,2.6
200104,54.0,2.3
200105,53.9,2.2
200106,53.8,2.1
200107,53.7,2.0
200108,53.4,1.7
200109,53.6,1.9
200110,53.8,2.1
200111,54.6,2.9
200112,54.2,2.5
200201,54.2,2.5
200202,53.9,2.2
200203,53.6,1.9
200204,53.9,2.2
200205,53.7,2.0
200206,53.9,2.2
200207,54.2,2.5
