San Juan County, Utah January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,957,116
199002,957,116
199003,957,116
199004,950,109
199005,923,81
199006,1028,185
199007,987,143
199008,1019,173
199009,1056,209
199010,1056,209
199011,1056,209
199012,1056,209
199101,1056,215
199102,1056,215
199103,1056,215
199104,1049,208
199105,1043,201
199106,913,70
199107,894,50
199108,917,71
199109,872,25
199110,878,31
199111,878,31
199112,878,31
199201,878,37
199202,878,37
199203,878,37
199204,893,52
199205,917,75
199206,916,73
199207,833,-11
199208,813,-33
199209,816,-31
199210,819,-28
199211,819,-28
199212,819,-28
199301,819,-22
199302,819,-22
199303,819,-22
199304,804,-37
199305,796,-46
199306,783,-60
199307,827,-17
199308,782,-64
199309,760,-87
199310,751,-96
199311,751,-96
199312,751,-96
199401,751,-90
199402,751,-90
199403,751,-90
199404,751,-90
199405,759,-83
199406,938,95
199407,1061,217
199408,1227,381
199409,1266,419
199410,1266,419
199411,1266,419
199412,1266,419
199501,1266,425
199502,1266,425
199503,1266,425
199504,1266,425
199505,1232,390
199506,1022,179
199507,910,66
199508,882,36
199509,881,34
199510,881,34
199511,881,34
199512,881,34
199601,881,40
199602,881,40
199603,881,40
199604,881,40
199605,956,114
199606,1112,269
199607,1254,410
199608,1251,405
199609,1188,341
199610,1188,341
199611,1188,341
199612,1188,341
199701,1188,347
199702,1188,347
199703,1188,347
199704,1188,347
199705,1162,320
199706,1082,239
199707,934,90
199708,825,-21
199709,881,34
199710,881,34
199711,881,34
199712,881,34
199801,881,40
199802,881,40
199803,881,40
199804,881,40
199805,848,6
199806,786,-57
199807,900,56
199808,1001,155
199809,1028,181
199810,1028,181
199811,1028,181
199812,1028,181
199901,1028,187
199902,1028,187
199903,1028,187
199904,1028,187
199905,1021,179
199906,1070,227
199907,994,150
199908,865,19
199909,797,-50
199910,802,-45
199911,802,-45
199912,802,-45
200001,802,-39
200002,802,-39
200003,802,-39
200004,813,-28
200005,888,46
200006,980,137
200007,1047,203
200008,1214,368
200009,1268,421
200010,1263,416
200011,1263,416
200012,1263,416
200101,1263,422
200102,1263,422
200103,1263,422
200104,1252,411
200105,1230,388
200106,1213,370
200107,1174,330
200108,1080,234
200109,1119,272
200110,1126,279
200111,1126,279
200112,1126,279
200201,1126,285
