San Juan County, Utah January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,5057,-619
199002,4971,-704
199003,5043,-633
199004,5118,-556
199005,5180,-493
199006,5163,-510
199007,5163,-510
199008,5163,-510
199009,5145,-527
199010,5158,-513
199011,5219,-454
199012,5497,-175
199101,5655,-21
199102,5641,-34
199103,5810,134
199104,5975,301
199105,5999,326
199106,6026,353
199107,6026,353
199108,6026,353
199109,6051,379
199110,5978,307
199111,6020,347
199112,5842,170
199201,5748,72
199202,5726,51
199203,5573,-103
199204,5327,-347
199205,5256,-417
199206,5256,-417
199207,5256,-417
199208,5256,-417
199209,5253,-419
199210,5219,-452
199211,5311,-362
199212,5401,-271
199301,5223,-453
199302,5262,-413
199303,5266,-410
199304,5427,-247
199305,5443,-230
199306,5450,-223
199307,5450,-223
199308,5450,-223
199309,5470,-202
199310,5630,-41
199311,5603,-70
199312,5458,-214
199401,5446,-230
199402,5512,-163
199403,5452,-224
199404,5430,-244
199405,5413,-260
199406,5372,-301
199407,5372,-301
199408,5372,-301
199409,5341,-331
199410,5333,-338
199411,5342,-331
199412,5270,-402
199501,5286,-390
199502,5001,-674
199503,5066,-610
199504,5157,-517
199505,5318,-355
199506,5383,-290
199507,5383,-290
199508,5383,-290
199509,5383,-289
199510,5320,-351
199511,5073,-600
199512,5014,-658
199601,5020,-656
199602,5110,-565
199603,5122,-554
199604,5031,-643
199605,4817,-856
199606,4761,-912
199607,4761,-912
199608,4761,-912
199609,4822,-850
199610,4867,-804
199611,4979,-694
199612,5050,-622
199701,5105,-571
199702,5267,-408
199703,5200,-476
199704,5326,-348
199705,5357,-316
199706,5371,-302
199707,5371,-302
199708,5371,-302
199709,5315,-357
199710,5327,-344
199711,5333,-340
199712,5400,-272
199801,5288,-388
199802,5285,-390
199803,5420,-256
199804,5421,-253
199805,5490,-183
199806,5520,-153
199807,5520,-153
199808,5520,-153
199809,5506,-166
199810,5487,-184
199811,5472,-201
199812,5431,-241
199901,5389,-287
199902,5278,-397
199903,5104,-572
199904,5127,-547
199905,5160,-513
199906,5134,-539
199907,5134,-539
199908,5134,-539
199909,5185,-487
199910,5101,-570
199911,4993,-680
199912,5006,-666
200001,5038,-638
200002,5013,-662
200003,5178,-498
200004,4922,-752
200005,4780,-893
200006,4762,-911
200007,4762,-911
200008,4762,-911
200009,4717,-955
200010,4764,-907
200011,5082,-591
200012,5013,-659
200101,5139,-537
200102,5225,-450
200103,5146,-530
200104,5242,-432
200105,5266,-407
200106,5268,-405
200107,5268,-405
200108,5268,-405
200109,5254,-418
200110,5180,-491
200111,4900,-773
200112,5039,-633
200201,5046,-630
200202,5130,-545
200203,5261,-415
200204,5159,-515
200205,5191,-482
200206,5180,-493
200207,5180,-493
200208,5180,-493
200209,5222,-450
200210,5368,-303
200211,5469,-204
200212,5381,-291
200301,5145,-531
200302,5086,-589
200303,5007,-669
200304,5157,-517
200305,5139,-534
200306,5153,-520
200307,5153,-520
200308,5153,-520
200309,5136,-536
200310,4923,-748
200311,4944,-729
200312,4916,-756
200401,5180,-496
200402,5268,-407
200403,5061,-615
200404,5026,-648
200405,5034,-639
200406,5035,-638
200407,5035,-638
200408,5035,-638
200409,5072,-600
200410,5245,-426
200411,5245,-428
200412,5265,-407
200501,5028,-648
200502,4859,-816
200503,5069,-607
200504,5088,-586
200505,5108,-565
200506,5132,-541
200507,5132,-541
200508,5132,-541
200509,5101,-571
200510,5044,-627
200511,4947,-726
200512,4959,-713
200601,5082,-594
200602,5138,-537
200603,5189,-487
200604,5119,-555
200605,5061,-612
200606,5028,-645
200607,5028,-645
200608,5028,-645
200609,5112,-560
200610,5219,-452
200611,5233,-440
200612,5238,-434
200701,5391,-285
200702,5355,-320
200703,5207,-469
200704,5235,-439
200705,5287,-386
200706,5291,-382
200707,5291,-382
200708,5291,-382
200709,5194,-478
200710,5121,-550
200711,5055,-618
200712,5144,-528
200801,5209,-467
200802,5293,-382
200803,5404,-272
200804,5504,-170
200805,5616,-57
200806,5626,-47
200807,5626,-47
200808,5626,-47
200809,5635,-37
200810,5609,-62
200811,5614,-59
200812,5563,-109
200901,5344,-332
200902,5265,-410
200903,5206,-470
200904,5180,-494
200905,5024,-649
200906,5045,-628
200907,5045,-628
200908,5045,-628
200909,5032,-640
200910,5156,-515
200911,5202,-471
200912,5353,-319
201001,5517,-159
201002,5644,-31
201003,5742,66
201004,5725,51
201005,5891,218
201006,5864,191
201007,5864,191
201008,5864,191
201009,5858,186
201010,5711,40
201011,5833,160
201012,5485,-187
201101,5474,-202
201102,5486,-189
201103,5387,-289
201104,5413,-261
201105,5422,-251
201106,5427,-246
201107,5427,-246
201108,5427,-246
201109,5435,-237
201110,5483,-188
201111,5439,-234
201112,5639,-33
201201,5470,-206
201202,5398,-277
201203,5366,-310
201204,5230,-444
201205,5060,-613
201206,5041,-632
201207,5041,-632
201208,5041,-632
201209,5039,-633
201210,4985,-686
201211,4865,-808
201212,4841,-831
201301,5111,-565
201302,5187,-488
201303,5191,-485
201304,5298,-376
201305,5360,-313
201306,5365,-308
201307,5365,-308
201308,5365,-308
201309,5377,-295
201310,5530,-141
201311,5642,-31
201312,5764,92
201401,5501,-175
201402,5311,-364
201403,5339,-337
201404,5329,-345
201405,5348,-325
201406,5357,-316
201407,5357,-316
201408,5357,-316
201409,5334,-338
201410,5145,-526
201411,5126,-547
201412,4899,-773
201501,4878,-798
201502,4830,-845
201503,4717,-959
201504,4707,-967
201505,4764,-909
201506,4760,-913
201507,4760,-913
201508,4760,-913
201509,4757,-915
201510,4733,-938
201511,4787,-886
201512,4946,-726
201601,5098,-578
201602,5190,-485
201603,5257,-419
201604,5265,-409
201605,5237,-436
201606,5227,-446
201607,5227,-446
201608,5227,-446
201609,5269,-403
201610,5268,-403
201611,5092,-581
201612,5000,-672
201701,4912,-764
201702,4804,-871
201703,4714,-962
201704,4714,-960
201705,4693,-980
201706,4693,-980
201707,4693,-980
201708,4693,-980
201709,4674,-998
201710,4786,-885
201711,4734,-939
201712,4665,-1007
201801,4575,-1101
201802,4698,-977
201803,4863,-813
201804,4761,-913
201805,4673,-1000
201806,4673,-1000
201807,4673,-1000
201808,4673,-1000
201809,4648,-1024
201810,4710,-961
201811,4969,-704
201812,5098,-574
201901,5271,-405
201902,5433,-242
201903,5441,-235
201904,5473,-201
201905,5697,24
201906,5724,51
201907,5724,51
201908,5724,51
201909,5728,56
201910,5819,148
201911,5728,55
201912,5698,26
202001,5675,-1
202002,5563,-112
202003,5510,-166
202004,5546,-128
202005,5308,-365
202006,5294,-379
202007,5294,-379
202008,5294,-379
202009,5312,-360
202010,5079,-592
202011,5038,-635
202012,5116,-556
202101,5094,-582
202102,5079,-596
202103,5166,-510
202104,5152,-522
202105,5196,-477
202106,5183,-490
202107,5183,-490
202108,5183,-490
202109,5168,-504
202110,5313,-358
202111,5228,-445
202112,5058,-614
202201,5013,-663
202202,5074,-601
202203,5045,-631
202204,5056,-618
202205,5060,-613
202206,5068,-605
202207,5068,-605
202208,5068,-605
202209,5056,-616
202210,4985,-686
202211,5255,-418
202212,5318,-354
202301,5362,-314
202302,5438,-237
202303,5620,-56
202304,5700,26
202305,5697,24
202306,5730,57
202307,5730,57
202308,5730,57
202309,5755,83
202310,5696,25
202311,5537,-136
202312,5482,-190
202401,5423,-253
202402,5218,-457
202403,5001,-675
