San Juan County, Utah January-December Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,67.1,2.5
199002,67.4,2.8
199003,67.0,2.4
199004,66.7,2.1
199005,66.3,1.7
199006,66.7,2.1
199007,66.5,1.9
199008,66.6,2.0
199009,66.6,2.0
199010,66.5,1.9
199011,66.1,1.5
199012,65.2,0.6
199101,64.7,0.1
199102,64.8,0.2
199103,64.2,-0.4
199104,63.8,-0.8
199105,63.8,-0.8
199106,63.2,-1.4
199107,63.2,-1.4
199108,63.2,-1.4
199109,63.1,-1.5
199110,63.4,-1.2
199111,63.2,-1.4
199112,63.4,-1.2
199201,63.7,-0.9
199202,63.6,-1.0
199203,64.0,-0.6
199204,64.8,0.2
199205,64.9,0.3
199206,65.0,0.4
199207,64.7,0.1
199208,64.6,0.0
199209,64.7,0.1
199210,64.8,0.2
199211,64.6,0.0
199212,64.5,-0.1
199301,64.8,0.2
199302,64.6,0.0
199303,64.7,0.1
199304,64.2,-0.4
199305,64.2,-0.4
199306,64.1,-0.5
199307,64.4,-0.2
199308,64.2,-0.4
199309,64.2,-0.4
199310,63.7,-0.9
199311,63.8,-0.8
199312,64.3,-0.3
199401,64.7,0.1
199402,64.6,0.0
199403,64.9,0.3
199404,64.9,0.3
199405,65.0,0.4
199406,65.6,1.0
199407,66.0,1.4
199408,66.4,1.8
199409,66.6,2.0
199410,66.6,2.0
199411,66.5,1.9
199412,66.5,1.9
199501,66.2,1.6
199502,67.2,2.6
199503,66.8,2.2
199504,66.6,2.0
199505,65.9,1.3
199506,65.0,0.4
199507,64.7,0.1
199508,64.7,0.1
199509,64.7,0.1
199510,65.0,0.4
199511,66.0,1.4
199512,66.4,1.8
199601,66.6,2.0
199602,66.3,1.7
199603,66.5,1.9
199604,66.9,2.3
199605,67.9,3.3
199606,68.6,4.0
199607,68.9,4.3
199608,68.9,4.3
199609,68.5,3.9
199610,68.1,3.5
199611,67.6,3.0
199612,67.2,2.6
199701,66.8,2.2
199702,66.3,1.7
199703,66.5,1.9
199704,66.0,1.4
199705,65.7,1.1
199706,65.4,0.8
199707,65.1,0.5
199708,64.7,0.1
199709,64.9,0.3
199710,65.0,0.4
199711,65.0,0.4
199712,64.9,0.3
199801,65.3,0.7
199802,65.2,0.6
199803,64.7,0.1
199804,64.7,0.1
199805,64.4,-0.2
199806,64.2,-0.4
199807,64.5,-0.1
199808,64.8,0.2
199809,65.0,0.4
199810,64.9,0.3
199811,64.9,0.3
199812,65.2,0.6
199901,65.3,0.7
199902,65.9,1.3
199903,66.5,1.9
199904,66.4,1.8
199905,66.3,1.7
199906,66.5,1.9
199907,66.2,1.6
199908,65.7,1.1
199909,65.4,0.8
199910,66.0,1.4
199911,66.7,2.1
199912,66.6,2.0
200001,66.4,1.8
200002,66.3,1.7
200003,65.6,1.0
200004,66.6,2.0
200005,67.3,2.7
200006,67.6,3.0
200007,68.0,3.4
200008,68.6,4.0
200009,68.9,4.3
200010,68.3,3.7
200011,67.1,2.5
200012,67.2,2.6
200101,66.8,2.2
200102,66.6,2.0
200103,66.8,2.2
200104,66.4,1.8
200105,66.2,1.6
200106,66.3,1.7
200107,66.1,1.5
200108,65.8,1.2
200109,66.0,1.4
200110,66.5,1.9
200111,67.4,2.8
200112,67.1,2.5
200201,67.1,2.5
200202,67.2,2.6
200203,67.0,2.4
200204,67.4,2.8
