San Juan County, Utah January-December Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,40.2,1.4
199002,40.4,1.6
199003,40.4,1.6
199004,40.3,1.5
199005,40.1,1.3
199006,40.4,1.6
199007,40.5,1.7
199008,40.5,1.7
199009,40.9,2.1
199010,40.9,2.1
199011,40.9,2.1
199012,40.3,1.5
199101,40.0,1.2
199102,40.0,1.2
199103,39.6,0.8
199104,39.1,0.3
199105,39.0,0.2
199106,38.7,-0.1
199107,38.6,-0.2
199108,38.7,-0.1
199109,38.4,-0.4
199110,38.5,-0.3
199111,38.5,-0.3
199112,39.2,0.4
199201,39.5,0.7
199202,39.7,0.9
199203,40.1,1.3
199204,40.8,2.0
199205,41.1,2.3
199206,41.1,2.3
199207,40.9,2.1
199208,40.8,2.0
199209,40.8,2.0
199210,40.9,2.1
199211,40.6,1.8
199212,40.2,1.4
199301,40.9,2.1
199302,40.8,2.0
199303,40.7,1.9
199304,40.3,1.5
199305,40.2,1.4
199306,40.1,1.3
199307,40.0,1.2
199308,40.0,1.2
199309,39.7,0.9
199310,39.4,0.6
199311,39.4,0.6
199312,39.7,0.9
199401,39.4,0.6
199402,39.0,0.2
199403,39.1,0.3
199404,39.3,0.5
199405,39.3,0.5
199406,39.9,1.1
199407,40.2,1.4
199408,40.6,1.8
199409,40.9,2.1
199410,40.9,2.1
199411,40.9,2.1
199412,41.3,2.5
199501,41.5,2.7
199502,42.2,3.4
199503,42.3,3.5
199504,42.0,3.2
199505,41.6,2.8
199506,41.0,2.2
199507,40.7,1.9
199508,40.6,1.8
199509,40.5,1.7
199510,40.5,1.7
199511,40.9,2.1
199512,40.9,2.1
199601,40.6,1.8
199602,40.3,1.5
199603,40.1,1.3
199604,40.2,1.4
199605,40.7,1.9
199606,41.3,2.5
199607,41.7,2.9
199608,41.7,2.9
199609,41.4,2.6
199610,41.5,2.7
199611,41.5,2.7
199612,41.5,2.7
199701,41.5,2.7
199702,41.1,2.3
199703,41.3,2.5
199704,41.1,2.3
199705,41.0,2.2
199706,40.8,2.0
199707,40.4,1.6
199708,40.2,1.4
199709,40.6,1.8
199710,40.5,1.7
199711,40.4,1.6
199712,40.2,1.4
199801,40.4,1.6
199802,40.5,1.7
199803,40.3,1.5
199804,40.2,1.4
199805,39.9,1.1
199806,39.6,0.8
199807,40.0,1.2
199808,40.2,1.4
199809,40.3,1.5
199810,40.5,1.7
199811,40.5,1.7
199812,40.5,1.7
199901,40.5,1.7
199902,40.6,1.8
199903,40.9,2.1
199904,40.9,2.1
199905,40.8,2.0
199906,41.1,2.3
199907,41.0,2.2
199908,40.8,2.0
199909,40.4,1.6
199910,40.2,1.4
199911,40.2,1.4
199912,40.2,1.4
200001,40.2,1.4
200002,40.4,1.6
200003,40.3,1.5
200004,40.8,2.0
200005,41.3,2.5
200006,41.6,2.8
200007,41.5,2.7
200008,41.8,3.0
200009,42.0,3.2
200010,42.3,3.5
200011,41.8,3.0
200012,42.1,3.3
200101,41.8,3.0
200102,41.5,2.7
200103,41.7,2.9
200104,41.5,2.7
200105,41.4,2.6
200106,41.3,2.5
200107,41.3,2.5
200108,41.1,2.3
200109,41.1,2.3
200110,41.1,2.3
200111,41.7,2.9
200112,41.4,2.6
200201,41.2,2.4
200202,40.7,1.9
200203,40.2,1.4
200204,40.3,1.5
200205,40.1,1.3
200206,40.3,1.5
200207,40.4,1.6
200208,40.3,1.5
200209,40.3,1.5
200210,40.0,1.2
200211,39.8,1.0
200212,40.0,1.2
200301,40.6,1.8
200302,41.1,2.3
200303,41.4,2.6
200304,41.0,2.2
200305,41.2,2.4
200306,41.1,2.3
200307,41.2,2.4
200308,41.4,2.6
200309,41.3,2.5
200310,41.8,3.0
200311,41.9,3.1
200312,41.9,3.1
200401,41.3,2.5
200402,41.1,2.3
200403,41.5,2.7
200404,41.7,2.9
200405,41.7,2.9
200406,41.6,2.8
200407,41.2,2.4
200408,40.9,2.1
200409,40.8,2.0
200410,40.5,1.7
200411,40.5,1.7
200412,40.5,1.7
200501,41.3,2.5
200502,41.8,3.0
200503,41.5,2.7
200504,41.3,2.5
200505,41.2,2.4
200506,41.0,2.2
200507,41.2,2.4
200508,41.2,2.4
200509,41.3,2.5
200510,41.4,2.6
200511,41.4,2.6
200512,41.2,2.4
200601,40.6,1.8
200602,40.1,1.3
200603,40.0,1.2
200604,40.1,1.3
200605,40.3,1.5
200606,40.8,2.0
200607,40.9,2.1
200608,41.0,2.2
200609,40.6,1.8
200610,40.4,1.6
200611,40.4,1.6
200612,40.5,1.7
200701,40.2,1.4
200702,40.5,1.7
200703,40.7,1.9
200704,40.7,1.9
200705,40.6,1.8
200706,40.4,1.6
200707,40.4,1.6
200708,40.7,1.9
200709,41.1,2.3
200710,41.2,2.4
200711,41.2,2.4
200712,41.1,2.3
200801,41.0,2.2
200802,40.8,2.0
200803,40.5,1.7
200804,40.1,1.3
200805,39.7,0.9
200806,39.5,0.7
200807,39.4,0.6
200808,39.3,0.5
200809,39.2,0.4
200810,39.2,0.4
200811,39.3,0.5
200812,39.4,0.6
200901,39.9,1.1
200902,40.0,1.2
200903,40.1,1.3
200904,40.3,1.5
200905,40.9,2.1
200906,40.9,2.1
200907,40.9,2.1
200908,40.7,1.9
200909,40.9,2.1
200910,40.6,1.8
200911,40.4,1.6
200912,40.0,1.2
201001,39.7,0.9
201002,39.5,0.7
201003,39.5,0.7
201004,39.5,0.7
201005,38.9,0.1
201006,39.0,0.2
201007,39.0,0.2
201008,39.1,0.3
201009,39.0,0.2
201010,39.4,0.6
201011,39.2,0.4
201012,40.2,1.4
201101,40.1,1.3
201102,39.8,1.0
201103,40.0,1.2
201104,39.9,1.1
201105,39.9,1.1
201106,39.8,1.0
201107,39.8,1.0
201108,40.0,1.2
201109,40.1,1.3
201110,39.9,1.1
201111,40.0,1.2
201112,39.4,0.6
201201,39.8,1.0
201202,40.0,1.2
201203,40.1,1.3
201204,40.4,1.6
201205,40.9,2.1
201206,41.2,2.4
201207,41.3,2.5
201208,41.4,2.6
201209,41.4,2.6
201210,41.5,2.7
201211,41.6,2.8
201212,41.7,2.9
201301,41.1,2.3
201302,40.9,2.1
201303,41.0,2.2
201304,40.7,1.9
201305,40.6,1.8
201306,40.5,1.7
201307,40.7,1.9
201308,40.6,1.8
201309,40.7,1.9
201310,40.4,1.6
201311,40.3,1.5
201312,40.0,1.2
201401,40.6,1.8
201402,41.1,2.3
201403,41.0,2.2
201404,41.0,2.2
201405,41.0,2.2
201406,40.8,2.0
201407,40.7,1.9
201408,40.5,1.7
201409,40.6,1.8
201410,41.1,2.3
201411,40.9,2.1
201412,41.6,2.8
201501,41.9,3.1
201502,42.0,3.2
201503,42.3,3.5
201504,42.3,3.5
201505,42.3,3.5
201506,42.5,3.7
201507,42.1,3.3
201508,42.3,3.5
201509,42.2,3.4
201510,42.5,3.7
201511,42.5,3.7
201512,42.0,3.2
201601,41.6,2.8
201602,41.3,2.5
201603,41.1,2.3
201604,41.1,2.3
201605,41.1,2.3
201606,41.3,2.5
201607,41.5,2.7
201608,41.3,2.5
201609,41.1,2.3
201610,40.9,2.1
201611,41.4,2.6
201612,41.6,2.8
201701,41.9,3.1
201702,42.4,3.6
201703,42.6,3.8
201704,42.6,3.8
201705,42.6,3.8
201706,42.4,3.6
201707,42.5,3.7
201708,42.6,3.8
201709,42.7,3.9
201710,42.3,3.5
201711,42.2,3.4
201712,42.2,3.4
201801,42.1,3.3
201802,41.5,2.7
201803,41.1,2.3
201804,41.3,2.5
201805,41.7,2.9
201806,41.7,2.9
201807,41.8,3.0
201808,42.0,3.2
201809,42.1,3.3
201810,42.4,3.6
201811,41.8,3.0
201812,41.8,3.0
201901,41.5,2.7
201902,41.2,2.4
201903,41.5,2.7
201904,41.5,2.7
201905,41.0,2.2
201906,40.6,1.8
201907,40.3,1.5
201908,40.3,1.5
201909,40.3,1.5
201910,39.6,0.8
201911,39.8,1.0
201912,39.9,1.1
202001,40.0,1.2
202002,40.1,1.3
202003,40.2,1.4
202004,40.0,1.2
202005,40.5,1.7
202006,40.7,1.9
202007,40.7,1.9
202008,40.8,2.0
202009,40.6,1.8
202010,41.1,2.3
202011,41.2,2.4
202012,40.7,1.9
202101,40.7,1.9
202102,40.8,2.0
202103,40.5,1.7
202104,40.5,1.7
202105,40.3,1.5
202106,40.7,1.9
202107,40.9,2.1
202108,40.7,1.9
202109,40.9,2.1
202110,40.9,2.1
202111,41.1,2.3
202112,41.7,2.9
202201,41.7,2.9
202202,41.4,2.6
202203,41.4,2.6
202204,41.4,2.6
202205,41.3,2.5
