San Juan County, Utah December Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-4.15,-4.58
199002,-4.03,-4.47
199003,-4.14,-4.57
199004,-4.17,-4.63
199005,-4.50,-5.02
199006,-4.96,-5.50
199007,-4.68,-5.18
199008,-4.62,-4.94
199009,-3.59,-3.97
199010,-3.21,-3.56
199011,-3.00,-3.41
199012,-2.84,-3.18
199101,-2.53,-2.96
199102,-2.73,-3.17
199103,-2.11,-2.54
199104,-2.15,-2.61
199105,-2.35,-2.87
199106,-2.50,-3.04
199107,-2.49,-2.99
199108,0.00,-0.32
199109,0.12,-0.26
199110,-0.18,-0.53
199111,0.64,0.23
199112,0.89,0.55
199201,0.71,0.28
199202,0.92,0.48
199203,1.16,0.73
199204,-0.54,-1.00
199205,1.23,0.71
199206,1.23,0.69
199207,1.67,1.17
199208,-0.11,-0.43
199209,-0.47,-0.85
199210,-0.56,-0.91
199211,-0.75,-1.16
199212,0.50,0.16
199301,2.23,1.80
199302,3.39,2.95
199303,3.06,2.63
199304,2.76,2.30
199305,3.80,3.28
199306,4.19,3.65
199307,3.42,2.92
199308,3.55,3.23
199309,2.69,2.31
199310,2.95,2.60
199311,2.76,2.35
199312,-0.39,-0.73
199401,-0.80,-1.23
199402,-0.45,-0.89
199403,-1.20,-1.63
199404,-0.68,-1.14
199405,-1.03,-1.55
199406,-1.64,-2.18
199407,-2.57,-3.07
199408,-2.91,-3.23
199409,0.06,-0.32
199410,0.02,-0.33
199411,0.29,-0.12
199412,0.42,0.08
199501,0.78,0.35
199502,0.24,-0.20
199503,0.87,0.44
199504,1.24,0.78
199505,2.61,2.09
199506,3.36,2.82
199507,3.39,2.89
199508,-0.06,-0.38
199509,-0.34,-0.72
199510,-1.16,-1.51
199511,-1.78,-2.19
199512,-2.28,-2.62
199601,-2.44,-2.87
199602,-2.73,-3.17
199603,-3.14,-3.57
199604,-3.72,-4.18
199605,-4.33,-4.85
199606,-4.67,-5.21
199607,-5.07,-5.57
199608,-5.54,-5.86
199609,0.80,0.42
199610,1.07,0.72
199611,1.45,1.04
199612,1.06,0.72
199701,1.66,1.23
199702,1.75,1.31
199703,0.85,0.42
199704,1.35,0.89
199705,1.55,1.03
199706,1.47,0.93
199707,1.73,1.23
199708,2.09,1.77
199709,2.89,2.51
199710,2.72,2.37
199711,-0.15,-0.56
199712,-0.43,-0.77
199801,-0.68,-1.11
199802,-0.42,-0.86
199803,-0.28,-0.71
199804,-0.07,-0.53
199805,-0.28,-0.80
199806,-0.58,-1.12
199807,-0.43,-0.93
199808,-1.27,-1.59
199809,-1.28,-1.66
199810,1.16,0.81
199811,1.21,0.80
199812,-0.33,-0.67
199901,-0.77,-1.20
199902,-1.12,-1.56
199903,-1.96,-2.39
199904,0.82,0.36
199905,0.77,0.25
199906,0.58,0.04
199907,1.14,0.64
199908,2.15,1.83
199909,-0.04,-0.42
199910,-0.99,-1.34
199911,-1.75,-2.16
199912,-2.05,-2.39
200001,-1.73,-2.16
200002,-1.93,-2.37
200003,-1.11,-1.54
200004,-1.70,-2.16
200005,-2.28,-2.80
200006,-2.72,-3.26
200007,-3.18,-3.68
200008,-3.23,-3.55
200009,-3.38,-3.76
200010,-2.17,-2.52
200011,-1.78,-2.19
200012,-1.99,-2.33
200101,-1.51,-1.94
200102,-1.32,-1.76
200103,-1.15,-1.58
200104,-0.93,-1.39
200105,-0.98,-1.50
200106,-1.13,-1.67
200107,-1.35,-1.85
200108,-0.58,-0.90
200109,-1.37,-1.75
200110,-2.07,-2.42
200111,-1.98,-2.39
200112,-1.92,-2.26
200201,-2.28,-2.71
200202,-2.66,-3.10
200203,-2.85,-3.28
200204,-3.52,-3.98
200205,-4.32,-4.84
200206,-5.08,-5.62
200207,-5.51,-6.01
200208,-5.70,-6.02
200209,-3.53,-3.91
200210,-3.07,-3.42
200211,-2.99,-3.40
200212,-3.09,-3.43
200301,-3.53,-3.96
200302,-2.38,-2.82
200303,-2.22,-2.65
200304,-2.39,-2.85
200305,-2.79,-3.31
200306,-3.21,-3.75
200307,-3.77,-4.27
200308,-3.75,-4.07
200309,-3.07,-3.45
200310,-3.42,-3.77
200311,-2.84,-3.25
200312,-2.73,-3.07
200401,-2.64,-3.07
200402,-1.72,-2.16
200403,-2.59,-3.02
200404,-2.01,-2.47
200405,-2.37,-2.89
200406,-2.52,-3.06
200407,-2.82,-3.32
200408,-3.22,-3.54
200409,1.21,0.83
200410,1.07,0.72
200411,1.82,1.41
200412,1.90,1.56
200501,3.13,2.70
200502,3.77,3.33
200503,3.57,3.14
200504,3.51,3.05
200505,3.92,3.40
200506,4.46,3.92
200507,4.15,3.65
200508,4.11,3.79
200509,4.06,3.68
200510,-0.21,-0.56
200511,-0.82,-1.23
200512,-1.29,-1.63
200601,-1.55,-1.98
200602,-2.13,-2.57
200603,-1.42,-1.85
200604,-1.81,-2.27
200605,-2.78,-3.30
200606,-3.36,-3.90
200607,-3.23,-3.73
200608,-3.10,-3.42
200609,0.43,0.05
200610,2.33,1.98
200611,-0.41,-0.82
200612,-0.53,-0.87
200701,-0.67,-1.10
200702,-0.66,-1.10
200703,-1.06,-1.49
200704,-1.09,-1.55
200705,-0.98,-1.50
200706,-1.27,-1.81
200707,-1.28,-1.78
200708,-1.23,-1.55
200709,-0.84,-1.22
200710,-1.25,-1.60
200711,-1.73,-2.14
200712,0.94,0.60
200801,1.44,1.01
200802,2.05,1.61
200803,1.37,0.94
200804,1.04,0.58
200805,1.41,0.89
200806,1.84,1.30
200807,-0.16,-0.66
200808,-0.36,-0.68
200809,-0.95,-1.33
200810,-1.36,-1.71
200811,-1.46,-1.87
200812,-0.75,-1.09
200901,-1.08,-1.51
200902,-1.35,-1.79
200903,-1.90,-2.33
200904,-2.14,-2.60
200905,-1.77,-2.29
200906,-1.79,-2.33
200907,-2.41,-2.91
200908,-3.23,-3.55
200909,-3.30,-3.68
200910,-3.36,-3.71
200911,-3.52,-3.93
200912,0.77,0.43
201001,1.56,1.13
201002,2.15,1.71
201003,2.41,1.98
201004,2.18,1.72
201005,2.27,1.75
201006,2.67,2.13
201007,2.58,2.08
201008,3.24,2.92
201009,-0.30,-0.68
201010,-0.15,-0.50
201011,-0.35,-0.76
201012,0.52,0.18
201101,-0.55,-0.98
201102,-0.84,-1.28
201103,-1.33,-1.76
201104,-1.24,-1.70
201105,-1.13,-1.65
201106,-1.66,-2.20
201107,-1.30,-1.80
201108,-1.81,-2.13
201109,-1.55,-1.93
201110,-1.69,-2.04
201111,-1.61,-2.02
201112,-1.62,-1.96
201201,-1.74,-2.17
201202,-1.53,-1.97
201203,-2.00,-2.43
201204,-2.73,-3.19
201205,-3.53,-4.05
201206,-4.18,-4.72
201207,-3.80,-4.30
201208,-3.59,-3.91
201209,-3.46,-3.84
201210,-3.76,-4.11
201211,-4.12,-4.53
201212,-3.68,-4.02
201301,-2.91,-3.34
201302,-2.81,-3.25
201303,-3.08,-3.51
201304,-3.29,-3.75
201305,-3.29,-3.81
201306,-3.70,-4.24
201307,0.03,-0.47
201308,0.42,0.10
201309,1.85,1.47
201310,1.44,1.09
201311,1.98,1.57
201312,-0.23,-0.57
201401,-0.69,-1.12
201402,-1.07,-1.51
201403,-1.55,-1.98
201404,-1.83,-2.29
201405,-1.88,-2.40
201406,-2.54,-3.08
201407,-2.78,-3.28
201408,-1.92,-2.24
201409,-1.14,-1.52
201410,-1.87,-2.22
201411,-2.10,-2.51
201412,-2.00,-2.34
201501,-1.56,-1.99
201502,-1.41,-1.85
201503,-1.83,-2.26
201504,-1.95,-2.41
201505,0.48,-0.04
201506,1.17,0.63
201507,2.04,1.54
201508,2.06,1.74
201509,1.28,0.90
201510,1.95,1.60
201511,2.16,1.75
201512,2.03,1.69
201601,2.22,1.79
201602,-0.11,-0.55
201603,-0.65,-1.08
201604,-0.63,-1.09
201605,0.30,-0.22
201606,0.15,-0.39
201607,0.11,-0.39
201608,0.95,0.63
201609,-0.06,-0.44
201610,-0.84,-1.19
201611,-1.02,-1.43
201612,0.14,-0.20
201701,0.89,0.46
201702,-0.22,-0.66
201703,-0.96,-1.39
201704,-1.49,-1.95
201705,-1.48,-2.00
201706,-1.93,-2.47
