San Juan County, Utah December Palmer Hydrological Drought Index (PHDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-4.15,-4.58
199002,-4.03,-4.45
199003,-4.14,-4.56
199004,-4.17,-4.65
199005,-4.50,-5.06
199006,-4.96,-5.54
199007,-4.68,-5.34
199008,-4.62,-5.32
199009,-3.59,-4.29
199010,-3.21,-3.84
199011,-3.00,-3.56
199012,-2.84,-3.33
199101,-2.53,-2.96
199102,-2.73,-3.15
199103,-2.11,-2.53
199104,-2.15,-2.63
199105,-2.35,-2.91
199106,-2.50,-3.08
199107,-2.49,-3.15
199108,-2.23,-2.93
199109,-1.88,-2.58
199110,-1.87,-2.50
199111,-1.03,-1.59
199112,-0.61,-1.10
199201,-0.64,-1.07
199202,0.92,0.50
199203,1.16,0.74
199204,-0.54,-1.02
199205,1.23,0.67
199206,1.23,0.65
199207,1.67,1.01
199208,1.39,0.69
199209,0.87,0.17
199210,0.65,0.02
199211,-0.75,-1.31
199212,0.50,0.01
199301,2.23,1.80
199302,3.39,2.97
199303,3.06,2.64
199304,2.76,2.28
199305,3.80,3.24
199306,4.19,3.61
199307,3.42,2.76
199308,3.55,2.85
199309,2.69,1.99
199310,2.95,2.32
199311,2.76,2.20
199312,2.08,1.59
199401,1.42,0.99
199402,1.54,1.12
199403,0.58,0.16
199404,0.92,0.44
199405,-1.03,-1.59
199406,-1.64,-2.22
199407,-2.57,-3.23
199408,-2.91,-3.61
199409,-2.55,-3.25
199410,-2.32,-2.95
199411,-1.80,-2.36
199412,-1.46,-1.95
199501,-0.91,-1.34
199502,-1.27,-1.69
199503,0.87,0.45
199504,1.24,0.76
199505,2.61,2.05
199506,3.36,2.78
199507,3.39,2.73
199508,2.98,2.28
199509,2.39,1.69
199510,1.28,0.65
199511,-1.78,-2.34
199512,-2.28,-2.77
199601,-2.44,-2.87
199602,-2.73,-3.15
199603,-3.14,-3.56
199604,-3.72,-4.20
199605,-4.33,-4.89
199606,-4.67,-5.25
199607,-5.07,-5.73
199608,-5.54,-6.24
199609,-4.17,-4.87
199610,-3.38,-4.01
199611,-2.55,-3.11
199612,-2.53,-3.02
199701,-1.56,-1.99
199702,-1.14,-1.56
199703,-1.74,-2.16
199704,-0.97,-1.45
199705,1.55,0.99
199706,1.47,0.89
199707,1.73,1.07
199708,2.09,1.39
199709,2.89,2.19
199710,2.72,2.09
199711,2.29,1.73
199712,1.76,1.27
199801,1.28,0.85
199802,1.34,0.92
199803,1.30,0.88
199804,1.35,0.87
199805,1.00,0.44
199806,0.56,-0.02
199807,0.59,-0.07
199808,-1.27,-1.97
199809,-1.28,-1.98
199810,1.16,0.53
199811,1.21,0.65
199812,0.75,0.26
199901,-0.77,-1.20
199902,-1.12,-1.54
199903,-1.96,-2.38
199904,-0.94,-1.42
199905,-0.80,-1.36
199906,-0.83,-1.41
199907,1.14,0.48
199908,2.15,1.45
199909,1.89,1.19
199910,0.75,0.12
199911,-1.75,-2.31
199912,-2.05,-2.54
200001,-1.73,-2.16
200002,-1.93,-2.35
200003,-1.11,-1.53
200004,-1.70,-2.18
200005,-2.28,-2.84
200006,-2.72,-3.30
200007,-3.18,-3.84
200008,-3.23,-3.93
200009,-3.38,-4.08
200010,-2.17,-2.80
200011,-1.78,-2.34
200012,-1.99,-2.48
200101,-1.51,-1.94
200102,-1.32,-1.74
200103,-1.15,-1.57
200104,-0.93,-1.41
200105,-0.98,-1.54
200106,-1.13,-1.71
200107,-1.35,-2.01
200108,-0.58,-1.28
200109,-1.37,-2.07
200110,-2.07,-2.70
200111,-1.98,-2.54
200112,-1.92,-2.41
200201,-2.28,-2.71
