San Juan County, Utah December Palmer Modified Drought Index (PMDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-4.15,-4.46
199002,-4.03,-4.38
199003,-4.14,-4.54
199004,-4.17,-4.62
199005,-4.50,-5.01
199006,-4.96,-5.50
199007,-4.68,-5.29
199008,-4.62,-5.24
199009,-2.89,-3.41
199010,-2.46,-2.90
199011,-2.35,-2.78
199012,-2.30,-2.64
199101,-1.94,-2.25
199102,-2.55,-2.90
199103,-1.48,-1.88
199104,-1.78,-2.23
199105,-2.35,-2.86
199106,-2.50,-3.04
199107,-2.49,-3.10
199108,-2.16,-2.78
199109,-1.59,-2.11
199110,-1.74,-2.18
199111,0.01,-0.42
199112,0.82,0.48
199201,0.61,0.30
199202,0.92,0.57
199203,1.16,0.76
199204,-0.54,-0.99
199205,1.23,0.72
199206,1.23,0.69
199207,1.67,1.06
199208,1.15,0.53
199209,0.01,-0.51
199210,-0.42,-0.86
199211,-0.75,-1.18
199212,0.50,0.16
199301,2.23,1.92
199302,3.39,3.04
199303,3.01,2.61
199304,2.68,2.23
199305,3.80,3.29
199306,4.19,3.65
199307,2.97,2.36
199308,3.55,2.93
199309,2.05,1.53
199310,2.87,2.43
199311,2.76,2.33
199312,1.53,1.19
199401,0.28,-0.03
199402,0.71,0.36
199403,-1.16,-1.56
199404,-0.31,-0.76
199405,-1.03,-1.54
199406,-1.64,-2.18
199407,-2.57,-3.18
199408,-2.91,-3.53
199409,-2.41,-2.93
199410,-2.17,-2.61
199411,-1.25,-1.68
199412,-0.67,-1.01
199501,0.37,0.06
199502,-0.52,-0.87
199503,0.87,0.47
199504,1.24,0.79
199505,2.61,2.10
199506,3.36,2.82
199507,3.39,2.78
199508,2.86,2.24
199509,1.85,1.33
199510,-0.31,-0.75
199511,-1.78,-2.21
199512,-2.28,-2.62
199601,-2.44,-2.75
199602,-2.73,-3.08
199603,-3.14,-3.54
199604,-3.72,-4.17
199605,-4.33,-4.84
199606,-4.67,-5.21
199607,-5.07,-5.68
199608,-5.54,-6.16
199609,-3.22,-3.74
199610,-2.01,-2.45
199611,-0.66,-1.09
199612,-0.92,-1.26
199701,0.69,0.38
199702,1.23,0.88
199703,-0.12,-0.52
199704,1.04,0.59
199705,1.55,1.04
199706,1.47,0.93
199707,1.73,1.12
199708,2.09,1.47
199709,2.89,2.37
199710,2.72,2.28
199711,2.03,1.60
199712,1.07,0.73
199801,0.21,-0.10
199802,0.48,0.13
199803,0.53,0.13
199804,0.75,0.30
199805,0.16,-0.35
199806,-0.56,-1.10
199807,-0.40,-1.01
199808,-1.27,-1.89
199809,-1.28,-1.80
199810,1.16,0.72
199811,1.21,0.78
199812,0.04,-0.30
199901,-0.77,-1.08
199902,-1.12,-1.47
199903,-1.96,-2.36
199904,0.27,-0.18
199905,0.44,-0.07
199906,0.24,-0.30
199907,1.14,0.53
199908,2.15,1.53
199909,1.77,1.25
199910,-0.72,-1.16
199911,-1.75,-2.18
199912,-2.05,-2.39
200001,-1.52,-1.83
200002,-1.93,-2.28
200003,-0.16,-0.56
200004,-1.67,-2.12
200005,-2.28,-2.79
200006,-2.72,-3.26
200007,-3.18,-3.79
200008,-3.23,-3.85
200009,-3.38,-3.90
200010,-1.07,-1.51
200011,-0.48,-0.91
200012,-1.11,-1.45
200101,-0.34,-0.65
200102,-0.13,-0.48
200103,0.04,-0.36
200104,0.32,-0.13
200105,0.09,-0.42
200106,-0.28,-0.82
200107,-0.65,-1.26
200108,0.60,-0.02
200109,-0.73,-1.25
200110,-2.07,-2.51
200111,-1.98,-2.41
200112,-1.92,-2.26
200201,-2.28,-2.59
200202,-2.66,-3.01
200203,-2.85,-3.25
200204,-3.52,-3.97
200205,-4.32,-4.83
200206,-5.08,-5.62
200207,-5.51,-6.12
200208,-5.70,-6.32
200209,-1.71,-2.23
200210,-1.17,-1.61
200211,-1.37,-1.80
200212,-1.88,-2.22
200301,-3.00,-3.31
200302,-1.02,-1.37
200303,-0.95,-1.35
200304,-1.50,-1.95
200305,-2.38,-2.89
200306,-3.21,-3.75
200307,-3.77,-4.38
200308,-3.75,-4.37
200309,-2.66,-3.18
200310,-3.42,-3.86
200311,-2.50,-2.93
200312,-2.55,-2.89
200401,-2.63,-2.94
200402,-0.83,-1.18
200403,-2.59,-2.99
200404,-1.55,-2.00
200405,-2.37,-2.88
200406,-2.52,-3.06
200407,-2.82,-3.43
200408,-3.22,-3.84
200409,-0.15,-0.67
200410,-0.04,-0.48
200411,1.82,1.39
200412,1.90,1.56
200501,3.13,2.82
200502,3.77,3.42
200503,3.57,3.17
200504,3.51,3.06
200505,3.92,3.41
200506,4.46,3.92
200507,4.15,3.54
200508,4.11,3.49
200509,4.06,3.54
200510,3.13,2.69
200511,1.37,0.94
200512,-0.07,-0.41
