San Juan County, Utah December Palmer Z-Index
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-0.43,-0.56
199002,-0.92,-1.10
199003,-1.59,-1.74
199004,-1.37,-1.56
199005,-2.29,-2.63
199006,-2.76,-3.04
199007,-0.69,-1.01
199008,-1.27,-1.46
199009,1.68,1.57
199010,0.03,-0.01
199011,-0.37,-0.45
199012,-0.44,-0.42
199101,0.03,-0.10
199102,-1.37,-1.55
199103,1.01,0.86
199104,-0.78,-0.97
199105,-1.26,-1.60
199106,-1.16,-1.44
199107,-0.75,-1.07
199108,0.01,-0.18
199109,0.36,0.25
199110,-0.54,-0.58
199111,1.93,1.85
199112,0.94,0.96
199201,-0.27,-0.40
199202,0.85,0.67
199203,1.00,0.85
199204,-1.62,-1.81
199205,3.70,3.36
199206,0.38,0.10
199207,1.69,1.37
199208,-0.33,-0.52
199209,-1.12,-1.23
199210,-0.40,-0.44
199211,-0.74,-0.82
199212,1.49,1.51
199301,5.36,5.23
199302,4.15,3.97
199303,0.05,-0.10
199304,0.06,-0.13
199305,3.96,3.62
199306,2.35,2.07
199307,-1.02,-1.34
199308,1.47,1.28
199309,-1.48,-1.59
199310,1.59,1.55
199311,0.35,0.27
199312,-1.17,-1.15
199401,-1.34,-1.47
199402,0.80,0.62
199403,-2.40,-2.55
199404,1.18,0.99
199405,-1.25,-1.59
199406,-2.15,-2.43
199407,-3.31,-3.63
199408,-1.80,-1.99
199409,0.18,0.07
199410,-0.12,-0.16
199411,0.84,0.76
199412,0.48,0.50
199501,1.20,1.07
199502,-1.37,-1.55
199503,1.97,1.82
199504,1.35,1.16
199505,4.50,4.16
199506,3.08,2.80
199507,1.12,0.80
199508,-0.17,-0.36
199509,-0.87,-0.98
199510,-2.57,-2.61
199511,-2.20,-2.28
199512,-2.05,-2.03
199601,-1.20,-1.33
199602,-1.62,-1.80
199603,-2.07,-2.22
199604,-2.69,-2.88
199605,-2.98,-3.32
199606,-2.36,-2.64
199607,-2.64,-2.96
199608,-2.99,-3.18
199609,2.41,2.30
199610,1.06,1.02
199611,1.46,1.38
199612,-0.73,-0.71
199701,2.12,1.99
199702,0.79,0.61
199703,-2.16,-2.31
199704,1.78,1.59
199705,1.00,0.66
199706,0.25,-0.03
199707,1.22,0.90
199708,1.64,1.45
199709,3.05,2.94
199710,0.38,0.34
199711,-0.46,-0.54
