San Juan County, Utah January-December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,5.55,-5.12
199002,5.45,-5.22
199003,5.44,-5.25
199004,6.23,-4.44
199005,6.37,-4.30
199006,6.60,-4.06
199007,6.52,-4.15
199008,6.15,-4.53
199009,7.75,-2.92
199010,8.52,-2.17
199011,9.19,-1.50
199012,9.94,-0.75
199101,10.01,-0.66
199102,9.73,-0.94
199103,10.51,-0.18
199104,9.85,-0.82
199105,9.71,-0.96
199106,9.62,-1.04
199107,9.33,-1.34
199108,9.78,-0.90
199109,9.18,-1.49
199110,9.07,-1.62
199111,9.93,-0.76
199112,10.39,-0.30
199201,10.07,-0.60
199202,10.89,0.22
199203,11.05,0.36
199204,11.16,0.49
199205,13.01,2.34
199206,12.95,2.29
199207,13.47,2.80
199208,13.19,2.51
199209,12.61,1.94
199210,12.74,2.05
199211,11.48,0.79
199212,11.86,1.17
199301,14.36,3.69
199302,15.41,4.74
199303,14.72,4.03
199304,14.92,4.25
199305,13.96,3.29
199306,13.91,3.25
199307,12.58,1.91
199308,13.23,2.55
199309,13.04,2.37
199310,13.64,2.95
199311,14.10,3.41
199312,12.86,2.17
199401,10.11,-0.56
199402,9.04,-1.63
199403,8.43,-2.26
199404,9.78,-0.89
199405,9.11,-1.56
199406,9.10,-1.56
199407,9.24,-1.43
199408,8.39,-2.29
199409,9.15,-1.52
199410,8.38,-2.31
199411,8.60,-2.09
199412,9.35,-1.34
199501,10.32,-0.35
199502,9.82,-0.85
199503,11.64,0.95
199504,10.88,0.21
199505,12.37,1.70
199506,13.12,2.46
199507,13.62,2.95
199508,13.93,3.25
199509,13.48,2.81
199510,12.44,1.75
199511,11.70,1.01
199512,10.78,0.09
199601,9.98,-0.69
199602,9.97,-0.70
199603,8.33,-2.36
199604,7.62,-3.05
199605,6.17,-4.50
199606,5.83,-4.83
199607,5.73,-4.94
199608,4.95,-5.73
199609,6.07,-4.60
199610,7.69,-3.00
199611,8.94,-1.75
199612,9.30,-1.39
199701,10.52,-0.15
199702,10.87,0.20
199703,10.64,-0.05
199704,11.84,1.17
199705,12.09,1.42
199706,11.91,1.25
199707,12.67,2.00
199708,14.09,3.41
199709,14.43,3.76
199710,14.08,3.39
199711,13.28,2.59
199712,13.29,2.60
199801,12.19,1.52
199802,12.32,1.65
199803,13.27,2.58
199804,12.41,1.74
