Sanpete County, Utah January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,44.5,1.4
199002,44.6,1.5
199003,44.4,1.3
199004,44.4,1.3
199005,44.3,1.2
199006,44.6,1.5
199007,44.4,1.3
199008,44.5,1.4
199009,44.8,1.7
199010,44.8,1.7
199011,44.7,1.6
199012,44.0,0.9
199101,43.5,0.4
199102,44.1,1.0
199103,43.6,0.5
199104,43.0,-0.1
199105,42.8,-0.3
199106,42.6,-0.5
199107,42.6,-0.5
199108,42.6,-0.5
199109,42.3,-0.8
199110,42.3,-0.8
199111,42.2,-0.9
199112,43.0,-0.1
199201,43.3,0.2
199202,43.3,0.2
199203,43.9,0.8
199204,44.7,1.6
199205,45.3,2.2
199206,45.4,2.3
199207,45.1,2.0
199208,45.2,2.1
199209,45.3,2.2
199210,45.5,2.4
199211,45.1,2.0
199212,44.6,1.5
199301,44.6,1.5
199302,44.0,0.9
199303,43.9,0.8
199304,43.2,0.1
199305,43.1,0.0
199306,42.8,-0.3
199307,42.7,-0.4
199308,42.4,-0.7
199309,42.3,-0.8
199310,41.9,-1.2
199311,41.9,-1.2
199312,42.3,-0.8
199401,42.6,-0.5
199402,42.7,-0.4
199403,42.9,-0.2
199404,43.1,0.0
199405,43.2,0.1
199406,43.9,0.8
199407,44.4,1.3
199408,44.8,1.7
199409,45.1,2.0
199410,45.1,2.0
199411,44.9,1.8
199412,44.9,1.8
199501,44.8,1.7
199502,45.6,2.5
199503,45.4,2.3
199504,45.1,2.0
199505,44.4,1.3
199506,43.6,0.5
199507,43.2,0.1
199508,43.1,0.0
199509,43.0,-0.1
199510,43.1,0.0
199511,44.1,1.0
199512,44.4,1.3
199601,44.4,1.3
199602,44.0,0.9
199603,44.0,0.9
199604,44.2,1.1
199605,44.7,1.6
199606,45.4,2.3
199607,45.7,2.6
199608,45.7,2.6
199609,45.4,2.3
199610,45.3,2.2
199611,44.9,1.8
199612,44.7,1.6
199701,44.5,1.4
199702,44.0,0.9
199703,44.1,1.0
199704,43.9,0.8
199705,44.0,0.9
199706,43.8,0.7
199707,43.4,0.3
199708,43.3,0.2
199709,43.6,0.5
199710,43.6,0.5
199711,43.7,0.6
199712,43.4,0.3
199801,43.7,0.6
199802,43.9,0.8
199803,43.7,0.6
199804,43.7,0.6
199805,43.4,0.3
199806,43.0,-0.1
199807,43.3,0.2
199808,43.4,0.3
199809,43.5,0.4
199810,43.4,0.3
199811,43.4,0.3
199812,43.5,0.4
199901,43.6,0.5
199902,43.9,0.8
199903,44.2,1.1
199904,44.0,0.9
199905,43.9,0.8
199906,44.2,1.1
199907,44.1,1.0
199908,43.9,0.8
199909,43.6,0.5
199910,43.9,0.8
199911,44.4,1.3
199912,44.5,1.4
200001,44.5,1.4
200002,44.6,1.5
200003,44.4,1.3
200004,45.1,2.0
200005,45.6,2.5
200006,45.9,2.8
200007,46.1,3.0
200008,46.4,3.3
200009,46.6,3.5
