Sanpete County, Utah January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,164,34
199002,164,34
199003,164,34
199004,164,34
199005,164,34
199006,185,55
199007,150,20
199008,161,30
199009,175,44
199010,175,44
199011,175,44
199012,175,44
199101,175,45
199102,175,45
199103,175,45
199104,175,45
199105,175,45
199106,157,27
199107,151,21
199108,165,34
199109,144,13
199110,144,13
199111,144,13
199112,144,13
199201,144,14
199202,144,14
199203,144,14
199204,144,14
199205,149,19
199206,151,21
199207,107,-23
199208,112,-19
199209,120,-11
199210,120,-11
199211,120,-11
199212,120,-11
199301,120,-10
199302,120,-10
199303,120,-10
199304,120,-10
199305,115,-15
199306,104,-26
199307,87,-43
199308,51,-80
199309,43,-88
199310,43,-88
199311,43,-88
199312,43,-88
199401,43,-87
199402,43,-87
199403,43,-87
199404,43,-87
199405,43,-87
199406,99,-31
199407,194,64
199408,283,152
199409,296,165
199410,296,165
199411,296,165
199412,296,165
199501,296,166
199502,296,166
199503,296,166
199504,296,166
199505,296,166
199506,234,104
199507,159,29
199508,123,-8
199509,118,-13
199510,118,-13
199511,118,-13
199512,118,-13
199601,118,-12
199602,118,-12
199603,118,-12
199604,118,-12
199605,118,-12
199606,163,33
199607,235,105
199608,226,95
199609,218,87
199610,218,87
199611,218,87
199612,218,87
199701,218,88
199702,218,88
199703,218,88
199704,218,88
199705,218,88
199706,196,66
199707,120,-10
199708,101,-30
199709,108,-23
199710,108,-23
199711,108,-23
199712,108,-23
199801,108,-22
199802,108,-22
199803,108,-22
199804,108,-22
199805,108,-22
199806,85,-45
199807,152,22
199808,166,35
199809,169,38
199810,169,38
199811,169,38
199812,169,38
199901,169,39
199902,169,39
199903,169,39
199904,169,39
199905,169,39
199906,184,54
199907,152,22
199908,121,-10
199909,111,-20
199910,111,-20
199911,111,-20
199912,111,-20
200001,111,-19
200002,111,-19
200003,111,-19
200004,111,-19
200005,117,-13
200006,137,7
200007,179,49
200008,236,105
200009,243,112
200010,243,112
200011,243,112
200012,243,112
200101,243,113
200102,243,113
200103,243,113
200104,243,113
200105,243,113
200106,242,112
200107,216,86
200108,219,88
200109,232,101
200110,232,101
200111,232,101
200112,232,101
200201,232,102
200202,232,102
200203,232,102
200204,232,102
200205,226,96
200206,245,115
200207,336,206
200208,301,170
200209,281,150
200210,281,150
200211,281,150
200212,281,150
200301,281,151
200302,281,151
200303,281,151
200304,281,151
200305,281,151
200306,249,119
200307,253,123
200308,274,143
200309,280,149
200310,280,149
200311,280,149
200312,280,149
200401,280,150
200402,280,150
200403,280,150
200404,280,150
200405,280,150
200406,282,152
200407,173,43
200408,116,-15
200409,110,-21
200410,110,-21
200411,110,-21
200412,110,-21
200501,110,-20
200502,110,-20
200503,110,-20
200504,110,-20
200505,110,-20
200506,94,-36
200507,146,16
200508,154,23
200509,154,23
200510,154,23
200511,154,23
200512,154,23
200601,154,24
200602,154,24
200603,154,24
200604,154,24
200605,154,24
200606,194,64
200607,187,57
200608,194,63
200609,194,63
200610,194,63
200611,194,63
200612,194,63
200701,194,64
200702,194,64
200703,194,64
200704,194,64
200705,194,64
200706,189,59
200707,223,93
200708,270,139
200709,276,145
200710,276,145
200711,276,145
200712,276,145
200801,276,146
200802,276,146
200803,276,146
200804,276,146
200805,276,146
200806,250,120
200807,200,70
200808,181,50
200809,181,50
200810,181,50
200811,181,50
200812,181,50
200901,181,51
200902,181,51
200903,181,51
200904,181,51
200905,181,51
200906,173,43
200907,163,33
200908,135,4
200909,142,11
200910,142,11
200911,142,11
200912,142,11
201001,142,12
201002,142,12
201003,142,12
201004,142,12
201005,142,12
201006,155,25
201007,148,18
201008,150,19
201009,149,18
201010,149,18
201011,149,18
201012,149,18
201101,149,19
201102,149,19
201103,149,19
201104,149,19
201105,149,19
201106,139,9
201107,118,-12
201108,153,22
201109,150,19
201110,150,19
201111,150,19
201112,150,19
201201,150,20
201202,150,20
201203,150,20
201204,150,20
201205,150,20
201206,188,58
201207,200,70
201208,211,80
201209,212,81
201210,212,81
201211,212,81
201212,212,81
201301,212,82
201302,212,82
201303,212,82
201304,212,82
201305,212,82
201306,212,82
201307,242,112
201308,211,80
201309,207,76
201310,207,76
201311,207,76
201312,207,76
201401,207,77
201402,207,77
201403,207,77
201404,207,77
201405,207,77
201406,182,52
201407,197,67
201408,165,34
201409,176,45
201410,176,45
201411,176,45
201412,176,45
201501,176,46
201502,176,46
201503,176,46
201504,176,46
201505,176,46
201506,232,102
201507,159,29
201508,200,69
201509,209,78
201510,209,78
201511,209,78
201512,209,78
201601,209,79
201602,209,79
201603,209,79
201604,209,79
201605,209,79
201606,213,83
201607,275,145
201608,264,133
201609,243,112
201610,243,112
201611,243,112
201612,243,112
201701,243,113
201702,243,113
201703,243,113
201704,243,113
201705,243,113
201706,221,91
201707,257,127
201708,278,147
201709,273,142
201710,273,142
201711,273,142
201712,273,142
201801,273,143
201802,273,143
201803,273,143
201804,273,143
201805,273,143
201806,277,147
201807,321,191
201808,341,210
201809,370,239
201810,370,239
201811,370,239
201812,370,239
201901,370,240
201902,370,240
201903,370,240
201904,370,240
201905,370,240
201906,317,187
201907,230,100
201908,229,98
201909,211,80
201910,211,80
201911,211,80
201912,211,80
202001,211,81
202002,211,81
202003,211,81
202004,211,81
202005,216,86
202006,224,94
202007,232,102
202008,306,175
202009,309,178
202010,309,178
202011,309,178
202012,309,178
202101,309,179
202102,309,179
202103,309,179
202104,309,179
202105,304,174
202106,389,259
202107,450,320
202108,344,213
202109,346,215
202110,346,215
202111,346,215
202112,346,215
202201,346,216
202202,346,216
202203,346,216
202204,346,216
202205,346,216
202206,281,151
202207,270,140
202208,300,169
202209,320,189
202210,320,189
202211,320,189
202212,320,189
202301,320,190
202302,320,190
202303,320,190
202304,320,190
202305,320,190
202306,291,161
202307,280,150
202308,256,125
202309,229,98
202310,229,98
202311,229,98
202312,229,98
202401,229,99
202402,229,99
202403,229,99
