Sanpete County, Utah January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,7618,-469
199002,7585,-501
199003,7628,-459
199004,7651,-434
199005,7689,-395
199006,7606,-478
199007,7620,-464
199008,7603,-480
199009,7513,-568
199010,7493,-587
199011,7542,-541
199012,7810,-273
199101,7981,-106
199102,7782,-304
199103,7967,-120
199104,8183,98
199105,8262,178
199106,8328,244
199107,8332,248
199108,8317,234
199109,8431,350
199110,8412,332
199111,8448,365
199112,8176,93
199201,8060,-27
199202,8041,-45
199203,7836,-251
199204,7525,-560
199205,7309,-775
199206,7295,-789
199207,7339,-745
199208,7334,-749
199209,7297,-784
199210,7216,-864
199211,7345,-738
199212,7538,-545
199301,7535,-552
199302,7742,-344
199303,7793,-294
199304,8037,-48
199305,8075,-9
199306,8166,82
199307,8200,116
199308,8249,166
199309,8304,223
199310,8453,373
199311,8429,346
199312,8272,189
199401,8170,83
199402,8125,39
199403,8057,-30
199404,7983,-102
199405,7966,-118
199406,7776,-308
199407,7682,-402
199408,7599,-484
199409,7503,-578
199410,7525,-555
199411,7589,-494
199412,7572,-511
199501,7618,-469
199502,7356,-730
199503,7446,-641
199504,7558,-527
199505,7794,-290
199506,8028,-56
199507,8084,0
199508,8103,20
199509,8144,63
199510,8093,13
199511,7741,-342
199512,7629,-454
199601,7608,-479
199602,7748,-338
199603,7749,-338
199604,7697,-388
199605,7514,-570
199606,7302,-782
199607,7247,-837
199608,7255,-828
199609,7344,-737
199610,7379,-701
199611,7518,-565
199612,7605,-478
199701,7663,-424
199702,7853,-233
199703,7804,-283
199704,7877,-208
199705,7835,-249
199706,7890,-194
199707,7950,-134
199708,7969,-114
199709,7889,-192
199710,7860,-220
199711,7848,-235
199712,7950,-133
199801,7844,-243
199802,7762,-324
199803,7860,-227
199804,7834,-251
199805,7944,-140
199806,8091,7
199807,8034,-50
199808,8019,-64
199809,7990,-91
199810,8019,-61
199811,8002,-81
199812,7972,-111
199901,7959,-128
199902,7856,-230
199903,7740,-347
199904,7800,-285
199905,7850,-234
199906,7739,-345
199907,7759,-325
199908,7795,-288
199909,7892,-189
199910,7770,-310
199911,7617,-466
199912,7581,-502
200001,7575,-512
200002,7527,-559
200003,7625,-462
200004,7363,-722
200005,7166,-918
200006,7095,-989
200007,7071,-1013
200008,7015,-1068
200009,6944,-1137
200010,7033,-1047
200011,7454,-629
200012,7367,-716
200101,7508,-579
200102,7613,-473
200103,7530,-557
200104,7634,-451
200105,7632,-452
200106,7634,-450
200107,7646,-438
200108,7644,-439
200109,7565,-516
200110,7483,-597
200111,7203,-880
200112,7414,-669
200201,7479,-608
200202,7565,-521
200203,7749,-338
200204,7680,-405
200205,7769,-315
200206,7735,-349
200207,7707,-377
200208,7734,-349
200209,7853,-228
200210,8003,-77
200211,8091,8
200212,7958,-125
200301,7671,-416
200302,7643,-443
200303,7515,-572
200304,7615,-470
200305,7577,-507
200306,7649,-435
200307,7649,-435
200308,7631,-452
200309,7603,-478
200310,7355,-725
200311,7398,-685
200312,7315,-768
200401,7598,-489
200402,7678,-408
200403,7485,-602
200404,7430,-655
200405,7457,-627
200406,7453,-631
200407,7491,-593
200408,7564,-519
200409,7610,-471
200410,7796,-284
200411,7731,-352
200412,7785,-298
200501,7521,-566
200502,7346,-740
200503,7568,-519
200504,7619,-466
200505,7624,-460
200506,7729,-355
200507,7704,-380
200508,7686,-397
200509,7672,-409
200510,7618,-462
200511,7516,-567
200512,7495,-588
200601,7636,-451
200602,7700,-386
200603,7775,-312
200604,7710,-375
200605,7644,-440
200606,7480,-604
200607,7482,-602
200608,7471,-612
200609,7546,-535
200610,7635,-445
200611,7677,-406
200612,7755,-328
200701,7960,-127
200702,7895,-191
200703,7671,-416
200704,7678,-407
200705,7708,-376
200706,7717,-367
200707,7710,-374
200708,7662,-421
200709,7565,-516
200710,7512,-568
200711,7427,-656
200712,7538,-545
200801,7537,-550
200802,7657,-429
200803,7883,-204
200804,8050,-35
200805,8211,127
200806,8290,206
200807,8303,219
200808,8319,236
200809,8318,237
200810,8282,202
200811,8298,215
200812,8203,120
200901,8009,-78
200902,7906,-180
200903,7817,-270
200904,7749,-336
200905,7581,-503
200906,7648,-436
200907,7652,-432
200908,7683,-400
200909,7616,-465
200910,7768,-312
200911,7805,-278
200912,7968,-115
201001,7987,-100
201002,8070,-16
201003,8096,9
201004,8109,24
201005,8339,255
201006,8248,164
201007,8252,168
201008,8250,167
201009,8254,173
201010,8089,9
201011,8241,158
201012,7898,-185
201101,7995,-92
201102,8059,-27
201103,8042,-45
201104,8067,-18
201105,8048,-36
201106,8106,22
201107,8123,39
201108,8086,3
201109,8114,33
201110,8142,62
201111,8096,13
201112,8255,172
201201,8069,-18
201202,7985,-101
201203,7857,-230
201204,7689,-396
201205,7481,-603
201206,7356,-728
201207,7346,-738
201208,7338,-745
201209,7324,-757
201210,7299,-781
201211,7127,-956
201212,7151,-932
201301,7469,-618
201302,7581,-505
201303,7645,-442
201304,7785,-300
201305,7845,-239
201306,7846,-238
201307,7829,-255
201308,7856,-227
201309,7901,-180
201310,8028,-52
201311,8110,27
201312,8199,116
201401,7899,-188
201402,7674,-412
201403,7686,-401
201404,7617,-468
201405,7583,-501
201406,7638,-446
201407,7633,-451
201408,7682,-401
201409,7600,-481
201410,7396,-684
201411,7421,-662
201412,7197,-886
201501,7103,-984
201502,6978,-1108
201503,6826,-1261
201504,6817,-1268
201505,6888,-1196
201506,6794,-1290
201507,6842,-1242
201508,6784,-1299
201509,6751,-1330
201510,6707,-1373
201511,6827,-1256
201512,6960,-1123
201601,7149,-938
201602,7289,-797
201603,7381,-706
201604,7337,-748
201605,7331,-753
201606,7326,-758
201607,7281,-803
201608,7293,-790
201609,7418,-663
201610,7453,-627
201611,7240,-843
201612,7242,-841
201701,7263,-824
201702,7178,-908
201703,7064,-1023
201704,7138,-947
201705,7091,-993
201706,7116,-968
201707,7108,-976
201708,7087,-996
201709,7108,-973
201710,7263,-817
201711,7194,-889
201712,7029,-1054
201801,6791,-1296
201802,6930,-1156
201803,7128,-959
201804,7041,-1044
201805,6991,-1093
201806,6988,-1096
201807,6979,-1105
201808,6965,-1118
201809,6812,-1269
201810,6844,-1236
201811,7103,-980
201812,7260,-823
201901,7472,-615
201902,7602,-484
201903,7613,-474
201904,7622,-463
201905,7845,-239
201906,7973,-111
201907,7993,-91
201908,7994,-89
201909,8068,-13
201910,8190,110
201911,8063,-20
201912,7984,-99
202001,7921,-166
202002,7812,-274
202003,7751,-336
202004,7799,-286
202005,7546,-538
202006,7508,-576
202007,7505,-579
202008,7485,-598
202009,7463,-618
202010,7181,-899
202011,7182,-901
202012,7249,-834
202101,7316,-771
202102,7321,-765
202103,7402,-685
202104,7383,-702
202105,7423,-661
202106,7292,-792
202107,7281,-803
202108,7326,-757
202109,7318,-763
202110,7457,-623
202111,7328,-755
202112,7227,-856
202201,7153,-934
202202,7243,-843
202203,7203,-884
202204,7244,-841
202205,7339,-745
202206,7414,-670
202207,7415,-669
202208,7391,-692
202209,7332,-749
202210,7237,-843
202211,7557,-526
202212,7626,-457
202301,7751,-336
202302,7765,-321
202303,7988,-99
202304,8035,-50
202305,7927,-157
202306,8033,-51
202307,8034,-50
202308,8052,-31
202309,8152,71
202310,8156,76
202311,7941,-142
202312,7774,-309
202401,7620,-467
202402,7427,-659
202403,7239,-848
