Sanpete County, Utah January-December Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,56.9,1.6
199002,57.0,1.7
199003,56.8,1.6
199004,56.7,1.4
199005,56.5,1.2
199006,56.9,1.6
199007,56.7,1.4
199008,56.8,1.5
199009,57.0,1.7
199010,57.1,1.8
199011,56.9,1.6
199012,56.2,0.9
199101,55.8,0.5
199102,56.6,1.3
199103,56.1,0.9
199104,55.5,0.2
199105,55.3,0.0
199106,55.0,-0.3
199107,55.0,-0.3
199108,55.0,-0.3
199109,54.6,-0.7
199110,54.6,-0.7
199111,54.3,-1.0
199112,55.0,-0.3
199201,55.4,0.1
199202,55.2,-0.1
199203,55.8,0.6
199204,56.8,1.5
199205,57.4,2.1
199206,57.5,2.2
199207,57.2,1.9
199208,57.3,2.0
199209,57.5,2.2
199210,57.7,2.4
199211,57.4,2.1
199212,56.9,1.6
199301,56.6,1.3
199302,55.9,0.6
199303,55.8,0.6
199304,55.0,-0.3
199305,54.9,-0.4
199306,54.5,-0.8
199307,54.4,-0.9
199308,54.2,-1.1
199309,54.1,-1.2
199310,53.6,-1.7
199311,53.7,-1.6
199312,54.2,-1.1
199401,54.6,-0.7
199402,54.9,-0.4
199403,55.3,0.1
199404,55.5,0.2
199405,55.6,0.3
199406,56.5,1.2
199407,57.1,1.8
199408,57.6,2.3
199409,57.7,2.4
199410,57.7,2.4
199411,57.4,2.1
199412,57.4,2.1
199501,57.1,1.8
199502,58.0,2.7
199503,57.6,2.4
199504,57.2,1.9
199505,56.4,1.1
199506,55.4,0.1
199507,54.9,-0.4
199508,54.8,-0.5
199509,54.7,-0.6
199510,55.1,-0.2
199511,56.2,0.9
199512,56.5,1.2
199601,56.6,1.3
199602,56.2,0.9
199603,56.3,1.1
199604,56.6,1.3
199605,57.2,1.9
199606,58.1,2.8
199607,58.5,3.2
199608,58.6,3.3
199609,58.2,2.9
199610,58.0,2.7
199611,57.5,2.2
199612,57.2,1.9
199701,57.0,1.7
199702,56.4,1.1
199703,56.6,1.4
199704,56.4,1.1
