Sanpete County, Utah January-December Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,32.0,1.0
199002,32.1,1.1
199003,32.1,1.1
199004,32.0,1.0
199005,32.0,1.0
199006,32.2,1.2
199007,32.2,1.2
199008,32.2,1.2
199009,32.5,1.5
199010,32.6,1.6
199011,32.5,1.5
199012,31.7,0.7
199101,31.2,0.2
199102,31.7,0.7
199103,31.1,0.1
199104,30.6,-0.4
199105,30.3,-0.7
199106,30.2,-0.8
199107,30.1,-0.9
199108,30.3,-0.7
199109,30.0,-1.0
199110,30.0,-1.0
199111,30.1,-0.9
199112,30.9,-0.1
199201,31.2,0.2
199202,31.4,0.4
199203,31.9,0.9
199204,32.7,1.7
199205,33.2,2.2
199206,33.3,2.3
199207,33.1,2.1
199208,33.0,2.0
199209,33.0,2.0
199210,33.3,2.3
199211,32.8,1.8
199212,32.4,1.4
199301,32.6,1.6
199302,32.1,1.1
199303,32.0,1.0
199304,31.4,0.4
199305,31.3,0.3
199306,31.1,0.1
199307,30.9,-0.1
199308,30.7,-0.3
199309,30.4,-0.6
199310,30.1,-0.9
199311,30.1,-0.9
199312,30.5,-0.5
199401,30.6,-0.4
199402,30.6,-0.4
199403,30.6,-0.4
199404,30.8,-0.2
199405,30.8,-0.2
199406,31.3,0.3
199407,31.7,0.7
199408,32.1,1.1
199409,32.5,1.5
199410,32.5,1.5
199411,32.4,1.4
199412,32.5,1.5
199501,32.5,1.5
199502,33.2,2.2
199503,33.2,2.2
199504,32.9,1.9
199505,32.4,1.4
199506,31.8,0.8
199507,31.6,0.6
199508,31.5,0.5
199509,31.3,0.3
199510,31.1,0.1
199511,32.0,1.0
199512,32.3,1.3
199601,32.3,1.3
199602,31.9,0.9
199603,31.8,0.8
199604,31.8,0.8
199605,32.1,1.1
199606,32.6,1.6
199607,32.9,1.9
199608,32.7,1.7
199609,32.5,1.5
199610,32.6,1.6
199611,32.3,1.3
199612,32.2,1.2
199701,32.1,1.1
199702,31.5,0.5
199703,31.5,0.5
199704,31.4,0.4
199705,31.4,0.4
199706,31.4,0.4
199707,31.0,0.0
199708,31.2,0.2
199709,31.6,0.6
199710,31.6,0.6
199711,31.7,0.7
199712,31.3,0.3
199801,31.5,0.5
199802,31.9,0.9
199803,31.8,0.8
199804,31.9,0.9
199805,31.7,0.7
199806,31.3,0.3
199807,31.7,0.7
199808,31.6,0.6
199809,31.7,0.7
199810,31.8,0.8
199811,31.8,0.8
199812,31.8,0.8
199901,31.8,0.8
199902,31.9,0.9
199903,32.2,1.2
199904,32.0,1.0
199905,31.9,0.9
199906,32.1,1.1
199907,32.1,1.1
