Sanpete County, Utah December Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.23,-3.48
199002,-3.30,-3.65
199003,-3.29,-3.56
199004,-3.15,-3.32
199005,-3.28,-3.55
199006,-2.58,-2.80
199007,-2.36,-2.62
199008,-2.51,-2.82
199009,-2.23,-2.58
199010,-2.04,-2.37
199011,-2.09,-2.31
199012,-2.19,-2.34
199101,-2.51,-2.76
199102,-3.03,-3.38
199103,0.06,-0.21
199104,0.39,0.22
199105,0.94,0.67
199106,0.72,0.50
199107,0.57,0.31
199108,0.83,0.52
199109,1.30,0.95
199110,-0.13,-0.46
199111,0.12,-0.10
199112,-0.63,-0.78
199201,-1.21,-1.46
199202,-1.44,-1.79
199203,-1.67,-1.94
199204,-2.49,-2.66
199205,0.31,0.04
199206,-0.11,-0.33
199207,-0.30,-0.56
199208,-0.36,-0.67
199209,-0.44,-0.79
199210,-0.44,-0.77
199211,0.09,-0.13
199212,0.13,-0.02
199301,1.10,0.85
199302,2.12,1.77
199303,2.23,1.96
199304,1.74,1.57
199305,1.72,1.45
199306,1.84,1.62
199307,1.63,1.37
199308,1.70,1.39
199309,1.29,0.94
199310,1.56,1.23
199311,0.05,-0.17
199312,-0.39,-0.54
199401,-0.82,-1.07
199402,-0.57,-0.92
199403,-1.14,-1.41
199404,-0.75,-0.92
199405,-1.10,-1.37
199406,-1.68,-1.90
199407,-2.53,-2.79
199408,-2.73,-3.04
199409,-2.50,-2.85
199410,0.94,0.61
199411,1.53,1.31
199412,1.21,1.06
199501,1.54,1.29
199502,1.16,0.81
199503,1.44,1.17
199504,2.38,2.21
199505,3.94,3.67
199506,4.36,4.14
199507,4.72,4.46
199508,4.63,4.32
199509,0.05,-0.30
199510,-0.45,-0.78
199511,-1.11,-1.33
199512,-1.20,-1.35
199601,0.42,0.17
199602,0.84,0.49
199603,0.96,0.69
199604,-0.21,-0.38
199605,-0.12,-0.39
199606,-0.34,-0.56
199607,-0.78,-1.04
199608,-1.58,-1.89
199609,0.11,-0.24
199610,0.38,0.05
199611,1.09,0.87
199612,1.46,1.31
199701,2.91,2.66
199702,2.77,2.42
199703,1.59,1.32
199704,2.21,2.04
199705,2.02,1.75
199706,1.99,1.77
199707,1.88,1.62
199708,2.29,1.98
199709,3.53,3.18
199710,3.46,3.13
199711,3.03,2.81
199712,2.46,2.31
199801,2.41,2.16
199802,3.20,2.85
199803,3.00,2.73
199804,2.86,2.69
199805,2.22,1.95
199806,3.05,2.83
199807,3.91,3.65
199808,3.95,3.64
199809,4.02,3.67
199810,4.28,3.95
199811,3.84,3.62
199812,3.12,2.97
199901,2.92,2.67
199902,2.61,2.26
199903,1.58,1.31
199904,2.79,2.62
199905,3.10,2.83
199906,2.98,2.76
199907,3.57,3.31
199908,4.17,3.86
199909,3.85,3.50
199910,-0.65,-0.98
199911,-1.58,-1.80
199912,-1.99,-2.14
200001,-1.73,-1.98
200002,-0.97,-1.32
200003,-0.82,-1.09
200004,-1.53,-1.70
200005,-1.51,-1.78
200006,-1.42,-1.64
200007,-2.05,-2.31
200008,-2.00,-2.31
200009,-1.83,-2.18
200010,-0.91,-1.24
200011,-1.03,-1.25
200012,-1.19,-1.34
200101,-1.31,-1.56
200102,-1.18,-1.53
200103,-1.25,-1.52
200104,-1.06,-1.23
200105,-1.25,-1.52
200106,-1.48,-1.70
200107,-1.43,-1.69
200108,-1.38,-1.69
200109,-1.94,-2.29
200110,-2.21,-2.54
200111,-1.55,-1.77
200112,-1.54,-1.69
200201,-2.02,-2.27
200202,-2.50,-2.85
200203,-2.51,-2.78
200204,-2.70,-2.87
200205,-3.11,-3.38
200206,-3.54,-3.76
200207,-4.19,-4.45
200208,-4.81,-5.12
200209,1.11,0.76
200210,1.40,1.07
200211,1.55,1.33
200212,-0.02,-0.17
200301,-0.51,-0.76
200302,-0.39,-0.74
200303,-0.09,-0.36
200304,-0.21,-0.38
200305,-0.21,-0.48
200306,-0.37,-0.59
200307,-0.88,-1.14
200308,-0.52,-0.83
200309,-0.90,-1.25
200310,-1.68,-2.01
200311,0.37,0.15
200312,0.83,0.68
200401,0.72,0.47
200402,1.21,0.86
200403,-1.08,-1.35
200404,0.50,0.33
200405,-0.40,-0.67
200406,-0.27,-0.49
200407,-0.41,-0.67
200408,-0.67,-0.98
200409,-0.92,-1.27
200410,1.49,1.16
200411,1.90,1.68
200412,1.84,1.69
200501,2.68,2.43
200502,2.65,2.30
200503,2.54,2.27
200504,2.17,2.00
200505,2.62,2.35
200506,3.15,2.93
200507,3.23,2.97
200508,2.96,2.65
200509,2.74,2.39
200510,2.79,2.46
200511,2.14,1.92
200512,2.18,2.03
200601,2.45,2.20
200602,2.24,1.89
200603,2.94,2.67
200604,2.82,2.65
200605,-0.77,-1.04
200606,-1.32,-1.54
200607,-1.72,-1.98
200608,-1.89,-2.20
200609,0.51,0.16
200610,1.62,1.29
200611,0.00,-0.22
200612,-0.18,-0.33
200701,-0.62,-0.87
200702,-0.64,-0.99
200703,-1.27,-1.54
200704,-1.46,-1.63
200705,-1.46,-1.73
200706,-1.54,-1.76
200707,-1.81,-2.07
