Sanpete County, Utah December Palmer Hydrological Drought Index (PHDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.23,-3.49
199002,-3.30,-3.61
199003,-3.29,-3.58
199004,-3.15,-3.48
199005,-3.28,-3.66
199006,-2.58,-2.91
199007,-2.36,-2.74
199008,-2.51,-2.88
199009,-2.23,-2.71
199010,-2.04,-2.52
199011,-2.09,-2.54
199012,-2.19,-2.50
199101,-2.51,-2.77
199102,-3.03,-3.34
199103,-2.65,-2.94
199104,-2.04,-2.37
199105,-1.25,-1.63
199106,-1.24,-1.57
199107,-1.19,-1.57
199108,-0.74,-1.11
199109,1.30,0.82
199110,1.03,0.55
199111,1.05,0.60
199112,-0.63,-0.94
199201,-1.21,-1.47
199202,-1.44,-1.75
199203,-1.67,-1.96
199204,-2.49,-2.82
199205,-1.92,-2.30
199206,-1.84,-2.17
199207,-1.85,-2.23
199208,-1.75,-2.12
199209,-1.68,-2.16
199210,-1.55,-2.03
199211,-1.30,-1.75
199212,-1.12,-1.43
199301,1.10,0.84
199302,2.12,1.81
199303,2.23,1.94
199304,1.74,1.41
199305,1.72,1.34
199306,1.84,1.51
199307,1.63,1.25
199308,1.70,1.33
199309,1.29,0.81
199310,1.56,1.08
199311,1.44,0.99
199312,0.91,0.60
199401,-0.82,-1.08
199402,-0.57,-0.88
199403,-1.14,-1.43
199404,-0.75,-1.08
199405,-1.10,-1.48
199406,-1.68,-2.01
199407,-2.53,-2.91
199408,-2.73,-3.10
199409,-2.50,-2.98
199410,-1.31,-1.79
199411,1.53,1.08
199412,1.21,0.90
199501,1.54,1.28
199502,1.16,0.85
199503,1.44,1.15
199504,2.38,2.05
199505,3.94,3.56
199506,4.36,4.03
199507,4.72,4.34
199508,4.63,4.26
199509,4.20,3.72
199510,3.32,2.84
199511,2.27,1.82
199512,1.83,1.52
199601,2.06,1.80
199602,2.31,2.00
199603,2.28,1.99
199604,1.84,1.51
199605,1.72,1.34
199606,1.31,0.98
199607,0.70,0.32
199608,-1.58,-1.95
199609,-1.31,-1.79
199610,-0.89,-1.37
