Sanpete County, Utah December Palmer Modified Drought Index (PMDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.23,-3.46
199002,-3.30,-3.65
199003,-3.29,-3.64
199004,-3.15,-3.49
199005,-3.28,-3.66
199006,-2.08,-2.42
199007,-1.87,-2.22
199008,-2.42,-2.82
199009,-2.06,-2.53
199010,-1.86,-2.29
199011,-2.09,-2.43
199012,-2.19,-2.39
199101,-2.51,-2.74
199102,-3.03,-3.38
199103,-2.51,-2.86
199104,-1.43,-1.77
199105,0.10,-0.28
199106,-0.05,-0.39
199107,-0.11,-0.46
199108,0.65,0.25
199109,1.30,0.83
199110,0.71,0.28
199111,0.86,0.52
199112,-0.63,-0.83
199201,-1.21,-1.44
199202,-1.44,-1.79
199203,-1.67,-2.02
199204,-2.49,-2.83
199205,-1.46,-1.84
199206,-1.45,-1.79
199207,-1.66,-2.01
199208,-1.61,-2.01
199209,-1.62,-2.09
199210,-1.48,-1.91
199211,-1.01,-1.35
199212,-0.70,-0.90
199301,1.10,0.87
199302,2.12,1.77
199303,2.23,1.88
199304,1.34,1.00
199305,1.46,1.08
199306,1.84,1.50
199307,1.53,1.18
199308,1.70,1.30
199309,0.85,0.38
199310,1.56,1.13
199311,1.44,1.10
199312,0.19,-0.01
199401,-0.82,-1.05
199402,-0.57,-0.92
199403,-1.14,-1.49
199404,-0.12,-0.46
199405,-1.10,-1.48
199406,-1.68,-2.02
199407,-2.53,-2.88
199408,-2.73,-3.13
199409,-2.50,-2.97
199410,-0.04,-0.47
199411,1.53,1.19
199412,0.87,0.67
199501,1.54,1.31
199502,0.73,0.38
199503,1.44,1.09
199504,2.38,2.04
199505,3.94,3.56
199506,4.36,4.02
199507,4.72,4.37
199508,4.63,4.23
199509,4.20,3.73
199510,2.74,2.31
199511,0.84,0.50
199512,0.19,-0.01
199601,0.88,0.65
199602,1.59,1.24
199603,1.72,1.37
199604,1.04,0.70
199605,0.96,0.58
199606,0.34,0.00
199607,-0.66,-1.01
199608,-1.58,-1.98
199609,-1.06,-1.53
199610,-0.15,-0.58
199611,1.09,0.75
199612,1.46,1.26
199701,2.91,2.68
199702,2.77,2.42
199703,0.40,0.05
199704,1.96,1.62
199705,1.75,1.37
199706,1.87,1.53
199707,1.80,1.45
199708,2.29,1.89
199709,3.53,3.06
199710,3.46,3.03
199711,2.88,2.54
199712,1.95,1.75
199801,2.08,1.85
199802,3.20,2.85
199803,3.00,2.65
199804,2.86,2.52
199805,1.72,1.34
199806,3.05,2.71
199807,3.91,3.56
199808,3.95,3.55
199809,4.02,3.55
199810,4.28,3.85
199811,3.78,3.44
199812,2.62,2.42
199901,2.51,2.28
199902,2.14,1.79
199903,0.23,-0.12
199904,2.79,2.45
199905,3.10,2.72
199906,2.98,2.64
199907,3.57,3.22
199908,4.17,3.77
199909,3.85,3.38
199910,2.00,1.57
199911,-0.47,-0.81
199912,-1.74,-1.94
200001,-1.52,-1.75
200002,-0.34,-0.69
200003,-0.30,-0.65
200004,-1.53,-1.87
200005,-1.51,-1.89
200006,-1.42,-1.76
200007,-2.05,-2.40
200008,-2.00,-2.40
200009,-1.82,-2.29
200010,0.21,-0.22
200011,-0.20,-0.54
200012,-0.67,-0.87
200101,-1.02,-1.25
200102,-0.84,-1.19
200103,-1.06,-1.41
200104,-0.71,-1.05
200105,-1.25,-1.63
200106,-1.48,-1.82
200107,-1.43,-1.78
200108,-1.38,-1.78
200109,-1.94,-2.41
200110,-2.21,-2.64
200111,-0.89,-1.23
200112,-1.04,-1.24
200201,-2.02,-2.25
200202,-2.50,-2.85
200203,-2.51,-2.86
200204,-2.70,-3.04
200205,-3.11,-3.49
200206,-3.54,-3.88
200207,-4.19,-4.54
200208,-4.81,-5.21
200209,-1.90,-2.37
200210,-0.70,-1.13
200211,0.12,-0.22
200212,0.19,-0.01
200301,-0.65,-0.88
200302,-0.34,-0.69
200303,0.27,-0.08
200304,0.11,-0.23
200305,0.14,-0.24
