Sanpete County, Utah December Palmer Z-Index
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-2.66,-2.81
199002,-1.19,-1.39
199003,-1.01,-1.07
199004,-0.58,-0.72
199005,-1.36,-1.55
199006,1.09,1.12
199007,-0.15,-0.30
199008,-1.18,-1.47
199009,0.07,-0.20
199010,-0.13,-0.28
199011,-0.76,-0.76
199012,-0.95,-0.85
199101,-1.63,-1.78
199102,-2.33,-2.53
199103,0.19,0.13
199104,1.00,0.86
199105,1.76,1.57
199106,-0.35,-0.32
199107,-0.25,-0.40
199108,0.98,0.69
199109,1.64,1.37
199110,-0.40,-0.55
199111,0.37,0.37
199112,-1.89,-1.79
199201,-1.93,-2.08
199202,-1.06,-1.26
199203,-1.13,-1.19
199204,-2.99,-3.13
199205,0.94,0.75
199206,-0.33,-0.30
199207,-0.61,-0.76
199208,-0.28,-0.57
199209,-0.33,-0.60
199210,-0.13,-0.28
199211,0.28,0.28
199212,0.14,0.24
199301,2.94,2.79
199302,3.42,3.22
199303,0.96,0.90
199304,-0.76,-0.90
199305,0.47,0.28
199306,0.90,0.93
199307,-0.07,-0.22
199308,0.72,0.43
199309,-0.72,-0.99
199310,1.21,1.06
199311,0.14,0.14
199312,-1.17,-1.07
199401,-1.41,-1.56
199402,0.49,0.29
199403,-1.87,-1.93
199404,0.81,0.67
199405,-1.28,-1.47
199406,-2.08,-2.05
199407,-3.09,-3.24
199408,-1.36,-1.65
199409,-0.17,-0.44
199410,2.81,2.66
199411,2.07,2.07
199412,-0.50,-0.40
199501,1.36,1.21
199502,-0.67,-0.87
199503,1.21,1.15
199504,3.27,3.13
199505,5.41,5.22
199506,2.49,2.52
199507,2.41,2.26
199508,1.20,0.91
199509,0.14,-0.13
199510,-1.35,-1.50
199511,-2.13,-2.13
199512,-0.62,-0.52
199601,1.25,1.10
199602,1.39,1.19
199603,0.63,0.57
199604,-0.62,-0.76
199605,0.19,0.00
199606,-0.68,-0.65
199607,-1.44,-1.59
199608,-2.63,-2.92
199609,0.33,0.06
199610,0.84,0.69
199611,2.26,2.26
199612,1.44,1.54
199701,4.80,4.65
199702,0.47,0.27
199703,-2.69,-2.75
199704,2.35,2.21
199705,0.11,-0.08
199706,0.54,0.57
199707,0.27,0.12
199708,1.81,1.52
199709,4.45,4.18
199710,0.88,0.73
199711,-0.22,-0.22
199712,-0.77,-0.67
199801,0.60,0.45
199802,3.10,2.90
199803,0.41,0.35
199804,0.50,0.36
199805,-1.05,-1.24
199806,3.17,3.20
199807,3.52,3.37
199808,1.35,1.06
199809,1.42,1.15
199810,2.04,1.89
199811,-0.01,-0.01
199812,-0.98,-0.88
199901,0.36,0.21
