Sanpete County, Utah January-December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,13.95,-5.52
199002,14.92,-4.58
199003,15.17,-4.35
199004,16.12,-3.36
199005,16.01,-3.48
199006,17.02,-2.49
199007,16.83,-2.68
199008,16.14,-3.38
199009,16.21,-3.30
199010,16.50,-3.03
199011,16.70,-2.82
199012,17.62,-1.91
199101,17.80,-1.67
199102,16.38,-3.12
199103,16.60,-2.92
199104,16.83,-2.65
199105,18.50,-0.99
199106,17.22,-2.29
199107,16.88,-2.63
199108,17.99,-1.53
199109,18.57,-0.94
199110,18.40,-1.13
199111,18.94,-0.58
199112,18.04,-1.49
199201,17.83,-1.64
199202,18.75,-0.75
199203,18.06,-1.46
199204,16.64,-2.84
199205,16.84,-2.65
199206,17.26,-2.25
199207,17.49,-2.02
199208,16.91,-2.61
199209,15.96,-3.55
199210,16.37,-3.16
199211,16.36,-3.16
199212,17.83,-1.70
199301,20.62,1.15
199302,22.45,2.95
199303,23.18,3.66
199304,23.73,4.25
199305,23.20,3.71
199306,23.50,3.99
199307,23.16,3.65
199308,23.35,3.83
199309,22.93,3.42
199310,23.36,3.83
199311,23.00,3.48
199312,21.88,2.35
199401,19.10,-0.37
199402,17.91,-1.59
199403,16.29,-3.23
199404,17.55,-1.93
199405,16.56,-2.93
199406,15.49,-4.02
199407,15.28,-4.23
199408,15.06,-4.46
199409,15.79,-3.72
199410,16.83,-2.70
199411,17.96,-1.56
199412,17.99,-1.54
199501,19.24,-0.23
199502,18.07,-1.43
199503,19.78,0.26
199504,20.93,1.45
199505,24.33,4.84
199506,26.17,6.66
199507,26.97,7.46
199508,27.13,7.61
199509,26.84,7.33
199510,24.22,4.69
199511,22.41,2.89
199512,23.30,3.77
199601,24.22,4.75
199602,25.52,6.02
199603,25.14,5.62
199604,22.87,3.39
199605,20.21,0.72
199606,18.75,-0.76
199607,18.36,-1.15
199608,17.25,-2.27
199609,17.53,-1.98
199610,18.94,-0.59
199611,21.29,1.77
199612,21.94,2.41
199701,23.02,3.55
199702,22.12,2.62
199703,20.13,0.61
199704,21.77,2.29
199705,21.82,2.33
199706,22.47,2.96
199707,22.83,3.32
199708,24.68,5.16
199709,26.82,7.31
199710,26.59,7.06
199711,24.76,5.24
199712,23.42,3.89
199801,21.36,1.89
199802,23.19,3.69
199803,24.87,5.35
199804,23.77,4.29
199805,22.81,3.32
199806,24.28,4.77
199807,25.31,5.80
199808,24.64,5.12
199809,22.92,3.41
199810,23.75,4.22
199811,23.83,4.31
199812,23.55,4.02
199901,23.32,3.85
199902,21.25,1.75
199903,19.90,0.38
199904,21.97,2.49
199905,23.55,4.06
199906,21.93,2.42
199907,21.78,2.27
199908,22.62,3.10
199909,21.84,2.33
199910,19.63,0.10
199911,18.58,-0.94
199912,18.82,-0.71
200001,19.63,0.16
200002,21.55,2.05
200003,22.80,3.28
200004,19.62,0.14
200005,18.86,-0.63
200006,19.12,-0.39
200007,17.38,-2.13
200008,16.59,-2.93
200009,16.85,-2.66
200010,19.39,-0.14
200011,19.99,0.47
200012,20.16,0.63
200101,18.86,-0.61
200102,17.42,-2.08
200103,17.23,-2.29
200104,18.49,-0.99
200105,18.15,-1.34
200106,17.42,-2.09
200107,18.60,-0.91
200108,18.50,-1.02
200109,17.52,-1.99
200110,15.45,-4.08
200111,17.37,-2.15
200112,17.59,-1.94
200201,16.71,-2.76
200202,15.61,-3.89
200203,15.57,-3.95
200204,14.85,-4.63
200205,13.93,-5.56
200206,13.62,-5.89
200207,12.72,-6.79
200208,11.50,-8.02
200209,14.33,-5.18
200210,15.50,-4.03
200211,14.65,-4.87
200212,14.75,-4.78
200301,14.77,-4.70
200302,15.97,-3.53
200303,16.70,-2.82
200304,16.95,-2.53
200305,18.22,-1.27
200306,18.54,-0.97
200307,18.62,-0.89
200308,20.53,1.01
200309,17.98,-1.53
200310,16.31,-3.22
200311,16.72,-2.80
200312,18.02,-1.51
200401,18.75,-0.72
200402,19.22,-0.28
200403,17.24,-2.28
200404,18.75,-0.73
200405,18.01,-1.48
200406,18.71,-0.80
200407,19.03,-0.48
200408,17.76,-1.76
200409,17.81,-1.70
200410,21.76,2.23
200411,21.48,1.96
200412,19.94,0.41
200501,21.59,2.12
200502,20.95,1.45
200503,22.64,3.12
200504,21.19,1.71
200505,23.09,3.60
200506,23.81,4.30
200507,23.46,3.95
200508,23.86,4.34
200509,24.47,4.96
200510,22.37,2.84
200511,21.37,1.85
200512,22.53,3.00
200601,22.23,2.76
200602,21.82,2.32
200603,23.12,3.60
200604,23.88,4.40
200605,21.47,1.98
200606,19.95,0.44
200607,20.46,0.95
200608,20.27,0.75
200609,20.98,1.47
200610,22.39,2.86
200611,22.65,3.13
200612,21.30,1.77
200701,19.28,-0.19
200702,19.54,0.04
200703,17.06,-2.46
200704,16.10,-3.38
200705,17.13,-2.36
200706,17.32,-2.19
200707,17.17,-2.34
200708,17.60,-1.92
200709,17.37,-2.14
200710,15.46,-4.07
200711,14.61,-4.91
200712,17.03,-2.50
200801,19.08,-0.39
200802,20.23,0.73
200803,20.28,0.76
200804,19.89,0.41
200805,20.44,0.95
200806,20.81,1.30
200807,20.75,1.24
200808,20.12,0.60
200809,19.10,-0.41
200810,18.51,-1.02
200811,19.27,-0.25
200812,17.89,-1.64
200901,17.64,-1.83
200902,16.39,-3.11
200903,16.90,-2.62
200904,18.75,-0.73
200905,18.34,-1.15
200906,19.03,-0.48
200907,18.47,-1.04
200908,17.91,-1.61
200909,18.56,-0.95
200910,18.56,-0.97
200911,17.89,-1.63
200912,18.14,-1.39
201001,16.86,-2.61
201002,16.72,-2.78
201003,17.20,-2.32
201004,16.77,-2.71
201005,16.94,-2.55
201006,16.61,-2.90
201007,17.36,-2.15
201008,18.18,-1.34
201009,16.83,-2.68
201010,18.95,-0.58
201011,20.39,0.87
201012,24.15,4.62
201101,23.70,4.23
201102,24.08,4.58
201103,24.26,4.74
201104,25.04,5.56
201105,26.57,7.08
201106,26.57,7.06
201107,27.47,7.96
201108,27.33,7.81
201109,28.14,8.63
201110,26.76,7.23
201111,25.98,6.46
201112,20.37,0.84
201201,21.19,1.72
201202,21.83,2.33
201203,21.06,1.54
201204,18.93,-0.55
201205,15.80,-3.69
201206,14.50,-5.01
201207,14.76,-4.75
201208,14.88,-4.64
201209,15.38,-4.13
201210,14.70,-4.83
201211,14.45,-5.07
201212,16.75,-2.78
201301,16.81,-2.66
201302,15.07,-4.43
201303,14.78,-4.74
201304,15.81,-3.67
201305,17.21,-2.28
201306,17.18,-2.33
201307,16.63,-2.88
201308,17.60,-1.92
201309,18.73,-0.78
201310,18.78,-0.75
201311,19.00,-0.52
201312,17.22,-2.31
201401,16.90,-2.57
201402,18.44,-1.06
201403,18.97,-0.55
201404,18.35,-1.13
201405,18.32,-1.17
201406,18.63,-0.88
201407,18.36,-1.15
201408,18.38,-1.14
201409,18.78,-0.73
201410,17.94,-1.59
201411,18.13,-1.39
201412,19.93,0.40
201501,19.60,0.13
201502,17.73,-1.77
201503,16.94,-2.58
201504,17.04,-2.44
201505,18.62,-0.87
201506,19.20,-0.31
201507,18.86,-0.65
201508,18.31,-1.21
201509,15.80,-3.71
201510,16.73,-2.80
201511,16.89,-2.63
201512,16.79,-2.74
201601,17.96,-1.51
201602,18.19,-1.31
201603,18.76,-0.76
201604,18.97,-0.51
201605,17.51,-1.98
201606,16.89,-2.62
201607,16.25,-3.26
201608,15.63,-3.89
201609,17.70,-1.81
201610,17.16,-2.37
201611,17.13,-2.39
201612,17.63,-1.90
201701,19.91,0.44
201702,21.31,1.81
201703,22.24,2.72
201704,22.26,2.78
201705,21.28,1.79
201706,21.08,1.57
201707,22.30,2.79
201708,22.51,2.99
201709,22.40,2.89
201710,21.87,2.34
201711,20.89,1.37
201712,18.13,-1.40
201801,15.02,-4.45
201802,14.15,-5.35
201803,13.44,-6.08
201804,12.93,-6.55
201805,13.35,-6.14
201806,13.27,-6.24
201807,12.76,-6.75
201808,12.93,-6.59
201809,10.68,-8.83
201810,13.81,-5.72
201811,15.29,-4.23
201812,15.97,-3.56
201901,16.20,-3.27
201902,18.08,-1.42
201903,20.67,1.15
201904,21.85,2.37
201905,24.12,4.63
201906,24.80,5.29
201907,24.52,5.01
201908,23.69,4.17
201909,24.25,4.74
201910,21.19,1.66
201911,20.99,1.47
201912,21.47,1.94
202001,21.61,2.14
202002,19.96,0.46
202003,17.38,-2.14
202004,16.22,-3.26
202005,13.06,-6.43
202006,13.78,-5.73
202007,13.34,-6.17
202008,12.91,-6.61
202009,12.50,-7.01
202010,12.37,-7.16
202011,11.44,-8.08
202012,11.23,-8.30
202101,10.43,-9.04
202102,10.83,-8.67
202103,10.81,-8.71
202104,10.10,-9.38
202105,10.23,-9.26
202106,9.23,-10.28
202107,10.56,-8.95
202108,13.17,-6.35
202109,13.82,-5.69
202110,16.78,-2.75
202111,16.39,-3.13
202112,18.95,-0.58
202201,18.58,-0.89
202202,17.72,-1.78
202203,17.87,-1.65
202204,18.14,-1.34
202205,19.07,-0.42
202206,19.27,-0.24
202207,18.56,-0.95
202208,17.50,-2.02
202209,18.18,-1.33
202210,16.14,-3.39
202211,17.05,-2.47
202212,16.57,-2.96
202301,20.56,1.09
202302,21.17,1.67
202303,23.40,3.88
202304,23.31,3.83
202305,23.53,4.04
202306,24.02,4.51
202307,23.47,3.96
202308,23.64,4.12
202309,23.55,4.04
202310,23.54,4.01
202311,23.35,3.83
202312,20.61,1.08
202401,18.55,-0.92
202402,19.80,0.30
202403,18.99,-0.53
