Sevier County, Utah January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,45.4,1.5
199002,45.5,1.6
199003,45.3,1.4
199004,45.2,1.3
199005,45.0,1.1
199006,45.4,1.5
199007,45.3,1.4
199008,45.4,1.5
199009,45.6,1.6
199010,45.7,1.8
199011,45.5,1.6
199012,44.8,0.9
199101,44.4,0.5
199102,45.0,1.1
199103,44.5,0.6
199104,44.0,0.1
199105,43.8,-0.1
199106,43.4,-0.5
199107,43.4,-0.5
199108,43.4,-0.5
199109,43.2,-0.8
199110,43.2,-0.7
199111,43.1,-0.8
199112,43.8,-0.1
199201,44.1,0.2
199202,44.0,0.1
199203,44.5,0.6
199204,45.4,1.5
199205,45.9,2.0
199206,46.0,2.1
199207,45.8,1.9
199208,45.8,1.9
199209,45.9,1.9
199210,46.1,2.2
199211,45.7,1.8
199212,45.3,1.4
199301,45.3,1.4
199302,44.9,1.0
199303,44.9,1.0
199304,44.3,0.4
199305,44.2,0.3
199306,43.9,0.0
199307,43.8,-0.1
199308,43.7,-0.2
199309,43.5,-0.5
199310,43.1,-0.8
199311,43.2,-0.7
199312,43.5,-0.4
199401,43.7,-0.2
199402,43.8,-0.1
199403,43.9,0.0
199404,44.1,0.2
199405,44.1,0.2
199406,44.8,0.9
199407,45.2,1.3
199408,45.6,1.7
199409,45.9,1.9
199410,45.8,1.9
199411,45.6,1.7
199412,45.7,1.8
199501,45.6,1.7
199502,46.4,2.5
199503,46.2,2.3
199504,45.9,2.0
199505,45.3,1.4
199506,44.4,0.5
199507,44.1,0.2
199508,44.0,0.1
199509,43.9,-0.1
199510,44.1,0.2
199511,45.2,1.3
199512,45.3,1.4
199601,45.3,1.4
199602,45.0,1.1
199603,45.1,1.2
199604,45.3,1.4
199605,45.9,2.0
199606,46.7,2.8
199607,47.0,3.1
199608,47.0,3.1
199609,46.7,2.7
199610,46.5,2.6
199611,46.1,2.2
199612,45.9,2.0
199701,45.8,1.9
199702,45.2,1.3
199703,45.5,1.6
199704,45.2,1.3
199705,45.3,1.4
199706,45.0,1.1
199707,44.6,0.7
199708,44.4,0.5
199709,44.6,0.6
199710,44.8,0.9
199711,44.8,0.9
199712,44.5,0.6
199801,44.8,0.9
199802,44.9,1.0
199803,44.4,0.5
199804,44.5,0.6
199805,44.1,0.2
199806,43.7,-0.2
199807,43.9,0.0
199808,44.1,0.2
199809,44.1,0.1
199810,44.0,0.1
199811,44.0,0.1
199812,44.1,0.2
199901,44.1,0.2
199902,44.4,0.5
199903,44.8,0.9
199904,44.6,0.7
199905,44.5,0.6
199906,44.9,1.0
199907,44.7,0.8
199908,44.4,0.5
199909,44.2,0.2
199910,44.7,0.8
199911,45.2,1.3
199912,45.2,1.3
200001,45.3,1.4
200002,45.5,1.6
200003,45.2,1.3
200004,46.0,2.1
200005,46.6,2.7
200006,46.8,2.9
200007,47.0,3.1
200008,47.3,3.4
200009,47.6,3.6
200010,47.2,3.3
200011,46.0,2.1
200012,46.3,2.4
200101,46.0,2.1
200102,45.6,1.7
200103,45.8,1.9
200104,45.5,1.6
200105,45.4,1.5
200106,45.5,1.6
200107,45.3,1.4
200108,45.3,1.4
200109,45.6,1.6
200110,45.9,2.0
200111,46.6,2.7
200112,46.2,2.3
200201,46.1,2.2
200202,46.0,2.1
200203,45.5,1.6
200204,45.8,1.9
200205,45.5,1.6
200206,45.7,1.8
200207,46.0,2.1
200208,45.9,2.0
200209,45.5,1.5
200210,45.0,1.1
200211,44.9,1.0
200212,45.1,1.2
200301,45.8,1.9
200302,45.8,1.9
200303,46.1,2.2
200304,45.7,1.8
200305,45.8,1.9
200306,45.5,1.6
200307,45.6,1.7
200308,45.6,1.7
200309,45.7,1.7
200310,46.5,2.6
200311,46.3,2.4
200312,46.5,2.6
200401,45.7,1.8
200402,45.5,1.6
200403,46.1,2.2
200404,46.3,2.4
200405,46.2,2.3
200406,46.2,2.3
200407,45.8,1.9
200408,45.5,1.6
200409,45.3,1.3
200410,44.7,0.8
200411,44.8,0.9
200412,44.8,0.9
200501,45.3,1.4
200502,45.8,1.9
200503,45.2,1.3
200504,45.1,1.2
200505,45.0,1.1
200506,44.6,0.7
200507,44.9,1.0
200508,44.9,1.0
200509,45.0,1.0
200510,45.2,1.3
200511,45.6,1.7
200512,45.5,1.6
200601,45.3,1.4
200602,45.1,1.2
200603,44.9,1.0
200604,45.1,1.2
200605,45.3,1.4
200606,45.9,2.0
200607,45.8,1.9
200608,45.9,2.0
200609,45.6,1.6
200610,45.4,1.5
200611,45.3,1.4
200612,45.1,1.2
200701,44.6,0.7
200702,44.8,0.9
200703,45.4,1.5
200704,45.4,1.5
200705,45.3,1.4
200706,45.2,1.3
200707,45.3,1.4
200708,45.5,1.6
200709,45.8,1.8
200710,46.0,2.1
200711,46.2,2.3
200712,45.9,2.0
200801,45.9,2.0
200802,45.6,1.7
200803,45.1,1.2
200804,44.7,0.8
200805,44.3,0.4
200806,44.0,0.1
200807,43.9,0.0
200808,43.8,-0.1
200809,43.8,-0.2
200810,44.0,0.1
200811,43.9,0.0
200812,44.1,0.2
200901,44.7,0.8
200902,44.9,1.0
200903,45.0,1.1
200904,45.2,1.3
200905,45.7,1.8
200906,45.5,1.6
200907,45.5,1.6
200908,45.3,1.4
200909,45.5,1.5
200910,45.1,1.2
200911,45.0,1.1
200912,44.7,0.8
201001,44.5,0.6
201002,44.2,0.3
201003,44.2,0.3
201004,44.1,0.2
201005,43.4,-0.5
201006,43.7,-0.2
201007,43.7,-0.2
201008,43.6,-0.3
201009,43.7,-0.3
201010,44.1,0.2
201011,43.6,-0.3
201012,44.5,0.6
201101,44.4,0.5
201102,44.3,0.4
201103,44.4,0.5
201104,44.3,0.4
201105,44.4,0.5
201106,44.2,0.3
201107,44.1,0.2
201108,44.3,0.4
201109,44.1,0.1
201110,44.1,0.2
201111,44.3,0.4
201112,43.8,-0.1
201201,44.2,0.3
201202,44.3,0.4
201203,44.6,0.7
201204,45.0,1.1
201205,45.6,1.7
201206,46.0,2.1
201207,46.1,2.2
201208,46.1,2.2
201209,46.2,2.2
201210,46.3,2.4
201211,46.7,2.8
201212,46.7,2.8
201301,46.0,2.1
201302,45.8,1.9
201303,45.7,1.8
201304,45.3,1.4
201305,45.1,1.2
201306,45.1,1.2
201307,45.3,1.4
201308,45.1,1.2
201309,44.9,0.9
201310,44.5,0.6
201311,44.2,0.3
201312,44.1,0.2
201401,44.9,1.0
201402,45.5,1.6
201403,45.4,1.5
201404,45.6,1.7
201405,45.7,1.8
201406,45.5,1.6
201407,45.5,1.6
201408,45.3,1.4
201409,45.7,1.7
201410,46.3,2.4
201411,46.2,2.3
201412,46.7,2.8
201501,46.8,2.9
201502,47.0,3.1
201503,47.4,3.5
201504,47.4,3.5
201505,47.2,3.3
201506,47.5,3.6
201507,47.1,3.2
201508,47.4,3.5
201509,47.5,3.5
201510,47.5,3.6
201511,47.2,3.3
201512,46.8,2.9
201601,46.3,2.4
201602,46.0,2.1
201603,45.8,1.9
201604,45.9,2.0
201605,45.9,2.0
201606,46.0,2.1
201607,46.4,2.5
201608,46.3,2.4
201609,45.9,1.9
201610,45.9,2.0
201611,46.5,2.6
201612,46.6,2.7
201701,46.5,2.6
201702,46.6,2.7
201703,46.9,3.0
201704,46.8,2.9
201705,46.9,3.0
201706,46.8,2.9
201707,46.8,2.9
201708,46.9,3.0
201709,46.8,2.8
201710,46.4,2.5
201711,46.7,2.8
201712,47.1,3.2
201801,47.7,3.8
201802,47.2,3.3
201803,46.7,2.8
201804,47.0,3.1
201805,47.2,3.3
201806,47.1,3.2
201807,47.3,3.4
201808,47.4,3.5
201809,48.0,4.0
201810,47.8,3.9
201811,47.0,3.1
201812,46.5,2.6
201901,46.0,2.1
201902,45.6,1.7
201903,45.5,1.6
201904,45.4,1.5
201905,44.7,0.8
201906,44.2,0.3
201907,43.9,0.0
201908,43.9,0.0
201909,43.7,-0.3
201910,43.4,-0.5
201911,43.7,-0.2
201912,43.8,-0.1
202001,44.0,0.1
202002,44.4,0.5
202003,44.5,0.6
202004,44.4,0.5
202005,45.3,1.4
202006,45.4,1.5
202007,45.5,1.6
202008,45.8,1.9
202009,45.9,1.9
202010,46.8,2.9
202011,46.8,2.9
202012,46.8,2.9
202101,46.7,2.8
202102,46.7,2.8
202103,46.5,2.6
202104,46.5,2.6
202105,46.3,2.4
202106,46.9,3.0
202107,47.0,3.1
202108,46.6,2.7
202109,46.6,2.6
202110,46.1,2.2
202111,46.4,2.5
202112,46.7,2.8
202201,46.8,2.9
202202,46.7,2.8
202203,46.8,2.9
202204,46.7,2.8
202205,46.5,2.6
202206,46.1,2.2
202207,46.1,2.2
202208,46.1,2.2
202209,46.3,2.3
202210,46.6,2.7
202211,45.7,1.8
202212,45.5,1.6
202301,45.0,1.1
202302,45.0,1.1
202303,44.4,0.5
202304,44.3,0.4
202305,44.5,0.6
202306,44.2,0.3
202307,44.3,0.4
202308,44.2,0.3
202309,43.8,-0.2
202310,43.9,0.0
202311,44.5,0.6
202312,44.9,1.0
