Sevier County, Utah January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,163,27
199002,163,27
199003,163,27
199004,163,27
199005,163,27
199006,195,59
199007,167,30
199008,178,40
199009,192,54
199010,192,54
199011,192,54
199012,192,54
199101,192,56
199102,192,56
199103,192,56
199104,192,56
199105,192,56
199106,160,24
199107,143,6
199108,152,14
199109,138,0
199110,138,0
199111,138,0
199112,138,0
199201,138,2
199202,138,2
199203,138,2
199204,138,2
199205,138,2
199206,142,6
199207,106,-31
199208,113,-25
199209,120,-18
199210,120,-18
199211,120,-18
199212,120,-18
199301,120,-16
199302,120,-16
199303,120,-16
199304,120,-16
199305,120,-16
199306,109,-27
199307,96,-41
199308,67,-71
199309,60,-78
199310,60,-78
199311,60,-78
199312,60,-78
199401,60,-76
199402,60,-76
199403,60,-76
199404,60,-76
199405,60,-76
199406,130,-6
199407,233,96
199408,313,175
199409,323,185
199410,323,185
199411,323,185
199412,323,185
199501,323,187
199502,323,187
199503,323,187
199504,323,187
199505,323,187
199506,245,109
199507,161,24
199508,140,2
199509,138,0
199510,138,0
199511,138,0
199512,138,0
199601,138,2
199602,138,2
199603,138,2
199604,138,2
199605,138,2
199606,200,64
199607,290,153
199608,290,152
199609,282,144
199610,282,144
199611,282,144
199612,282,144
199701,282,146
199702,282,146
199703,282,146
199704,282,146
199705,282,146
199706,245,109
199707,153,16
199708,112,-26
199709,112,-26
199710,112,-26
199711,112,-26
199712,112,-26
199801,112,-24
199802,112,-24
199803,112,-24
199804,112,-24
199805,112,-24
199806,87,-49
199807,150,13
199808,173,35
199809,179,41
199810,179,41
199811,179,41
199812,179,41
199901,179,43
199902,179,43
199903,179,43
199904,179,43
199905,179,43
199906,197,61
199907,155,18
199908,111,-27
199909,105,-33
199910,105,-33
199911,105,-33
199912,105,-33
200001,105,-31
200002,105,-31
200003,105,-31
200004,105,-31
200005,112,-24
200006,137,1
200007,192,55
200008,245,107
200009,252,114
200010,252,114
200011,252,114
200012,252,114
200101,252,116
200102,252,116
200103,252,116
200104,252,116
200105,251,115
200106,252,116
200107,207,70
200108,218,80
200109,231,93
200110,231,93
200111,231,93
200112,231,93
200201,231,95
200202,231,95
200203,231,95
200204,231,95
200205,225,89
200206,252,116
200207,351,214
200208,329,191
200209,309,171
200210,309,171
200211,309,171
200212,309,171
200301,309,173
200302,309,173
200303,309,173
200304,309,173
200305,309,173
200306,266,130
200307,297,160
200308,307,169
200309,313,175
200310,313,175
200311,313,175
200312,313,175
200401,313,177
200402,313,177
200403,313,177
200404,313,177
200405,313,177
200406,315,179
200407,180,43
200408,126,-12
200409,120,-18
200410,120,-18
200411,120,-18
200412,120,-18
200501,120,-16
200502,120,-16
200503,120,-16
200504,120,-16
200505,120,-16
200506,98,-38
200507,172,35
200508,173,35
