Sevier County, Utah January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,7285,-513
199002,7236,-561
199003,7302,-496
199004,7366,-428
199005,7409,-385
199006,7322,-472
199007,7330,-464
199008,7316,-476
199009,7243,-547
199010,7211,-578
199011,7259,-533
199012,7519,-272
199101,7670,-128
199102,7466,-331
199103,7660,-138
199104,7850,56
199105,7930,136
199106,8017,223
199107,8026,232
199108,8015,223
199109,8100,310
199110,8082,293
199111,8113,321
199112,7858,67
199201,7744,-54
199202,7777,-20
199203,7592,-206
199204,7288,-506
199205,7088,-706
199206,7070,-724
199207,7102,-692
199208,7097,-695
199209,7058,-732
199210,6996,-793
199211,7117,-675
199212,7275,-516
199301,7274,-524
199302,7425,-372
199303,7425,-373
199304,7654,-140
199305,7683,-111
199306,7761,-33
199307,7778,-16
199308,7811,19
199309,7864,74
199310,8009,220
199311,7980,188
199312,7860,69
199401,7779,-19
199402,7755,-42
199403,7714,-84
199404,7662,-132
199405,7658,-136
199406,7473,-321
199407,7405,-389
199408,7342,-450
199409,7265,-525
199410,7290,-499
199411,7358,-434
199412,7306,-485
199501,7353,-445
199502,7086,-711
199503,7184,-614
199504,7283,-511
199505,7509,-285
199506,7751,-43
199507,7796,2
199508,7803,11
199509,7820,30
199510,7737,-52
199511,7376,-416
199512,7316,-475
199601,7307,-491
199602,7417,-380
199603,7391,-407
199604,7326,-468
199605,7098,-696
199606,6874,-920
199607,6828,-966
199608,6828,-964
199609,6934,-856
199610,7017,-772
199611,7160,-632
199612,7220,-571
199701,7256,-542
199702,7455,-342
199703,7363,-435
199704,7450,-344
199705,7428,-366
199706,7496,-298
199707,7544,-250
199708,7578,-214
199709,7508,-282
199710,7455,-334
199711,7457,-335
199712,7553,-238
199801,7466,-332
199802,7432,-365
199803,7581,-217
199804,7572,-222
199805,7705,-89
199806,7845,51
199807,7803,9
199808,7781,-11
199809,7765,-25
199810,7821,32
199811,7806,14
199812,7774,-17
199901,7768,-30
199902,7654,-143
199903,7534,-264
199904,7594,-200
199905,7630,-164
199906,7517,-277
199907,7538,-256
199908,7588,-204
199909,7651,-139
199910,7482,-307
199911,7305,-487
199912,7282,-509
200001,7271,-527
200002,7208,-589
200003,7312,-486
200004,7013,-781
200005,6810,-984
200006,6741,-1053
200007,6717,-1077
200008,6660,-1132
200009,6591,-1199
200010,6718,-1071
200011,7146,-646
200012,7044,-747
200101,7170,-628
200102,7285,-512
200103,7215,-583
200104,7340,-454
200105,7350,-444
200106,7348,-446
200107,7365,-429
200108,7360,-432
200109,7281,-509
200110,7163,-626
200111,6913,-879
200112,7076,-715
200201,7104,-694
200202,7146,-651
200203,7299,-499
200204,7221,-573
200205,7307,-487
200206,7273,-521
200207,7246,-548
200208,7260,-532
200209,7393,-397
200210,7566,-223
200211,7617,-175
200212,7555,-236
200301,7271,-527
200302,7288,-509
200303,7184,-614
200304,7321,-473
200305,7288,-506
200306,7356,-438
200307,7356,-438
200308,7349,-443
200309,7298,-492
200310,7027,-762
200311,7085,-707
200312,7010,-781
200401,7299,-499
200402,7365,-432
200403,7163,-635
200404,7093,-701
200405,7108,-686
200406,7104,-690
200407,7135,-659
200408,7193,-599
200409,7252,-538
200410,7488,-301
200411,7456,-336
200412,7463,-328
200501,7264,-534
200502,7088,-709
200503,7326,-472
200504,7368,-426
200505,7384,-410
200506,7497,-297
200507,7472,-322
200508,7470,-322
200509,7449,-341
200510,7377,-412
