Sevier County, Utah January-December Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,57.9,2.3
199002,58.0,2.4
199003,57.7,2.1
199004,57.4,1.8
199005,57.2,1.6
199006,57.7,2.1
199007,57.5,1.9
199008,57.6,2.0
199009,57.6,1.9
199010,57.7,2.0
199011,57.5,1.9
199012,56.8,1.1
199101,56.4,0.8
199102,57.1,1.5
199103,56.6,1.0
199104,56.1,0.5
199105,55.9,0.3
199106,55.5,-0.1
199107,55.4,-0.2
199108,55.4,-0.2
199109,55.2,-0.5
199110,55.2,-0.5
199111,54.9,-0.7
199112,55.5,-0.2
199201,55.8,0.2
199202,55.6,0.0
199203,56.1,0.5
199204,57.0,1.4
199205,57.6,2.0
199206,57.6,2.0
199207,57.4,1.8
199208,57.5,1.9
199209,57.8,2.1
199210,57.9,2.2
199211,57.6,2.0
199212,57.2,1.5
199301,57.0,1.4
199302,56.4,0.8
199303,56.4,0.8
199304,55.7,0.1
199305,55.7,0.1
199306,55.4,-0.2
199307,55.3,-0.3
199308,55.2,-0.4
199309,55.1,-0.6
199310,54.6,-1.1
199311,54.8,-0.8
199312,55.2,-0.5
199401,55.5,-0.1
199402,55.8,0.2
199403,56.0,0.4
199404,56.1,0.5
199405,56.2,0.6
199406,57.0,1.4
199407,57.5,1.9
199408,57.9,2.3
199409,58.0,2.3
199410,57.9,2.2
199411,57.7,2.1
199412,57.8,2.1
199501,57.5,1.9
199502,58.4,2.8
199503,58.0,2.4
199504,57.7,2.1
199505,57.0,1.4
199506,56.0,0.4
199507,55.6,0.0
199508,55.5,-0.1
199509,55.5,-0.2
199510,56.0,0.3
199511,57.1,1.5
199512,57.2,1.5
199601,57.3,1.7
199602,56.9,1.3
199603,57.1,1.5
199604,57.5,1.9
199605,58.2,2.6
199606,59.2,3.6
199607,59.5,3.9
199608,59.6,4.0
199609,59.2,3.5
199610,58.8,3.1
199611,58.3,2.7
199612,58.2,2.5
199701,58.0,2.4
199702,57.4,1.8
199703,57.7,2.1
199704,57.4,1.8
199705,57.4,1.8
199706,57.0,1.4
199707,56.7,1.1
199708,56.3,0.7
199709,56.4,0.7
199710,56.6,0.9
199711,56.5,0.9
199712,56.3,0.6
199801,56.6,1.0
199802,56.5,0.9
199803,56.0,0.4
199804,56.0,0.4
199805,55.6,0.0
199806,55.1,-0.5
199807,55.4,-0.2
199808,55.6,0.0
199809,55.7,0.0
199810,55.4,-0.3
199811,55.5,-0.1
199812,55.6,-0.1
199901,55.6,0.0
199902,56.2,0.6
199903,56.5,0.9
199904,56.4,0.8
199905,56.3,0.7
199906,56.7,1.1
199907,56.5,0.9
199908,56.1,0.5
199909,56.0,0.3
199910,56.8,1.1
199911,57.6,2.0
199912,57.6,1.9
200001,57.6,2.0
200002,57.6,2.0
200003,57.2,1.6
200004,58.2,2.6
200005,58.8,3.2
200006,59.2,3.6
200007,59.5,3.9
200008,59.9,4.3
200009,60.1,4.4
200010,59.4,3.7
200011,57.9,2.3
200012,58.2,2.5
200101,58.0,2.4
200102,57.6,2.0
200103,57.7,2.1
200104,57.3,1.7
200105,57.3,1.7
200106,57.3,1.7
200107,57.0,1.4
200108,57.2,1.6
200109,57.5,1.8
200110,58.0,2.3
200111,58.7,3.1
200112,58.3,2.6
200201,58.2,2.6
200202,58.3,2.7
200203,58.1,2.5
200204,58.4,2.8
200205,58.3,2.7
200206,58.5,2.9
200207,58.9,3.3
200208,58.9,3.3
200209,58.3,2.6
200210,57.7,2.0
200211,57.6,2.0
200212,57.8,2.1
200301,58.6,3.0
200302,58.3,2.7
200303,58.4,2.8
200304,57.9,2.3
200305,57.9,2.3
200306,57.5,1.9
200307,57.6,2.0
200308,57.5,1.9
200309,57.8,2.1
200310,58.7,3.0
200311,58.4,2.8
200312,58.6,2.9
200401,57.8,2.2
200402,57.6,2.0
200403,58.3,2.7
200404,58.4,2.8
200405,58.3,2.7
200406,58.3,2.7
200407,57.8,2.2
200408,57.5,1.9
200409,57.3,1.6
200410,56.4,0.7
200411,56.5,0.9
200412,56.6,0.9
200501,56.9,1.3
200502,57.5,1.9
200503,56.7,1.1
200504,56.7,1.1
200505,56.7,1.1
200506,56.2,0.6
200507,56.5,0.9
200508,56.5,0.9
200509,56.6,0.9
200510,56.9,1.2
200511,57.4,1.8
200512,57.4,1.7
200601,57.3,1.7
200602,57.3,1.7
200603,57.1,1.5
200604,57.3,1.7
200605,57.6,2.0
200606,58.4,2.8
200607,58.2,2.6
200608,58.3,2.7
200609,58.0,2.3
200610,57.6,1.9
200611,57.6,2.0
200612,57.5,1.8
200701,57.1,1.5
200702,57.0,1.4
200703,57.8,2.2
200704,57.7,2.1
200705,57.6,2.0
200706,57.6,2.0
200707,57.7,2.1
200708,58.0,2.4
200709,58.3,2.6
200710,58.6,2.9
200711,58.9,3.3
200712,58.5,2.8
200801,58.4,2.8
200802,58.1,2.5
200803,57.6,2.0
200804,57.3,1.7
200805,56.8,1.2
200806,56.5,0.9
200807,56.3,0.7
200808,56.3,0.7
200809,56.4,0.7
200810,56.6,0.9
200811,56.3,0.7
200812,56.5,0.8
200901,57.2,1.6
200902,57.4,1.8
200903,57.6,2.0
200904,57.7,2.1
200905,58.2,2.6
200906,57.8,2.2
200907,57.8,2.2
200908,57.8,2.2
200909,57.9,2.2
200910,57.3,1.6
200911,57.4,1.8
200912,57.1,1.4
201001,56.8,1.2
201002,56.5,0.9
201003,56.3,0.7
201004,56.2,0.6
201005,55.5,-0.1
201006,55.9,0.3
201007,55.8,0.2
201008,55.7,0.1
201009,55.9,0.2
201010,56.2,0.5
201011,55.6,0.0
201012,56.4,0.7
201101,56.3,0.7
201102,56.3,0.7
201103,56.4,0.8
201104,56.3,0.7
201105,56.3,0.7
201106,56.2,0.6
201107,56.0,0.4
201108,56.2,0.6
201109,55.9,0.2
201110,56.0,0.3
201111,56.2,0.6
201112,55.8,0.1
201201,56.3,0.7
201202,56.4,0.8
201203,56.7,1.1
201204,57.2,1.6
201205,58.0,2.4
201206,58.6,3.0
201207,58.7,3.1
201208,58.6,3.0
201209,58.7,3.0
201210,58.9,3.2
201211,59.4,3.8
201212,59.3,3.6
201301,58.6,3.0
201302,58.4,2.8
201303,58.3,2.7
201304,57.9,2.3
201305,57.6,2.0
201306,57.5,1.9
201307,57.7,2.1
201308,57.5,1.9
201309,57.1,1.4
201310,56.6,0.9
201311,56.2,0.6
201312,56.3,0.6
201401,57.0,1.4
201402,57.5,1.9
201403,57.5,1.9
201404,57.7,2.1
201405,57.7,2.1
201406,57.4,1.8
201407,57.5,1.9
201408,57.3,1.7
201409,57.7,2.0
201410,58.4,2.7
201411,58.4,2.8
201412,58.7,3.0
201501,58.7,3.1
201502,59.1,3.5
201503,59.5,3.9
201504,59.5,3.9
201505,59.1,3.5
201506,59.4,3.8
