Sevier County, Utah January-December Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,32.8,0.6
199002,33.0,0.8
199003,33.0,0.8
199004,32.9,0.7
199005,32.9,0.7
199006,33.1,0.9
199007,33.1,0.9
199008,33.1,0.9
199009,33.5,1.3
199010,33.6,1.4
199011,33.6,1.4
199012,32.9,0.7
199101,32.5,0.3
199102,32.9,0.7
199103,32.4,0.2
199104,31.8,-0.4
199105,31.7,-0.5
199106,31.4,-0.8
199107,31.3,-0.9
199108,31.5,-0.7
199109,31.2,-1.0
199110,31.3,-0.9
199111,31.3,-0.9
199112,32.1,-0.1
199201,32.4,0.2
199202,32.4,0.2
199203,32.9,0.7
199204,33.7,1.5
199205,34.2,2.0
199206,34.3,2.1
199207,34.2,2.0
199208,34.1,1.9
199209,34.1,1.9
199210,34.3,2.1
199211,33.9,1.7
199212,33.5,1.3
199301,33.7,1.5
199302,33.4,1.2
199303,33.4,1.2
199304,32.8,0.6
199305,32.7,0.5
199306,32.5,0.3
199307,32.3,0.1
199308,32.2,0.0
199309,31.9,-0.3
199310,31.6,-0.6
199311,31.6,-0.6
199312,31.9,-0.3
199401,32.0,-0.2
199402,31.8,-0.4
199403,31.8,-0.4
199404,32.0,-0.2
199405,32.0,-0.2
199406,32.6,0.4
199407,33.0,0.8
199408,33.4,1.2
199409,33.7,1.5
199410,33.7,1.5
199411,33.5,1.3
199412,33.7,1.5
199501,33.7,1.5
199502,34.5,2.3
199503,34.3,2.1
199504,34.0,1.8
199505,33.6,1.4
199506,32.8,0.6
199507,32.5,0.3
199508,32.5,0.3
199509,32.4,0.2
199510,32.3,0.1
199511,33.2,1.0
199512,33.4,1.2
199601,33.3,1.1
199602,33.1,0.9
199603,33.0,0.8
199604,33.1,0.9
199605,33.5,1.3
199606,34.2,2.0
199607,34.6,2.4
199608,34.5,2.3
199609,34.2,2.0
199610,34.1,1.9
199611,33.8,1.6
199612,33.7,1.5
199701,33.7,1.5
199702,33.1,0.9
199703,33.2,1.0
199704,33.1,0.9
199705,33.2,1.0
199706,33.0,0.8
199707,32.6,0.4
199708,32.6,0.4
199709,33.0,0.8
199710,33.0,0.8
199711,33.1,0.9
199712,32.8,0.6
199801,33.0,0.8
199802,33.2,1.0
199803,32.9,0.7
199804,33.0,0.8
199805,32.7,0.5
199806,32.2,0.0
199807,32.5,0.3
199808,32.5,0.3
199809,32.5,0.3
199810,32.6,0.4
199811,32.6,0.4
199812,32.6,0.4
199901,32.6,0.4
199902,32.7,0.5
199903,33.0,0.8
199904,32.8,0.6
199905,32.7,0.5
199906,33.0,0.8
199907,32.9,0.7
199908,32.8,0.6
199909,32.4,0.2
199910,32.5,0.3
199911,32.8,0.6
199912,32.9,0.7
200001,33.0,0.8
200002,33.3,1.1
200003,33.1,0.9
200004,33.8,1.6
200005,34.4,2.2
200006,34.5,2.3
200007,34.6,2.4
200008,34.8,2.6
200009,35.0,2.8
200010,35.1,2.9
200011,34.1,1.9
200012,34.4,2.2
200101,34.0,1.8
200102,33.6,1.4
200103,33.9,1.7
200104,33.7,1.5
200105,33.6,1.4
200106,33.6,1.4
200107,33.6,1.4
200108,33.5,1.3
200109,33.7,1.5
200110,33.8,1.6
200111,34.5,2.3
200112,34.1,1.9
200201,34.0,1.8
200202,33.6,1.4
200203,33.0,0.8
200204,33.1,0.9
200205,32.7,0.5
200206,32.9,0.7
200207,33.1,0.9
200208,33.0,0.8
200209,32.8,0.6
200210,32.4,0.2
200211,32.2,0.0
200212,32.4,0.2
200301,33.1,0.9
200302,33.3,1.1
200303,33.7,1.5
200304,33.4,1.2
200305,33.6,1.4
200306,33.4,1.2
200307,33.4,1.2
200308,33.7,1.5
200309,33.6,1.4
200310,34.2,2.0
200311,34.2,2.0
200312,34.4,2.2
200401,33.6,1.4
200402,33.5,1.3
200403,33.9,1.7
200404,34.1,1.9
200405,34.1,1.9
200406,34.2,2.0
200407,33.8,1.6
200408,33.5,1.3
200409,33.3,1.1
200410,33.0,0.8
200411,33.0,0.8
200412,32.9,0.7
200501,33.6,1.4
200502,34.1,1.9
200503,33.6,1.4
200504,33.4,1.2
200505,33.4,1.2
200506,33.1,0.9
200507,33.3,1.1
200508,33.3,1.1
200509,33.4,1.2
200510,33.4,1.2
200511,33.7,1.5
200512,33.6,1.4
200601,33.3,1.1
200602,32.9,0.7
200603,32.7,0.5
200604,32.9,0.7
200605,32.9,0.7
200606,33.4,1.2
200607,33.5,1.3
200608,33.5,1.3
200609,33.3,1.1
200610,33.2,1.0
200611,33.0,0.8
200612,32.8,0.6
200701,32.2,0.0
200702,32.6,0.4
200703,33.1,0.9
200704,33.1,0.9
200705,33.0,0.8
200706,32.9,0.7
200707,32.9,0.7
200708,33.1,0.9
200709,33.4,1.2
200710,33.4,1.2
200711,33.5,1.3
200712,33.2,1.0
200801,33.4,1.2
200802,33.1,0.9
200803,32.6,0.4
200804,32.1,-0.1
200805,31.8,-0.4
200806,31.6,-0.6
200807,31.4,-0.8
200808,31.3,-0.9
200809,31.3,-0.9
200810,31.3,-0.9
200811,31.5,-0.7
200812,31.6,-0.6
200901,32.2,0.0
200902,32.3,0.1
200903,32.5,0.3
200904,32.7,0.5
200905,33.2,1.0
200906,33.1,0.9
200907,33.1,0.9
200908,32.9,0.7
200909,33.1,0.9
200910,32.8,0.6
200911,32.6,0.4
200912,32.3,0.1
201001,32.1,-0.1
201002,32.0,-0.2
201003,32.0,-0.2
201004,31.9,-0.3
201005,31.3,-0.9
201006,31.5,-0.7
201007,31.6,-0.6
201008,31.6,-0.6
201009,31.5,-0.7
201010,32.0,-0.2
201011,31.6,-0.6
201012,32.6,0.4
201101,32.5,0.3
201102,32.2,0.0
201103,32.4,0.2
201104,32.4,0.2
201105,32.5,0.3
201106,32.3,0.1
201107,32.2,0.0
201108,32.4,0.2
201109,32.4,0.2
201110,32.3,0.1
201111,32.4,0.2
201112,31.8,-0.4
201201,32.1,-0.1
201202,32.3,0.1
201203,32.4,0.2
201204,32.7,0.5
201205,33.1,0.9
201206,33.4,1.2
201207,33.5,1.3
201208,33.6,1.4
201209,33.6,1.4
201210,33.6,1.4
201211,34.0,1.8
201212,34.1,1.9
201301,33.5,1.3
201302,33.2,1.0
201303,33.1,0.9
201304,32.8,0.6
201305,32.7,0.5
201306,32.7,0.5
201307,32.8,0.6
201308,32.7,0.5
201309,32.6,0.4
201310,32.3,0.1
201311,32.1,-0.1
201312,31.9,-0.3
201401,32.7,0.5
201402,33.4,1.2
201403,33.3,1.1
201404,33.5,1.3
201405,33.7,1.5
201406,33.5,1.3
201407,33.6,1.4
201408,33.4,1.2
201409,33.6,1.4
201410,34.2,2.0
201411,34.1,1.9
201412,34.6,2.4
201501,34.8,2.6
201502,35.0,2.8
201503,35.4,3.2
201504,35.3,3.1
201505,35.2,3.0
201506,35.5,3.3
201507,35.2,3.0
201508,35.4,3.2
201509,35.4,3.2
201510,35.6,3.4
201511,35.2,3.0
201512,34.8,2.6
201601,34.4,2.2
201602,34.0,1.8
201603,33.9,1.7
201604,34.0,1.8
201605,34.0,1.8
201606,34.0,1.8
201607,34.3,2.1
201608,34.2,2.0
201609,33.8,1.6
201610,33.7,1.5
201611,34.3,2.1
201612,34.3,2.1
201701,34.3,2.1
201702,34.7,2.5
201703,34.9,2.7
201704,34.7,2.5
201705,34.7,2.5
201706,34.6,2.4
201707,34.7,2.5
201708,34.8,2.6
201709,34.8,2.6
201710,34.2,2.0
201711,34.4,2.2
201712,34.6,2.4
201801,35.0,2.8
201802,34.4,2.2
201803,33.9,1.7
201804,34.1,1.9
201805,34.3,2.1
201806,34.3,2.1
201807,34.4,2.2
201808,34.5,2.3
201809,34.9,2.7
201810,35.0,2.8
201811,34.3,2.1
201812,34.2,2.0
201901,33.7,1.5
201902,33.5,1.3
201903,33.5,1.3
201904,33.7,1.5
201905,33.1,0.9
201906,32.7,0.5
201907,32.4,0.2
201908,32.4,0.2
201909,32.1,-0.1
201910,31.4,-0.8
201911,31.8,-0.4
201912,31.9,-0.3
202001,32.0,-0.2
202002,32.2,0.0
202003,32.4,0.2
202004,32.3,0.1
202005,32.8,0.6
202006,32.9,0.7
202007,33.0,0.8
202008,33.2,1.0
202009,33.2,1.0
202010,34.2,2.0
202011,34.2,2.0
202012,34.1,1.9
202101,33.9,1.7
202102,34.0,1.8
202103,33.6,1.4
202104,33.6,1.4
202105,33.4,1.2
202106,33.9,1.7
202107,34.1,1.9
202108,33.7,1.5
202109,33.7,1.5
202110,33.4,1.2
202111,33.8,1.6
202112,34.1,1.9
202201,34.3,2.1
202202,33.9,1.7
202203,34.1,1.9
202204,33.9,1.7
202205,33.6,1.4
202206,33.3,1.1
202207,33.2,1.0
202208,33.4,1.2
202209,33.6,1.4
202210,33.7,1.5
202211,32.9,0.7
202212,32.7,0.5
202301,32.5,0.3
202302,32.6,0.4
202303,32.1,-0.1
202304,32.1,-0.1
202305,32.5,0.3
202306,32.2,0.0
202307,32.2,0.0
202308,32.1,-0.1
202309,31.8,-0.4
202310,31.9,-0.3
202311,32.5,0.3
202312,32.8,0.6
202401,33.1,0.9
202402,33.7,1.5
202403,34.3,2.1
