Sevier County, Utah December Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-4.18,-4.42
199002,-4.24,-4.55
199003,-4.27,-4.57
199004,-4.14,-4.44
199005,-4.37,-4.63
199006,-4.30,-4.56
199007,-4.61,-4.85
199008,-4.77,-5.05
199009,-4.15,-4.45
199010,-3.58,-3.82
199011,-3.57,-3.78
199012,-3.41,-3.59
199101,-3.44,-3.68
199102,-3.75,-4.06
199103,-3.54,-3.84
199104,0.27,-0.03
199105,1.03,0.77
199106,1.00,0.74
199107,1.03,0.79
199108,1.45,1.17
199109,1.71,1.41
199110,1.75,1.51
199111,1.83,1.62
199112,-0.41,-0.59
199201,-0.82,-1.06
199202,-0.87,-1.18
199203,-0.58,-0.88
199204,-1.34,-1.64
199205,0.67,0.41
199206,0.60,0.34
199207,-0.13,-0.37
199208,-0.27,-0.55
199209,-0.68,-0.98
199210,-0.66,-0.90
199211,0.07,-0.14
199212,0.19,0.01
199301,0.95,0.71
199302,1.94,1.63
199303,2.18,1.88
199304,1.65,1.35
199305,1.85,1.59
199306,2.09,1.83
199307,-0.18,-0.42
199308,-0.29,-0.57
199309,-0.52,-0.82
199310,0.53,0.29
199311,-0.08,-0.29
199312,-0.39,-0.57
199401,-0.79,-1.03
199402,-0.91,-1.22
199403,-1.57,-1.87
199404,-1.13,-1.43
199405,-1.49,-1.75
199406,-2.08,-2.34
199407,-2.86,-3.10
199408,-3.02,-3.30
199409,-2.82,-3.12
199410,0.96,0.72
199411,1.65,1.44
199412,1.33,1.15
199501,1.46,1.22
199502,0.97,0.66
199503,1.61,1.31
199504,2.20,1.90
199505,3.57,3.31
199506,4.16,3.90
199507,4.13,3.89
199508,-0.16,-0.44
199509,-0.39,-0.69
199510,-0.89,-1.13
199511,-1.50,-1.71
199512,-1.58,-1.76
199601,-1.15,-1.39
199602,-1.08,-1.39
199603,-1.00,-1.30
199604,-1.14,-1.44
199605,-1.13,-1.39
199606,-1.38,-1.64
199607,-1.99,-2.23
199608,-2.67,-2.95
199609,0.14,-0.16
199610,0.44,0.20
199611,0.72,0.51
199612,0.76,0.58
199701,1.70,1.46
199702,2.01,1.70
199703,1.02,0.72
199704,1.72,1.42
199705,1.38,1.12
199706,1.65,1.39
199707,1.76,1.52
199708,2.36,2.08
199709,3.86,3.56
199710,3.84,3.60
199711,3.25,3.04
199712,2.78,2.60
199801,2.54,2.30
199802,3.46,3.15
199803,3.18,2.88
199804,2.95,2.65
199805,2.24,1.98
199806,3.01,2.75
199807,3.44,3.20
199808,3.13,2.85
199809,3.72,3.42
199810,4.40,4.16
199811,3.90,3.69
199812,3.54,3.36
199901,3.25,3.01
199902,2.89,2.58
199903,1.93,1.63
199904,2.89,2.59
199905,2.87,2.61
199906,3.14,2.88
199907,3.71,3.47
199908,4.44,4.16
199909,4.33,4.03
199910,-0.56,-0.80
199911,-1.46,-1.67
199912,-1.66,-1.84
200001,-1.45,-1.69
200002,-1.29,-1.60
200003,-1.45,-1.75
200004,-2.20,-2.50
200005,-2.41,-2.67
200006,-2.48,-2.74
200007,-2.92,-3.16
200008,-2.09,-2.37
200009,-1.93,-2.23
200010,-0.67,-0.91
200011,-0.73,-0.94
200012,-0.92,-1.10
200101,-0.94,-1.18
200102,-0.65,-0.96
200103,-0.76,-1.06
200104,-0.89,-1.19
200105,-1.02,-1.28
200106,-1.12,-1.38
200107,-0.90,-1.14
200108,-0.84,-1.12
200109,-1.46,-1.76
200110,-1.80,-2.04
200111,-1.38,-1.59
200112,-1.43,-1.61
200201,-1.91,-2.15
200202,-2.38,-2.69
200203,-2.73,-3.03
200204,-3.27,-3.57
200205,-3.77,-4.03
200206,-4.57,-4.83
200207,-5.03,-5.27
200208,-5.64,-5.92
200209,-4.16,-4.46
200210,-3.42,-3.66
200211,-3.12,-3.33
200212,-3.12,-3.30
200301,-3.55,-3.79
200302,-3.45,-3.76
200303,-2.90,-3.20
200304,-2.81,-3.11
200305,-2.67,-2.93
200306,-2.72,-2.98
200307,-2.99,-3.23
200308,-2.69,-2.97
200309,-2.83,-3.13
200310,-3.27,-3.51
200311,0.17,-0.04
200312,0.70,0.52
200401,0.45,0.21
200402,0.73,0.42
200403,-0.95,-1.25
200404,0.87,0.57
200405,-0.21,-0.47
200406,-0.19,-0.45
200407,-0.28,-0.52
200408,-0.47,-0.75
200409,-0.77,-1.07
200410,1.28,1.04
200411,1.62,1.41
200412,1.60,1.42
200501,2.13,1.89
200502,2.34,2.03
200503,2.47,2.17
200504,2.22,1.92
200505,2.21,1.95
200506,3.59,3.33
200507,3.53,3.29
200508,3.23,2.95
200509,0.01,-0.29
200510,0.10,-0.14
200511,-0.48,-0.69
200512,-0.62,-0.80
200601,-0.63,-0.87
200602,-0.97,-1.28
200603,-0.50,-0.80
200604,-0.78,-1.08
200605,-1.45,-1.71
200606,-2.10,-2.36
200607,-2.16,-2.40
200608,-2.14,-2.42
200609,0.72,0.42
200610,2.62,2.38
200611,2.38,2.17
200612,2.37,2.19
200701,-0.07,-0.31
200702,0.13,-0.18
200703,-0.46,-0.76
200704,-0.53,-0.83
200705,-0.63,-0.89
200706,-0.70,-0.96
200707,-0.96,-1.20
200708,-0.83,-1.11
200709,-0.45,-0.75
200710,-0.55,-0.79
200711,-1.31,-1.52
200712,0.66,0.48
200801,0.91,0.67
200802,1.26,0.95
200803,0.00,-0.30
200804,-0.23,-0.53
200805,0.13,-0.13
200806,0.31,0.05
200807,-0.15,-0.39
200808,-0.38,-0.66
200809,-0.86,-1.16
200810,-1.02,-1.26
200811,-1.24,-1.45
200812,-0.93,-1.11
200901,-0.89,-1.13
200902,-1.18,-1.49
200903,-1.27,-1.57
200904,-1.04,-1.34
200905,-1.08,-1.34
200906,-0.60,-0.86
200907,-0.90,-1.14
200908,-1.67,-1.95
200909,-1.69,-1.99
200910,-1.56,-1.80
200911,-1.82,-2.03
200912,0.21,0.03
201001,-0.25,-0.49
201002,0.23,-0.08
201003,0.25,-0.05
201004,0.57,0.27
201005,0.76,0.50
201006,1.18,0.92
201007,1.51,1.27
201008,1.55,1.27
201009,0.62,0.32
201010,2.06,1.82
201011,2.39,2.18
201012,3.82,3.64
201101,3.56,3.32
201102,3.70,3.39
201103,3.81,3.51
201104,4.61,4.31
201105,5.32,5.06
201106,5.12,4.86
201107,6.01,5.77
201108,5.66,5.38
201109,5.39,5.09
201110,5.10,4.86
201111,-0.24,-0.45
201112,-0.52,-0.70
201201,-0.83,-1.07
201202,-0.69,-1.00
201203,-1.16,-1.46
201204,-1.55,-1.85
201205,-2.27,-2.53
201206,-3.13,-3.39
201207,-2.54,-2.78
201208,-2.42,-2.70
201209,-2.44,-2.74
201210,-2.41,-2.65
201211,-2.92,-3.13
201212,-2.49,-2.67
201301,-2.60,-2.84
201302,-2.94,-3.25
201303,-3.22,-3.52
201304,-2.77,-3.07
201305,-2.59,-2.85
201306,-3.00,-3.26
201307,-2.77,-3.01
201308,0.45,0.17
201309,1.66,1.36
201310,1.66,1.42
201311,-0.38,-0.59
201312,-0.38,-0.56
201401,-0.77,-1.01
201402,-0.92,-1.23
201403,-1.23,-1.53
201404,-1.49,-1.79
201405,-1.33,-1.59
201406,-1.75,-2.01
201407,-0.03,-0.27
201408,0.49,0.21
201409,1.37,1.07
201410,-0.71,-0.95
201411,-0.83,-1.04
201412,-0.19,-0.37
201501,-0.34,-0.58
201502,-0.97,-1.28
201503,-1.84,-2.14
201504,-2.00,-2.30
201505,1.05,0.79
201506,1.09,0.83
201507,1.31,1.07
201508,1.28,1.00
201509,0.61,0.31
201510,0.69,0.45
201511,0.57,0.36
201512,1.10,0.92
201601,1.41,1.17
201602,-0.15,-0.46
