Sevier County, Utah December Palmer Hydrological Drought Index (PHDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-4.18,-4.43
199002,-4.24,-4.51
199003,-4.27,-4.52
199004,-4.14,-4.36
199005,-4.37,-4.67
199006,-4.30,-4.59
199007,-4.61,-4.87
199008,-4.77,-5.15
199009,-4.15,-4.55
199010,-3.58,-3.98
199011,-3.57,-3.93
199012,-3.41,-3.67
199101,-3.44,-3.69
199102,-3.75,-4.02
199103,-3.54,-3.79
199104,-2.91,-3.13
199105,-1.82,-2.12
199106,-1.55,-1.84
199107,-1.26,-1.52
199108,-0.60,-0.98
199109,1.71,1.31
199110,1.75,1.35
199111,1.83,1.47
199112,1.24,0.98
199201,0.65,0.40
199202,-0.87,-1.14
199203,-0.58,-0.83
199204,-1.34,-1.56
199205,0.67,0.37
199206,0.60,0.31
199207,-0.13,-0.39
199208,-0.27,-0.65
199209,-0.68,-1.08
199210,-0.66,-1.06
199211,0.07,-0.29
199212,0.19,-0.07
199301,0.95,0.70
199302,1.94,1.67
199303,2.18,1.93
199304,1.65,1.43
199305,1.85,1.55
199306,2.09,1.80
199307,1.70,1.44
199308,1.39,1.01
199309,0.99,0.59
199310,1.42,1.02
199311,1.19,0.83
199312,0.76,0.50
199401,-0.79,-1.04
199402,-0.91,-1.18
199403,-1.57,-1.82
199404,-1.13,-1.35
199405,-1.49,-1.79
199406,-2.08,-2.37
199407,-2.86,-3.12
199408,-3.02,-3.40
199409,-2.82,-3.22
199410,-1.57,-1.97
199411,-0.62,-0.98
199412,-0.70,-0.96
199501,1.46,1.21
199502,0.97,0.70
199503,1.61,1.36
199504,2.20,1.98
199505,3.57,3.27
199506,4.16,3.87
199507,4.13,3.87
199508,3.54,3.16
199509,2.93,2.53
199510,2.09,1.69
199511,1.17,0.81
199512,0.81,0.55
199601,1.00,0.75
199602,0.85,0.58
199603,0.74,0.49
199604,-1.14,-1.36
199605,-1.13,-1.43
199606,-1.38,-1.67
199607,-1.99,-2.25
199608,-2.67,-3.05
199609,-2.25,-2.65
199610,-1.70,-2.10
199611,-1.20,-1.56
199612,-0.97,-1.23
199701,1.70,1.45
199702,2.01,1.74
199703,1.02,0.77
199704,1.72,1.50
199705,1.38,1.08
199706,1.65,1.36
199707,1.76,1.50
199708,2.36,1.98
199709,3.86,3.46
199710,3.84,3.44
199711,3.25,2.89
199712,2.78,2.52
199801,2.54,2.29
199802,3.46,3.19
199803,3.18,2.93
199804,2.95,2.73
199805,2.24,1.94
199806,3.01,2.72
199807,3.44,3.18
199808,3.13,2.75
199809,3.72,3.32
199810,4.40,4.00
199811,3.90,3.54
199812,3.54,3.28
199901,3.25,3.00
199902,2.89,2.62
199903,1.93,1.68
199904,2.89,2.67
199905,2.87,2.57
199906,3.14,2.85
199907,3.71,3.45
199908,4.44,4.06
199909,4.33,3.93
199910,3.32,2.92
199911,2.02,1.66
199912,1.46,1.20
200001,1.35,1.10
200002,1.22,0.95
200003,0.80,0.55
200004,-2.20,-2.42
200005,-2.41,-2.71
200006,-2.48,-2.77
200007,-2.92,-3.18
200008,-2.09,-2.47
200009,-1.93,-2.33
200010,-0.67,-1.07
200011,-0.73,-1.09
200012,-0.92,-1.18
200101,-0.94,-1.19
200102,-0.65,-0.92
200103,-0.76,-1.01
200104,-0.89,-1.11
200105,-1.02,-1.32
200106,-1.12,-1.41
200107,-0.90,-1.16
200108,-0.84,-1.22
200109,-1.46,-1.86
200110,-1.80,-2.20
200111,-1.38,-1.74
200112,-1.43,-1.69
200201,-1.91,-2.16
200202,-2.38,-2.65
200203,-2.73,-2.98
200204,-3.27,-3.49
200205,-3.77,-4.07
200206,-4.57,-4.86
200207,-5.03,-5.29
200208,-5.64,-6.02
200209,-4.16,-4.56
200210,-3.42,-3.82
200211,-3.12,-3.48
200212,-3.12,-3.38
200301,-3.55,-3.80
200302,-3.45,-3.72
200303,-2.90,-3.15
200304,-2.81,-3.03
200305,-2.67,-2.97
200306,-2.72,-3.01
200307,-2.99,-3.25
200308,-2.69,-3.07
200309,-2.83,-3.23
200310,-3.27,-3.67
200311,-2.77,-3.13
200312,-1.94,-2.20
200401,-1.91,-2.16
200402,-1.39,-1.66
200403,-2.19,-2.44
200404,-1.09,-1.31
200405,-1.19,-1.49
200406,-1.07,-1.36
200407,-1.07,-1.33
200408,-1.18,-1.56
200409,-1.40,-1.80
200410,1.28,0.88
200411,1.62,1.26
200412,1.60,1.34
200501,2.13,1.88
200502,2.34,2.07
200503,2.47,2.22
200504,2.22,2.00
200505,2.21,1.91
200506,3.59,3.30
200507,3.53,3.27
200508,3.23,2.85
200509,2.90,2.50
200510,2.69,2.29
200511,1.93,1.57
200512,1.55,1.29
200601,1.31,1.06
200602,0.77,0.50
200603,1.06,0.81
