Sevier County, Utah December Palmer Modified Drought Index (PMDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-4.18,-4.32
199002,-4.24,-4.51
199003,-4.27,-4.53
199004,-4.14,-4.41
199005,-4.37,-4.66
199006,-4.30,-4.59
199007,-4.61,-4.94
199008,-4.77,-5.11
199009,-3.94,-4.28
199010,-3.17,-3.49
199011,-3.51,-3.75
199012,-3.41,-3.57
199101,-3.44,-3.58
199102,-3.75,-4.02
199103,-3.54,-3.80
199104,-2.53,-2.80
199105,-0.46,-0.75
199106,-0.11,-0.40
199107,0.29,-0.04
199108,1.40,1.06
199109,1.71,1.37
199110,1.75,1.43
199111,1.83,1.59
199112,0.58,0.42
199201,-0.68,-0.82
199202,-0.87,-1.14
199203,-0.58,-0.84
199204,-1.34,-1.61
199205,0.67,0.38
199206,0.60,0.31
199207,0.41,0.08
199208,-0.27,-0.61
199209,-0.68,-1.02
199210,-0.66,-0.98
199211,-0.52,-0.76
199212,-0.34,-0.50
199301,0.95,0.81
199302,1.94,1.67
199303,2.18,1.92
199304,1.16,0.89
199305,1.81,1.52
199306,2.09,1.80
199307,1.38,1.05
199308,0.85,0.51
199309,0.06,-0.28
199310,1.12,0.80
199311,0.73,0.49
199312,-0.13,-0.29
199401,-0.79,-0.93
199402,-0.91,-1.18
199403,-1.57,-1.83
199404,-0.62,-0.89
199405,-1.49,-1.78
199406,-2.08,-2.37
199407,-2.86,-3.19
199408,-3.02,-3.36
199409,-2.82,-3.16
199410,-0.30,-0.62
199411,1.56,1.32
199412,1.17,1.01
199501,1.46,1.32
199502,0.35,0.08
199503,1.61,1.35
199504,2.20,1.93
199505,3.57,3.28
199506,4.16,3.87
199507,4.13,3.80
199508,3.30,2.96
199509,2.35,2.01
199510,0.85,0.53
199511,-0.83,-1.07
199512,-1.32,-1.48
199601,-0.74,-0.88
199602,-0.84,-1.11
199603,-0.85,-1.11
199604,-1.14,-1.41
199605,-1.13,-1.42
199606,-1.38,-1.67
199607,-1.99,-2.32
199608,-2.67,-3.01
199609,-2.02,-2.36
199610,-1.00,-1.32
199611,-0.07,-0.31
199612,0.28,0.12
199701,1.70,1.56
199702,2.01,1.74
199703,-0.15,-0.41
199704,1.60,1.33
199705,0.98,0.69
199706,1.65,1.36
199707,1.76,1.43
199708,2.36,2.02
199709,3.86,3.52
199710,3.84,3.52
199711,2.97,2.73
199712,2.29,2.13
199801,2.04,1.90
199802,3.46,3.19
199803,3.18,2.92
199804,2.95,2.68
199805,1.68,1.39
199806,3.01,2.72
199807,3.44,3.11
199808,3.12,2.78
199809,3.72,3.38
199810,4.40,4.08
199811,3.80,3.56
199812,3.42,3.26
199901,3.16,3.02
199902,2.71,2.44
199903,0.93,0.67
199904,2.89,2.62
199905,2.87,2.58
199906,3.14,2.85
199907,3.71,3.38
199908,4.44,4.10
199909,4.33,3.99
199910,2.61,2.29
199911,0.20,-0.04
199912,-0.69,-0.85
200001,-0.67,-0.81
200002,-0.67,-0.94
200003,-1.24,-1.50
200004,-2.20,-2.47
200005,-2.41,-2.70
200006,-2.48,-2.77
200007,-2.92,-3.25
200008,-1.37,-1.71
200009,-1.24,-1.58
200010,1.30,0.98
200011,0.97,0.73
200012,0.42,0.26
200101,0.24,0.10
200102,0.64,0.37
200103,0.31,0.05
200104,-0.02,-0.29
200105,-0.31,-0.60
200106,-0.42,-0.71
200107,-0.14,-0.47
200108,-0.12,-0.46
200109,-0.97,-1.31
200110,-1.75,-2.07
200111,-0.93,-1.17
200112,-1.20,-1.36
200201,-1.91,-2.05
200202,-2.38,-2.65
200203,-2.73,-2.99
200204,-3.27,-3.54
200205,-3.77,-4.06
200206,-4.57,-4.86
200207,-5.03,-5.36
200208,-5.64,-5.98
200209,-3.11,-3.45
200210,-2.00,-2.32
200211,-1.76,-2.00
200212,-2.08,-2.24
200301,-3.19,-3.33
200302,-3.31,-3.58
200303,-2.49,-2.75
200304,-2.57,-2.84
200305,-2.55,-2.84
200306,-2.72,-3.01
200307,-2.99,-3.32
200308,-2.64,-2.98
200309,-2.83,-3.17
200310,-3.27,-3.59
200311,-2.50,-2.74
200312,-0.96,-1.12
200401,-1.11,-1.25
200402,-0.20,-0.47
200403,-1.99,-2.25
200404,0.22,-0.05
200405,-0.15,-0.44
200406,-0.03,-0.32
200407,-0.16,-0.49
200408,-0.49,-0.83
200409,-0.91,-1.25
200410,1.28,0.96
200411,1.62,1.38
200412,1.60,1.44
200501,2.13,1.99
200502,2.34,2.07
200503,2.47,2.21
200504,2.17,1.90
200505,2.21,1.92
200506,3.59,3.30
200507,3.53,3.20
200508,3.23,2.89
200509,2.85,2.51
200510,2.69,2.37
200511,1.25,1.01
200512,0.60,0.44
200601,0.25,0.11
200602,-0.72,-0.99
200603,0.02,-0.24
200604,-0.71,-0.98
200605,-1.45,-1.74
200606,-2.10,-2.39
200607,-2.16,-2.49
200608,-2.14,-2.48
200609,-0.17,-0.51
200610,2.62,2.30
200611,2.35,2.11
200612,2.37,2.21
200701,1.89,1.75
200702,1.93,1.66
200703,0.58,0.32
200704,0.13,-0.14
200705,-0.34,-0.63
200706,-0.66,-0.95
200707,-0.96,-1.29
200708,-0.83,-1.17
200709,-0.45,-0.79
200710,-0.55,-0.87
200711,-1.31,-1.55
200712,0.66,0.50
200801,0.91,0.77
200802,1.26,0.99
200803,1.05,0.79
200804,0.18,-0.09
200805,0.41,0.12
200806,0.72,0.43
200807,0.12,-0.21
200808,-0.38,-0.72
200809,-0.86,-1.20
200810,-1.02,-1.34
200811,-1.24,-1.48
200812,-0.51,-0.67
200901,-0.49,-0.63
200902,-1.18,-1.45
200903,-1.27,-1.53
200904,-0.78,-1.05
200905,-0.98,-1.27
200906,0.28,-0.01
200907,-0.63,-0.96
200908,-1.67,-2.01
200909,-1.69,-2.03
200910,-1.54,-1.86
200911,-1.82,-2.06
200912,-1.05,-1.21
201001,-1.44,-1.58
201002,-0.63,-0.90
201003,-0.35,-0.61
201004,0.57,0.30
201005,0.76,0.47
201006,1.18,0.89
201007,1.51,1.18
201008,1.55,1.21
201009,-0.66,-1.00
201010,2.06,1.74
201011,2.39,2.15
201012,3.82,3.66
201101,3.56,3.42
201102,3.70,3.43
201103,3.81,3.55
201104,4.61,4.34
201105,5.32,5.03
201106,5.12,4.83
201107,6.01,5.68
201108,5.66,5.32
201109,5.39,5.05
201110,5.10,4.78
201111,4.01,3.77
201112,2.87,2.71
201201,1.70,1.56
201202,1.49,1.22
201203,0.12,-0.14
201204,-1.00,-1.27
201205,-2.27,-2.56
201206,-3.13,-3.42
201207,-2.15,-2.48
201208,-2.14,-2.48
201209,-2.43,-2.77
201210,-2.41,-2.73
201211,-2.92,-3.16
201212,-2.26,-2.42
201301,-2.60,-2.74
201302,-2.94,-3.21
201303,-3.22,-3.48
201304,-2.57,-2.84
201305,-2.45,-2.74
201306,-3.00,-3.29
201307,-2.77,-3.10
201308,-1.41,-1.75
201309,1.64,1.30
201310,1.66,1.34
201311,0.46,0.22
201312,0.19,0.03
201401,-0.77,-0.91
201402,-0.92,-1.19
201403,-1.23,-1.49
201404,-1.49,-1.76
