Sevier County, Utah December Palmer Z-Index
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-2.70,-2.79
199002,-1.48,-1.72
199003,-1.41,-1.52
199004,-0.94,-1.03
199005,-1.96,-2.07
199006,-1.15,-1.17
199007,-2.24,-2.36
199008,-1.91,-2.14
199009,0.39,0.19
199010,0.41,0.25
199011,-1.08,-1.03
199012,-0.62,-0.54
199101,-1.14,-1.23
199102,-1.98,-2.22
199103,-0.54,-0.65
199104,0.80,0.71
199105,2.38,2.27
199106,0.23,0.21
199107,0.40,0.28
199108,1.58,1.35
199109,1.20,1.00
199110,0.67,0.51
199111,0.78,0.83
199112,-1.23,-1.15
199201,-1.37,-1.46
199202,-0.38,-0.62
199203,0.58,0.47
199204,-2.45,-2.54
199205,2.01,1.90
199206,0.01,-0.01
199207,-0.40,-0.52
199208,-0.47,-0.70
199209,-1.29,-1.49
199210,-0.15,-0.31
199211,0.20,0.25
199212,0.38,0.46
199301,2.36,2.27
199302,3.26,3.02
199303,1.32,1.21
199304,-0.94,-1.03
199305,1.14,1.03
199306,1.28,1.26
199307,-0.54,-0.66
199308,-0.38,-0.61
199309,-0.77,-0.97
199310,1.59,1.43
199311,-0.24,-0.19
199312,-0.94,-0.86
199401,-1.32,-1.41
199402,-0.60,-0.84
199403,-2.27,-2.38
199404,0.83,0.74
199405,-1.43,-1.54
199406,-2.24,-2.26
199407,-2.96,-3.08
199408,-1.37,-1.60
199409,-0.32,-0.52
199410,2.88,2.72
199411,2.35,2.40
199412,-0.44,-0.36
199501,0.79,0.70
199502,-1.00,-1.24
199503,2.21,2.10
199504,2.27,2.18
199505,4.80,4.69
199506,2.87,2.85
199507,1.19,1.07
199508,-0.49,-0.72
199509,-0.73,-0.93
199510,-1.62,-1.78
199511,-2.12,-2.07
199512,-0.70,-0.62
199601,0.82,0.73
199602,-0.16,-0.40
199603,-0.07,-0.18
199604,-0.73,-0.82
199605,-0.33,-0.44
199606,-1.10,-1.12
199607,-2.24,-2.36
199608,-2.65,-2.88
199609,0.41,0.21
199610,0.96,0.80
199611,0.98,1.03
199612,0.33,0.41
199701,3.05,2.96
199702,1.47,1.23
199703,-2.37,-2.48
199704,2.42,2.33
199705,-0.48,-0.59
199706,1.23,1.21
199707,0.83,0.71
199708,2.37,2.14
199709,5.22,5.02
199710,1.12,0.96
199711,-0.56,-0.51
199712,-0.41,-0.33
199801,0.13,0.04
199802,3.56,3.32
199803,0.21,0.10
199804,0.29,0.20
199805,-1.21,-1.32
199806,3.00,2.98
199807,2.22,2.10
199808,0.14,-0.09
199809,2.74,2.54
199810,3.18,3.02
199811,-0.13,-0.08
199812,0.12,0.20
199901,0.23,0.14
199902,-0.08,-0.32
199903,-1.98,-2.09
199904,3.47,3.38
199905,0.84,0.73
199906,1.68,1.66
199907,2.68,2.56
199908,3.35,3.12
199909,1.02,0.82
199910,-1.69,-1.85
199911,-2.86,-2.81
199912,-1.06,-0.98
200001,0.11,0.02
200002,0.05,-0.19
200003,-0.89,-1.00
200004,-2.71,-2.80
200005,-1.30,-1.41
200006,-0.96,-0.98
200007,-2.08,-2.20
200008,1.59,1.36
