Sevier County, Utah January-December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,10.13,-6.14
199002,10.50,-5.78
199003,10.98,-5.31
199004,12.09,-4.17
199005,11.71,-4.56
199006,12.33,-3.95
199007,12.00,-4.28
199008,11.67,-4.63
199009,12.67,-3.63
199010,13.48,-2.84
199011,13.73,-2.59
199012,14.72,-1.61
199101,15.15,-1.12
199102,14.34,-1.94
199103,13.95,-2.34
199104,14.07,-2.19
199105,15.94,-0.33
199106,15.18,-1.10
199107,15.42,-0.86
199108,16.77,0.47
199109,16.78,0.48
199110,16.86,0.54
199111,17.66,1.34
199112,16.90,0.57
199201,16.49,0.22
199202,17.13,0.85
199203,17.86,1.57
199204,16.79,0.53
199205,17.17,0.90
199206,17.42,1.14
199207,17.44,1.16
199208,16.57,0.27
199209,15.51,-0.79
199210,15.26,-1.06
199211,14.95,-1.37
199212,16.04,-0.29
199301,18.01,1.74
199302,19.30,3.02
199303,19.13,2.84
199304,19.24,2.98
199305,18.58,2.31
199306,18.99,2.71
199307,18.46,2.18
199308,18.32,2.02
199309,18.45,2.15
199310,19.06,2.74
199311,18.65,2.33
199312,17.80,1.47
199401,15.88,-0.39
199402,14.47,-1.81
199403,13.15,-3.14
199404,14.64,-1.62
199405,13.35,-2.92
199406,12.37,-3.91
199407,12.45,-3.83
199408,12.65,-3.65
199409,13.20,-3.10
199410,13.90,-2.42
199411,15.28,-1.04
199412,15.13,-1.20
199501,15.81,-0.46
199502,15.28,-1.00
199503,17.14,0.85
199504,17.33,1.07
199505,20.06,3.79
199506,21.66,5.38
199507,21.70,5.42
199508,21.32,5.02
199509,20.83,4.53
199510,18.52,2.20
199511,16.91,0.59
199512,17.62,1.29
199601,18.49,2.22
199602,19.23,2.95
199603,18.22,1.93
199604,16.72,0.46
199605,14.52,-1.75
199606,13.10,-3.18
199607,13.17,-3.11
199608,12.78,-3.52
199609,13.40,-2.90
199610,14.67,-1.65
199611,15.96,-0.36
199612,16.09,-0.24
199701,16.73,0.46
199702,16.67,0.39
199703,15.17,-1.12
199704,16.80,0.54
199705,16.76,0.49
199706,17.85,1.57
199707,18.67,2.39
199708,20.60,4.30
199709,22.81,6.51
199710,22.64,6.32
199711,21.48,5.16
199712,20.98,4.65
199801,19.40,3.13
199802,21.23,4.95
199803,22.25,5.96
199804,20.95,4.69
199805,20.27,4.00
199806,21.06,4.78
199807,21.32,5.04
199808,20.08,3.78
199809,18.91,2.61
199810,20.16,3.84
199811,20.35,4.03
199812,20.48,4.15
199901,20.28,4.01
199902,17.96,1.68
199903,17.17,0.88
199904,18.88,2.62
199905,19.89,3.62
199906,18.97,2.69
199907,19.38,3.10
199908,20.80,4.50
199909,19.66,3.36
199910,17.32,1.00
199911,16.59,0.27
199912,16.50,0.17
200001,17.19,0.92
200002,18.00,1.72
200003,18.68,2.39
200004,16.11,-0.15
200005,15.67,-0.60
200006,15.47,-0.81
200007,14.09,-2.19
200008,14.05,-2.25
200009,13.96,-2.34
200010,16.48,0.16
200011,16.91,0.59
200012,16.66,0.33
200101,15.99,-0.28
200102,15.92,-0.36
200103,16.07,-0.22
200104,16.78,0.52
200105,16.85,0.58
200106,16.42,0.14
200107,17.38,1.10
200108,16.34,0.04
200109,15.44,-0.86
200110,13.20,-3.12
200111,14.42,-1.90
200112,14.71,-1.62
200201,13.98,-2.29
200202,12.88,-3.40
200203,12.49,-3.80
200204,12.07,-4.19
200205,11.33,-4.94
200206,10.98,-5.30
200207,10.26,-6.02
200208,8.94,-7.36
200209,11.27,-5.03
200210,12.21,-4.11
200211,11.53,-4.79
200212,11.40,-4.93
200301,11.51,-4.76
200302,12.39,-3.89
200303,13.99,-2.30
200304,14.26,-2.00
200305,15.01,-1.26
200306,15.06,-1.22
200307,14.98,-1.30
200308,16.51,0.21
200309,14.56,-1.74
200310,13.44,-2.88
200311,13.74,-2.58
200312,15.16,-1.17
200401,15.44,-0.83
200402,15.75,-0.53
200403,13.51,-2.78
200404,15.74,-0.52
200405,15.58,-0.69
200406,16.03,-0.25
200407,16.28,0.00
200408,15.58,-0.72
200409,15.51,-0.79
200410,18.22,1.90
200411,18.36,2.04
200412,17.12,0.79
200501,18.24,1.97
200502,17.76,1.48
200503,19.29,3.00
200504,17.47,1.21
200505,18.11,1.84
200506,20.21,3.93
200507,19.58,3.30
200508,19.84,3.54
200509,20.31,4.01
200510,18.51,2.19
200511,17.64,1.32
200512,17.83,1.50
200601,17.43,1.16
200602,17.01,0.73
200603,17.50,1.21
200604,17.15,0.89
200605,15.81,-0.46
200606,13.13,-3.15
200607,14.24,-2.04
200608,14.26,-2.04
200609,15.33,-0.97
200610,18.24,1.92
200611,18.42,2.10
200612,18.35,2.02
200701,17.41,1.14
200702,17.63,1.35
200703,16.15,-0.14
200704,16.49,0.23
200705,17.31,1.04
200706,17.72,1.44
200707,17.21,0.93
200708,17.64,1.34
200709,17.14,0.84
200710,13.80,-2.52
200711,13.28,-3.04
200712,14.97,-1.36
200801,16.28,0.01
200802,17.10,0.82
200803,17.31,1.02
200804,16.63,0.37
200805,16.76,0.49
200806,16.88,0.60
200807,16.68,0.40
200808,16.08,-0.22
200809,14.86,-1.44
200810,14.79,-1.53
200811,15.53,-0.79
200812,14.54,-1.79
200901,14.02,-2.25
