Summit County, Utah January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,39.2,1.4
199002,39.4,1.6
199003,39.3,1.5
199004,39.3,1.5
199005,39.1,1.3
199006,39.3,1.5
199007,39.2,1.4
199008,39.2,1.4
199009,39.6,1.8
199010,39.6,1.8
199011,39.5,1.7
199012,38.8,1.0
199101,38.6,0.8
199102,39.2,1.4
199103,38.8,1.0
199104,38.3,0.5
199105,38.2,0.4
199106,38.1,0.3
199107,38.0,0.2
199108,38.1,0.3
199109,37.7,-0.1
199110,37.8,0.0
199111,37.5,-0.3
199112,38.3,0.5
199201,38.6,0.8
199202,38.5,0.7
199203,39.1,1.3
199204,39.9,2.1
199205,40.5,2.7
199206,40.5,2.7
199207,40.2,2.4
199208,40.2,2.4
199209,40.3,2.5
199210,40.5,2.7
199211,40.2,2.4
199212,39.8,2.0
199301,39.5,1.7
199302,38.9,1.1
199303,38.8,1.0
199304,38.1,0.3
199305,37.9,0.1
199306,37.6,-0.2
199307,37.3,-0.5
199308,37.0,-0.8
199309,36.8,-1.0
199310,36.5,-1.3
199311,36.5,-1.3
199312,36.9,-0.9
199401,37.2,-0.6
199402,37.3,-0.5
199403,37.4,-0.4
199404,37.7,-0.1
199405,37.8,0.0
199406,38.5,0.7
199407,39.1,1.3
199408,39.6,1.8
199409,39.9,2.1
199410,39.9,2.1
199411,39.7,1.9
199412,39.8,2.0
199501,39.7,1.9
199502,40.5,2.7
199503,40.2,2.4
199504,39.9,2.1
199505,39.3,1.5
199506,38.6,0.8
199507,38.3,0.5
199508,38.2,0.4
199509,38.1,0.3
199510,38.1,0.3
199511,39.1,1.3
199512,39.2,1.4
199601,39.1,1.3
199602,38.7,0.9
199603,38.7,0.9
199604,38.8,1.0
199605,39.1,1.3
199606,39.7,1.9
199607,40.0,2.2
199608,40.0,2.2
199609,39.7,1.9
199610,39.7,1.9
199611,39.3,1.5
199612,39.1,1.3
199701,39.1,1.3
199702,38.7,0.9
199703,38.8,1.0
199704,38.6,0.8
199705,38.8,1.0
199706,38.6,0.8
199707,38.3,0.5
199708,38.3,0.5
199709,38.5,0.7
199710,38.6,0.8
199711,38.5,0.7
199712,38.3,0.5
199801,38.5,0.7
199802,38.8,1.0
199803,38.5,0.7
199804,38.7,0.9
199805,38.4,0.6
199806,38.0,0.2
199807,38.3,0.5
199808,38.3,0.5
199809,38.5,0.7
199810,38.4,0.6
199811,38.5,0.7
199812,38.6,0.8
199901,38.6,0.8
199902,38.8,1.0
199903,39.1,1.3
199904,38.9,1.1
199905,38.7,0.9
199906,39.1,1.3
199907,38.9,1.1
199908,38.8,1.0
199909,38.4,0.6
199910,38.7,0.9
199911,39.3,1.5
199912,39.3,1.5
200001,39.3,1.5
200002,39.6,1.8
200003,39.3,1.5
200004,40.0,2.2
200005,40.5,2.7
200006,40.7,2.9
200007,41.0,3.2
200008,41.3,3.5
200009,41.5,3.7
200010,41.3,3.5
200011,39.9,2.1
200012,40.1,2.3
200101,39.8,2.0
200102,39.3,1.5
200103,39.6,1.8
200104,39.2,1.4
200105,39.3,1.5
200106,39.3,1.5
200107,39.3,1.5
200108,39.3,1.5
200109,39.6,1.8
200110,39.8,2.0
200111,40.6,2.8
200112,40.3,2.5
200201,40.1,2.3
200202,39.9,2.1
200203,39.5,1.7
200204,39.6,1.8
200205,39.3,1.5
200206,39.3,1.5
200207,39.5,1.7
200208,39.2,1.4
200209,38.8,1.0
200210,38.5,0.7
200211,38.2,0.4
200212,38.5,0.7
200301,39.4,1.6
200302,39.4,1.6
200303,39.8,2.0
200304,39.7,1.9
200305,39.8,2.0
200306,39.5,1.7
200307,39.6,1.8
200308,39.8,2.0
200309,39.8,2.0
200310,40.5,2.7
200311,40.2,2.4
200312,40.4,2.6
200401,39.6,1.8
200402,39.6,1.8
200403,40.0,2.2
200404,40.1,2.3
200405,40.0,2.2
200406,40.1,2.3
200407,39.7,1.9
200408,39.2,1.4
200409,39.1,1.3
200410,38.6,0.8
200411,38.9,1.1
200412,38.9,1.1
200501,39.5,1.7
200502,39.9,2.1
200503,39.4,1.6
200504,39.2,1.4
200505,39.2,1.4
200506,39.0,1.2
200507,39.1,1.3
200508,39.3,1.5
200509,39.4,1.6
200510,39.5,1.7
200511,39.7,1.9
200512,39.5,1.7
200601,39.2,1.4
200602,38.9,1.1
200603,38.7,0.9
200604,38.9,1.1
200605,39.0,1.2
200606,39.5,1.7
200607,39.7,1.9
200608,39.7,1.9
200609,39.4,1.6
200610,39.2,1.4
200611,39.0,1.2
200612,39.1,1.3
200701,38.7,0.9
200702,39.0,1.2
200703,39.6,1.8
200704,39.6,1.8
200705,39.5,1.7
200706,39.5,1.7
200707,39.6,1.8
200708,39.8,2.0
200709,40.1,2.3
200710,40.3,2.5
200711,40.6,2.8
200712,40.2,2.4
200801,40.1,2.3
200802,39.9,2.1
200803,39.2,1.4
200804,38.5,0.7
200805,38.2,0.4
200806,37.8,0.0
200807,37.6,-0.2
200808,37.4,-0.4
200809,37.4,-0.4
200810,37.4,-0.4
200811,37.5,-0.3
200812,37.7,-0.1
200901,38.3,0.5
200902,38.5,0.7
200903,38.8,1.0
200904,39.2,1.4
200905,39.5,1.7
200906,39.4,1.6
200907,39.2,1.4
200908,39.0,1.2
200909,39.3,1.5
200910,38.8,1.0
200911,38.7,0.9
200912,38.4,0.6
201001,38.3,0.5
201002,38.1,0.3
201003,38.1,0.3
201004,38.0,0.2
201005,37.4,-0.4
201006,37.6,-0.2
201007,37.7,-0.1
201008,37.8,0.0
201009,37.7,-0.1
201010,38.3,0.5
201011,37.8,0.0
201012,38.6,0.8
201101,38.3,0.5
201102,38.2,0.4
201103,38.2,0.4
201104,38.0,0.2
201105,38.1,0.3
201106,37.9,0.1
201107,37.9,0.1
201108,38.1,0.3
201109,38.0,0.2
201110,37.9,0.1
201111,38.0,0.2
201112,37.7,-0.1
201201,38.0,0.2
201202,38.2,0.4
201203,38.6,0.8
201204,39.2,1.4
201205,39.7,1.9
201206,40.2,2.4
201207,40.4,2.6
201208,40.5,2.7
201209,40.6,2.8
201210,40.6,2.8
201211,41.1,3.3
201212,41.0,3.2
201301,40.5,2.7
201302,40.4,2.6
201303,40.1,2.3
201304,39.6,1.8
201305,39.5,1.7
201306,39.5,1.7
201307,39.6,1.8
201308,39.4,1.6
201309,39.3,1.5
201310,39.0,1.2
201311,38.8,1.0
201312,38.7,0.9
201401,39.1,1.3
201402,39.6,1.8
201403,39.7,1.9
201404,39.9,2.1
201405,40.0,2.2
201406,39.7,1.9
201407,39.7,1.9
201408,39.3,1.5
201409,39.5,1.7
201410,40.1,2.3
201411,39.9,2.1
201412,40.3,2.5
201501,40.7,2.9
201502,41.0,3.2
201503,41.4,3.6
201504,41.5,3.7
201505,41.3,3.5
201506,41.8,4.0
201507,41.5,3.7
201508,41.7,3.9
201509,41.9,4.1
201510,42.0,4.2
201511,41.8,4.0
201512,41.4,3.6
201601,40.9,3.1
201602,40.7,2.9
201603,40.4,2.6
201604,40.5,2.7
201605,40.5,2.7
201606,40.5,2.7
201607,40.8,3.0
201608,40.8,3.0
201609,40.5,2.7
201610,40.4,2.6
201611,41.0,3.2
201612,41.0,3.2
201701,40.8,3.0
201702,40.8,3.0
201703,41.1,3.3
201704,40.9,3.1
201705,40.9,3.1
201706,40.8,3.0
201707,40.9,3.1
201708,40.9,3.1
201709,40.8,3.0
201710,40.4,2.6
201711,40.4,2.6
201712,40.8,3.0
201801,41.4,3.6
201802,41.0,3.2
201803,40.5,2.7
201804,40.7,2.9
201805,40.9,3.1
201806,40.9,3.1
201807,41.0,3.2
201808,41.0,3.2
201809,41.4,3.6
201810,41.4,3.6
201811,40.7,2.9
201812,40.3,2.5
201901,39.8,2.0
201902,39.5,1.7
201903,39.2,1.4
201904,39.2,1.4
201905,38.7,0.9
201906,38.3,0.5
201907,38.0,0.2
201908,38.1,0.3
201909,37.8,0.0
201910,37.3,-0.5
201911,37.6,-0.2
201912,37.8,0.0
202001,38.0,0.2
202002,38.2,0.4
202003,38.5,0.7
202004,38.4,0.6
202005,38.9,1.1
202006,39.0,1.2
202007,39.0,1.2
202008,39.2,1.4
202009,39.4,1.6
202010,40.2,2.4
202011,40.3,2.5
202012,40.4,2.6
202101,40.3,2.5
202102,40.4,2.6
202103,40.2,2.4
202104,40.2,2.4
202105,40.1,2.3
202106,40.7,2.9
202107,41.0,3.2
202108,40.6,2.8
202109,40.6,2.8
202110,40.3,2.5
202111,40.8,3.0
202112,40.9,3.1
202201,41.0,3.2
202202,40.9,3.1
202203,41.1,3.3
202204,40.9,3.1
202205,40.6,2.8
202206,40.2,2.4
202207,40.1,2.3
202208,40.3,2.5
202209,40.4,2.6
202210,40.6,2.8
202211,39.7,1.9
202212,39.4,1.6
202301,39.1,1.3
202302,39.1,1.3
202303,38.4,0.6
202304,38.3,0.5
202305,38.7,0.9
202306,38.5,0.7
202307,38.4,0.6
202308,38.3,0.5
202309,38.0,0.2
202310,37.9,0.1
202311,38.6,0.8
202312,39.1,1.3
202401,39.4,1.6
202402,39.7,1.9
202403,40.4,2.6
