Summit County, Utah January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,25,15
199002,25,15
199003,25,15
199004,25,15
199005,25,15
199006,25,15
199007,9,-1
199008,9,-1
199009,9,-1
199010,9,-1
199011,9,-1
199012,9,-1
199101,9,-1
199102,9,-1
199103,9,-1
199104,9,-1
199105,9,-1
199106,9,-1
199107,8,-2
199108,16,6
199109,16,6
199110,16,6
199111,16,6
199112,16,6
199201,16,6
199202,16,6
199203,16,6
199204,16,6
199205,16,6
199206,16,6
199207,8,-2
199208,8,-2
199209,8,-2
199210,8,-2
199211,8,-2
199212,8,-2
199301,8,-2
199302,8,-2
199303,8,-2
199304,8,-2
199305,8,-2
199306,8,-2
199307,8,-2
199308,0,-10
199309,0,-10
199310,0,-10
199311,0,-10
199312,0,-10
199401,0,-10
199402,0,-10
199403,0,-10
199404,0,-10
199405,0,-10
199406,9,-1
199407,25,15
199408,45,35
199409,45,35
199410,45,35
199411,45,35
199412,45,35
199501,45,35
199502,45,35
199503,45,35
199504,45,35
199505,45,35
199506,36,26
199507,20,10
199508,12,2
199509,12,2
199510,12,2
199511,12,2
199512,12,2
199601,12,2
199602,12,2
199603,12,2
199604,12,2
199605,12,2
199606,19,9
199607,34,24
199608,31,21
199609,31,21
199610,31,21
199611,31,21
199612,31,21
199701,31,21
199702,31,21
199703,31,21
199704,31,21
199705,31,21
199706,24,14
199707,9,-1
199708,8,-2
199709,8,-2
199710,8,-2
199711,8,-2
199712,8,-2
199801,8,-2
199802,8,-2
199803,8,-2
199804,8,-2
199805,8,-2
199806,8,-2
199807,27,17
199808,28,18
199809,28,18
199810,28,18
199811,28,18
199812,28,18
199901,28,18
199902,28,18
199903,28,18
199904,28,18
199905,28,18
199906,28,18
199907,17,7
199908,14,4
199909,14,4
199910,14,4
199911,14,4
199912,14,4
200001,14,4
200002,14,4
200003,14,4
200004,14,4
200005,14,4
200006,14,4
200007,32,22
200008,50,40
200009,50,40
200010,50,40
200011,50,40
200012,50,40
200101,50,40
200102,50,40
200103,50,40
200104,50,40
200105,50,40
200106,56,46
200107,48,38
200108,49,39
200109,49,39
200110,49,39
200111,49,39
200112,49,39
200201,49,39
200202,49,39
200203,49,39
200204,49,39
200205,49,39
200206,50,40
200207,74,64
200208,55,45
200209,55,45
200210,55,45
200211,55,45
200212,55,45
200301,55,45
200302,55,45
200303,55,45
200304,55,45
200305,55,45
200306,48,38
200307,60,50
200308,72,62
200309,72,62
200310,72,62
200311,72,62
200312,72,62
200401,72,62
200402,72,62
200403,72,62
200404,72,62
200405,72,62
200406,72,62
200407,24,14
200408,6,-4
200409,6,-4
200410,6,-4
200411,6,-4
200412,6,-4
200501,6,-4
200502,6,-4
200503,6,-4
200504,6,-4
200505,6,-4
200506,6,-4
200507,19,9
200508,19,9
200509,19,9
200510,19,9
200511,19,9
200512,19,9
200601,19,9
200602,19,9
200603,19,9
200604,19,9
200605,19,9
200606,26,16
200607,40,30
200608,40,30
200609,40,30
200610,40,30
200611,40,30
200612,40,30
200701,40,30
200702,40,30
200703,40,30
200704,40,30
200705,40,30
200706,40,30
200707,49,39
200708,64,54
200709,64,54
200710,64,54
200711,64,54
200712,64,54
200801,64,54
200802,64,54
200803,64,54
200804,64,54
200805,64,54
200806,57,47
200807,30,20
200808,21,11
200809,21,11
200810,21,11
200811,21,11
200812,21,11
200901,21,11
200902,21,11
200903,21,11
200904,21,11
200905,21,11
200906,21,11
200907,12,2
200908,6,-4
200909,6,-4
200910,6,-4
200911,6,-4
200912,6,-4
201001,6,-4
201002,6,-4
201003,6,-4
201004,6,-4
201005,6,-4
201006,6,-4
201007,8,-2
201008,8,-2
201009,8,-2
201010,8,-2
201011,8,-2
201012,8,-2
201101,8,-2
201102,8,-2
201103,8,-2
201104,8,-2
201105,8,-2
201106,8,-2
201107,6,-4
201108,17,7
201109,17,7
201110,17,7
201111,17,7
201112,17,7
201201,17,7
201202,17,7
201203,17,7
201204,17,7
201205,17,7
201206,24,14
201207,33,23
201208,42,32
201209,42,32
201210,42,32
201211,42,32
201212,42,32
201301,42,32
201302,42,32
201303,42,32
201304,42,32
201305,42,32
201306,42,32
201307,46,36
201308,36,26
201309,36,26
201310,36,26
201311,36,26
201312,36,26
201401,36,26
201402,36,26
201403,36,26
201404,36,26
201405,36,26
201406,29,19
201407,28,18
201408,18,8
201409,18,8
201410,18,8
201411,18,8
201412,18,8
201501,18,8
201502,18,8
201503,18,8
201504,18,8
201505,18,8
201506,33,23
201507,15,5
201508,21,11
201509,21,11
201510,21,11
201511,21,11
201512,21,11
201601,21,11
201602,21,11
201603,21,11
201604,21,11
201605,21,11
201606,21,11
201607,36,26
201608,37,27
201609,37,27
201610,37,27
201611,37,27
201612,37,27
201701,37,27
201702,37,27
201703,37,27
201704,37,27
201705,37,27
201706,30,20
201707,45,35
201708,47,37
201709,47,37
201710,47,37
201711,47,37
201712,47,37
201801,47,37
201802,47,37
201803,47,37
201804,47,37
201805,47,37
201806,47,37
201807,57,47
201808,59,49
201809,59,49
201810,59,49
201811,59,49
201812,59,49
201901,59,49
201902,59,49
201903,59,49
201904,59,49
201905,59,49
201906,51,41
201907,24,14
201908,24,14
201909,24,14
201910,24,14
201911,24,14
201912,24,14
202001,24,14
202002,24,14
202003,24,14
202004,24,14
202005,24,14
202006,24,14
202007,25,15
202008,52,42
202009,52,42
202010,52,42
202011,52,42
202012,52,42
202101,52,42
202102,52,42
202103,52,42
202104,52,42
202105,52,42
202106,74,64
202107,106,96
202108,73,63
202109,73,63
202110,73,63
202111,73,63
202112,73,63
202201,73,63
202202,73,63
202203,73,63
202204,73,63
202205,73,63
202206,51,41
202207,35,25
202208,42,32
202209,42,32
202210,42,32
202211,42,32
202212,42,32
202301,42,32
202302,42,32
202303,42,32
202304,42,32
202305,42,32
202306,42,32
202307,35,25
202308,29,19
202309,29,19
202310,29,19
202311,29,19
202312,29,19
202401,29,19
202402,29,19
202403,29,19
