Summit County, Utah January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,9399,-524
199002,9323,-598
199003,9360,-562
199004,9374,-547
199005,9445,-475
199006,9358,-562
199007,9413,-506
199008,9383,-534
199009,9256,-660
199010,9254,-662
199011,9279,-640
199012,9540,-379
199101,9613,-310
199102,9409,-512
199103,9559,-363
199104,9759,-162
199105,9785,-135
199106,9839,-81
199107,9843,-76
199108,9814,-103
199109,9959,43
199110,9948,32
199111,10032,113
199112,9750,-169
199201,9635,-288
199202,9650,-271
199203,9443,-479
199204,9158,-763
199205,8945,-975
199206,8939,-981
199207,9024,-895
199208,9024,-893
199209,8990,-926
199210,8916,-1000
199211,9035,-884
199212,9188,-731
199301,9273,-650
199302,9491,-430
199303,9543,-379
199304,9796,-125
199305,9852,-68
199306,9968,48
199307,10068,149
199308,10184,267
199309,10247,331
199310,10372,456
199311,10342,423
199312,10224,305
199401,10097,174
199402,10057,136
199403,10030,108
199404,9919,-2
199405,9883,-37
199406,9651,-269
199407,9430,-489
199408,9256,-661
199409,9141,-775
199410,9164,-752
199411,9214,-705
199412,9178,-741
199501,9228,-695
199502,8958,-963
199503,9059,-863
199504,9174,-747
199505,9409,-511
199506,9641,-279
199507,9755,-164
199508,9785,-132
199509,9828,-88
199510,9797,-119
199511,9460,-459
199512,9401,-518
199601,9435,-488
199602,9595,-326
199603,9581,-341
199604,9547,-374
199605,9425,-495
199606,9218,-702
199607,9109,-810
199608,9126,-791
199609,9232,-684
199610,9239,-677
199611,9372,-547
199612,9453,-466
199701,9453,-470
199702,9595,-326
199703,9547,-375
199704,9631,-290
199705,9556,-364
199706,9621,-299
199707,9719,-200
199708,9726,-191
199709,9631,-285
199710,9616,-300
199711,9649,-270
199712,9722,-197
199801,9634,-289
199802,9546,-375
199803,9645,-277
199804,9588,-333
199805,9678,-242
199806,9845,-75
199807,9733,-186
199808,9729,-188
199809,9675,-241
199810,9687,-229
199811,9648,-271
199812,9626,-293
199901,9622,-301
199902,9572,-349
199903,9466,-456
199904,9520,-401
199905,9589,-331
199906,9468,-452
199907,9516,-403
199908,9545,-372
199909,9697,-219
199910,9592,-324
199911,9377,-542
199912,9347,-572
200001,9364,-559
200002,9274,-647
200003,9350,-572
200004,9102,-819
200005,8923,-997
200006,8847,-1073
200007,8783,-1136
200008,8693,-1224
200009,8613,-1303
200010,8701,-1215
200011,9179,-740
200012,9131,-788
200101,9240,-683
200102,9383,-538
200103,9305,-617
200104,9416,-505
200105,9403,-517
200106,9388,-532
200107,9405,-514
200108,9404,-513
200109,9287,-629
200110,9226,-690
200111,8922,-997
200112,9047,-872
200201,9098,-825
200202,9158,-763
200203,9337,-585
200204,9303,-618
200205,9408,-512
200206,9393,-527
200207,9352,-567
200208,9438,-479
200209,9568,-348
200210,9709,-207
200211,9804,-115
200212,9680,-239
200301,9344,-579
200302,9352,-569
200303,9205,-717
200304,9260,-661
200305,9213,-707
200306,9307,-613
200307,9293,-626
200308,9225,-692
200309,9222,-694
200310,8968,-948
200311,9056,-863
200312,9014,-905
200401,9300,-623
200402,9309,-612
