Summit County, Utah January-December Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,51.0,1.5
199002,51.2,1.7
199003,51.1,1.6
199004,51.1,1.6
199005,50.9,1.4
199006,51.2,1.7
199007,50.9,1.4
199008,51.0,1.5
199009,51.3,1.8
199010,51.4,1.9
199011,51.3,1.8
199012,50.7,1.2
199101,50.5,1.0
199102,51.2,1.7
199103,50.8,1.3
199104,50.2,0.7
199105,50.0,0.5
199106,49.8,0.3
199107,49.8,0.3
199108,49.8,0.3
199109,49.3,-0.2
199110,49.4,-0.1
199111,49.1,-0.4
199112,49.8,0.3
199201,50.2,0.7
199202,50.1,0.6
199203,50.7,1.2
199204,51.6,2.1
199205,52.3,2.8
199206,52.3,2.8
199207,52.0,2.5
199208,52.1,2.6
199209,52.3,2.8
199210,52.4,2.9
199211,52.2,2.7
199212,51.7,2.2
199301,51.3,1.8
199302,50.7,1.2
199303,50.4,0.9
199304,49.7,0.2
199305,49.5,0.0
199306,49.2,-0.3
199307,48.9,-0.6
199308,48.5,-1.0
199309,48.4,-1.1
199310,48.0,-1.5
199311,48.2,-1.3
199312,48.6,-0.9
199401,48.9,-0.6
199402,49.1,-0.4
199403,49.4,-0.1
199404,49.7,0.2
199405,49.8,0.3
199406,50.6,1.1
199407,51.4,1.9
199408,52.0,2.5
199409,52.3,2.8
199410,52.2,2.7
199411,51.9,2.4
199412,51.9,2.4
199501,51.8,2.3
199502,52.6,3.1
199503,52.2,2.7
199504,51.9,2.4
199505,51.1,1.6
199506,50.2,0.7
199507,49.8,0.3
199508,49.7,0.2
199509,49.6,0.1
199510,49.8,0.3
199511,50.8,1.3
199512,51.0,1.5
199601,50.8,1.3
199602,50.3,0.8
199603,50.5,1.0
199604,50.6,1.1
199605,51.0,1.5
199606,51.7,2.2
199607,52.1,2.6
199608,52.1,2.6
199609,51.8,2.3
199610,51.7,2.2
199611,51.4,1.9
199612,51.0,1.5
199701,51.1,1.6
199702,50.7,1.2
199703,50.9,1.4
199704,50.6,1.1
199705,51.0,1.5
199706,50.7,1.2
199707,50.4,0.9
199708,50.1,0.6
199709,50.2,0.7
199710,50.3,0.8
199711,50.1,0.6
199712,50.2,0.7
199801,50.4,0.9
199802,50.5,1.0
199803,50.1,0.6
199804,50.3,0.8
199805,49.9,0.4
199806,49.3,-0.2
199807,49.6,0.1
199808,49.8,0.3
199809,50.0,0.5
199810,49.8,0.3
199811,49.8,0.3
199812,49.8,0.3
199901,49.8,0.3
199902,50.1,0.6
199903,50.4,0.9
199904,50.2,0.7
199905,50.1,0.6
199906,50.6,1.1
199907,50.4,0.9
199908,50.3,0.8
199909,50.0,0.5
199910,50.7,1.2
199911,51.6,2.1
199912,51.7,2.2
200001,51.6,2.1
200002,51.8,2.3
200003,51.5,2.0
200004,52.3,2.8
200005,52.7,3.2
200006,53.1,3.6
200007,53.4,3.9
200008,53.7,4.2
200009,53.9,4.4
200010,53.2,3.7
200011,51.6,2.1
200012,51.7,2.2
200101,51.6,2.1
200102,51.2,1.7
200103,51.4,1.9
200104,51.0,1.5
200105,51.1,1.6
200106,51.1,1.6
200107,51.0,1.5
200108,51.0,1.5
200109,51.5,2.0
200110,51.8,2.3
200111,52.6,3.1
200112,52.3,2.8
200201,52.1,2.6
200202,52.2,2.7
200203,51.8,2.3
200204,52.0,2.5
200205,51.7,2.2
200206,51.8,2.3
200207,52.0,2.5
200208,51.8,2.3
200209,51.2,1.7
200210,50.7,1.2
200211,50.6,1.1
200212,50.9,1.4
200301,51.7,2.2
200302,51.5,2.0
200303,51.7,2.2
200304,51.5,2.0
200305,51.6,2.1
200306,51.2,1.7
200307,51.3,1.8
200308,51.4,1.9
200309,51.6,2.1
200310,52.4,2.9
200311,52.0,2.5
200312,52.1,2.6
200401,51.3,1.8
200402,51.3,1.8
200403,52.0,2.5
200404,52.1,2.6
200405,51.9,2.4
200406,52.0,2.5
200407,51.4,1.9
200408,51.0,1.5
200409,50.8,1.3
200410,50.0,0.5
200411,50.4,0.9
200412,50.4,0.9
200501,50.9,1.4
200502,51.4,1.9
200503,50.8,1.3
200504,50.7,1.2
200505,50.8,1.3
200506,50.4,0.9
200507,50.7,1.2
200508,50.9,1.4
200509,51.1,1.6
200510,51.5,2.0
200511,51.6,2.1
200512,51.4,1.9
200601,51.2,1.7
200602,50.9,1.4
200603,50.6,1.1
200604,50.8,1.3
200605,51.1,1.6
200606,51.8,2.3
200607,51.8,2.3
200608,51.8,2.3
200609,51.5,2.0
200610,51.1,1.6
200611,51.1,1.6
200612,51.2,1.7
200701,50.9,1.4
200702,51.1,1.6
200703,51.8,2.3
200704,51.8,2.3
200705,51.7,2.2
200706,51.7,2.2
200707,51.8,2.3
200708,52.0,2.5
200709,52.3,2.8
200710,52.6,3.1
200711,53.0,3.5
200712,52.6,3.1
200801,52.4,2.9
200802,52.2,2.7
200803,51.4,1.9
200804,50.8,1.3
200805,50.4,0.9
200806,49.9,0.4
200807,49.7,0.2
200808,49.6,0.1
200809,49.6,0.1
200810,49.7,0.2
200811,49.5,0.0
200812,49.8,0.3
200901,50.4,0.9
200902,50.6,1.1
200903,50.9,1.4
200904,51.1,1.6
200905,51.5,2.0
200906,51.2,1.7
200907,51.0,1.5
200908,50.8,1.3
200909,51.1,1.6
200910,50.5,1.0
200911,50.6,1.1
200912,50.3,0.8
201001,50.2,0.7
201002,50.0,0.5
201003,50.1,0.6
201004,50.0,0.5
201005,49.3,-0.2
201006,49.6,0.1
201007,49.7,0.2
201008,49.7,0.2
201009,49.8,0.3
201010,50.4,0.9
201011,49.7,0.2
201012,50.3,0.8
201101,50.1,0.6
201102,50.0,0.5
201103,49.8,0.3
201104,49.6,0.1
201105,49.6,0.1
201106,49.5,0.0
201107,49.3,-0.2
201108,49.6,0.1
201109,49.4,-0.1
201110,49.3,-0.2
201111,49.5,0.0
201112,49.4,-0.1
201201,49.8,0.3
201202,49.9,0.4
201203,50.5,1.0
201204,51.2,1.7
201205,51.9,2.4
201206,52.5,3.0
201207,52.7,3.2
201208,52.9,3.4
201209,52.9,3.4
201210,53.0,3.5
201211,53.5,4.0
201212,53.2,3.7
201301,52.7,3.2
201302,52.7,3.2
201303,52.4,2.9
201304,51.8,2.3
201305,51.7,2.2
201306,51.7,2.2
201307,51.8,2.3
201308,51.6,2.1
201309,51.2,1.7
201310,50.9,1.4
201311,50.7,1.2
201312,50.7,1.2
201401,51.1,1.6
201402,51.4,1.9
201403,51.5,2.0
201404,51.7,2.2
201405,51.7,2.2
201406,51.3,1.8
201407,51.3,1.8
