Summit County, Utah January-December Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,27.4,1.4
199002,27.6,1.6
199003,27.5,1.5
199004,27.5,1.5
199005,27.3,1.3
199006,27.5,1.5
199007,27.4,1.4
199008,27.4,1.4
199009,27.9,1.9
199010,27.9,1.9
199011,27.8,1.8
199012,27.0,1.0
199101,26.8,0.8
199102,27.3,1.3
199103,26.9,0.9
199104,26.4,0.4
199105,26.4,0.4
199106,26.3,0.3
199107,26.3,0.3
199108,26.5,0.5
199109,26.1,0.1
199110,26.1,0.1
199111,25.9,-0.1
199112,26.7,0.7
199201,26.9,0.9
199202,27.0,1.0
199203,27.5,1.5
199204,28.2,2.2
199205,28.6,2.6
199206,28.6,2.6
199207,28.4,2.4
199208,28.3,2.3
199209,28.3,2.3
199210,28.6,2.6
199211,28.2,2.2
199212,27.9,1.9
199301,27.8,1.8
199302,27.1,1.1
199303,27.1,1.1
199304,26.4,0.4
199305,26.3,0.3
199306,26.0,0.0
199307,25.7,-0.3
199308,25.4,-0.6
199309,25.2,-0.8
199310,24.9,-1.1
199311,24.9,-1.1
199312,25.2,-0.8
199401,25.5,-0.5
199402,25.6,-0.4
199403,25.5,-0.5
199404,25.8,-0.2
199405,25.8,-0.2
199406,26.3,0.3
199407,26.9,0.9
199408,27.3,1.3
199409,27.7,1.7
199410,27.6,1.6
199411,27.7,1.7
199412,27.8,1.8
199501,27.7,1.7
199502,28.5,2.5
199503,28.3,2.3
199504,28.0,2.0
199505,27.5,1.5
199506,27.0,1.0
199507,26.8,0.8
199508,26.7,0.7
199509,26.6,0.6
199510,26.5,0.5
199511,27.3,1.3
199512,27.5,1.5
199601,27.4,1.4
199602,27.0,1.0
199603,27.0,1.0
199604,27.0,1.0
199605,27.3,1.3
199606,27.7,1.7
199607,28.0,2.0
199608,27.9,1.9
199609,27.6,1.6
199610,27.7,1.7
199611,27.2,1.2
199612,27.2,1.2
199701,27.1,1.1
199702,26.7,0.7
199703,26.7,0.7
199704,26.5,0.5
199705,26.5,0.5
199706,26.5,0.5
199707,26.2,0.2
199708,26.5,0.5
199709,26.9,0.9
199710,26.9,0.9
199711,26.8,0.8
199712,26.4,0.4
199801,26.7,0.7
199802,27.1,1.1
199803,26.9,0.9
199804,27.1,1.1
199805,27.0,1.0
199806,26.6,0.6
199807,27.0,1.0
199808,26.9,0.9
199809,27.0,1.0
199810,27.1,1.1
199811,27.3,1.3
199812,27.4,1.4
199901,27.4,1.4
199902,27.4,1.4
199903,27.7,1.7
199904,27.6,1.6
199905,27.3,1.3
199906,27.5,1.5
199907,27.4,1.4
199908,27.4,1.4
199909,26.8,0.8
199910,26.7,0.7
199911,27.0,1.0
199912,27.0,1.0
200001,27.0,1.0
200002,27.4,1.4
200003,27.3,1.3
200004,27.8,1.8
200005,28.3,2.3
200006,28.5,2.5
200007,28.6,2.6
200008,28.8,2.8
200009,29.1,3.1
200010,29.3,3.3
200011,28.2,2.2
200012,28.4,2.4
200101,27.9,1.9
200102,27.4,1.4
200103,27.7,1.7
200104,27.5,1.5
200105,27.5,1.5
200106,27.5,1.5
200107,27.5,1.5
200108,27.5,1.5
200109,27.7,1.7
200110,27.7,1.7
200111,28.6,2.6
200112,28.2,2.2
200201,28.1,2.1
200202,27.7,1.7
200203,27.1,1.1
200204,27.1,1.1
200205,26.8,0.8
200206,26.9,0.9
200207,27.0,1.0
200208,26.7,0.7
200209,26.5,0.5
200210,26.2,0.2
200211,25.9,-0.1
200212,26.2,0.2
200301,27.2,1.2
200302,27.4,1.4
200303,27.9,1.9
200304,27.8,1.8
200305,28.0,2.0
200306,27.9,1.9
200307,27.9,1.9
200308,28.2,2.2
200309,28.1,2.1
200310,28.5,2.5
200311,28.5,2.5
200312,28.6,2.6
200401,27.8,1.8
200402,27.8,1.8
200403,27.9,1.9
200404,28.1,2.1
200405,28.1,2.1
200406,28.1,2.1
200407,27.9,1.9
200408,27.4,1.4
200409,27.4,1.4
200410,27.3,1.3
200411,27.5,1.5
200412,27.5,1.5
200501,28.1,2.1
200502,28.4,2.4
200503,28.0,2.0
200504,27.7,1.7
200505,27.8,1.8
200506,27.5,1.5
200507,27.6,1.6
200508,27.7,1.7
200509,27.7,1.7
200510,27.6,1.6
200511,27.9,1.9
200512,27.6,1.6
200601,27.2,1.2
200602,27.0,1.0
200603,26.8,0.8
