Summit County, Utah December Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-2.10,-2.60
199002,-2.00,-2.55
199003,-1.83,-2.45
199004,-2.02,-2.53
199005,-1.87,-2.44
199006,-1.54,-1.87
199007,-1.32,-1.65
199008,-1.49,-1.84
199009,-1.38,-1.74
199010,-1.53,-1.97
199011,-1.60,-1.98
199012,-1.81,-2.18
199101,-1.98,-2.48
199102,-2.27,-2.82
199103,0.33,-0.29
199104,0.70,0.19
199105,1.24,0.67
199106,1.20,0.87
199107,1.21,0.88
199108,1.65,1.30
199109,2.03,1.67
199110,2.03,1.59
199111,2.47,2.09
199112,-0.44,-0.81
199201,-0.91,-1.41
199202,-1.08,-1.63
199203,-1.65,-2.27
199204,-2.52,-3.03
199205,-2.46,-3.03
199206,-2.35,-2.68
199207,-2.16,-2.49
199208,-2.24,-2.59
199209,-2.41,-2.77
199210,-2.30,-2.74
199211,0.10,-0.28
199212,0.34,-0.03
199301,1.07,0.57
199302,1.40,0.85
199303,1.24,0.62
199304,1.30,0.79
199305,1.67,1.10
199306,1.97,1.64
199307,2.74,2.41
199308,2.87,2.52
199309,2.37,2.01
199310,2.63,2.19
199311,-0.13,-0.51
199312,-0.51,-0.88
199401,-0.69,-1.19
199402,-0.15,-0.70
199403,-0.51,-1.13
199404,-0.53,-1.04
199405,-0.85,-1.42
199406,-1.56,-1.89
199407,-2.36,-2.69
199408,-2.38,-2.73
199409,-2.49,-2.85
199410,0.80,0.36
199411,1.27,0.89
199412,0.96,0.59
199501,1.30,0.80
199502,1.13,0.58
199503,1.82,1.20
199504,1.90,1.39
199505,3.35,2.78
199506,3.61,3.28
199507,3.89,3.56
199508,3.44,3.09
199509,3.05,2.69
199510,2.54,2.10
199511,2.13,1.75
199512,1.89,1.52
199601,3.31,2.81
199602,3.13,2.58
199603,3.03,2.41
199604,-0.04,-0.55
199605,-0.05,-0.62
199606,-0.40,-0.73
199607,-0.68,-1.01
199608,-1.38,-1.73
199609,0.25,-0.11
199610,0.28,-0.16
199611,0.48,0.10
199612,1.49,1.12
199701,2.43,1.93
199702,2.03,1.48
199703,1.14,0.52
199704,1.37,0.86
199705,0.94,0.37
199706,1.15,0.82
199707,1.25,0.92
199708,1.56,1.21
199709,2.29,1.93
199710,2.50,2.06
199711,2.40,2.02
199712,1.88,1.51
199801,2.42,1.92
199802,2.51,1.96
199803,2.47,1.85
199804,2.06,1.55
199805,2.06,1.49
199806,3.49,3.16
199807,3.71,3.38
199808,3.62,3.27
199809,3.28,2.92
199810,3.28,2.84
199811,3.04,2.66
199812,2.41,2.04
199901,2.76,2.26
199902,2.89,2.34
199903,2.02,1.40
199904,2.81,2.30
199905,3.24,2.67
199906,2.95,2.62
199907,3.08,2.75
199908,2.89,2.54
199909,0.02,-0.34
199910,-0.78,-1.22
199911,-1.86,-2.24
199912,-2.24,-2.61
200001,-1.95,-2.45
200002,-1.51,-2.06
200003,-1.56,-2.18
200004,-2.27,-2.78
200005,-2.28,-2.85
200006,-2.56,-2.89
200007,-3.03,-3.36
200008,-2.71,-3.06
200009,-2.22,-2.58
200010,-1.79,-2.23
200011,-1.84,-2.22
200012,-1.78,-2.15
200101,-2.02,-2.52
200102,-2.04,-2.59
200103,-2.49,-3.11
200104,-1.97,-2.48
200105,-2.40,-2.97
200106,-2.78,-3.11
200107,-2.91,-3.24
200108,-3.00,-3.35
200109,-3.27,-3.63
200110,-3.31,-3.75
200111,-2.78,-3.16
200112,-2.59,-2.96
200201,-2.66,-3.16
200202,-2.90,-3.45
200203,-2.66,-3.28
200204,-2.99,-3.50
200205,-3.03,-3.60
200206,-3.39,-3.72
200207,-3.68,-4.01
200208,-4.21,-4.56
200209,-2.95,-3.31
200210,-2.51,-2.95
200211,-2.48,-2.86
200212,-2.66,-3.03
200301,-3.00,-3.50
200302,-2.72,-3.27
200303,-2.37,-2.99
200304,-2.58,-3.09
200305,-2.24,-2.81
200306,-1.36,-1.69
200307,-1.45,-1.78
200308,-1.13,-1.48
200309,-1.27,-1.63
200310,-1.90,-2.34
200311,-1.54,-1.92
200312,-1.18,-1.55
200401,-1.37,-1.87
200402,-1.11,-1.66
200403,-2.16,-2.78
200404,-2.22,-2.73
200405,-2.37,-2.94
200406,0.09,-0.24
200407,0.14,-0.19
200408,0.12,-0.23
200409,0.12,-0.24
200410,1.64,1.20
200411,1.89,1.51
200412,2.02,1.65
