Summit County, Utah December Palmer Hydrological Drought Index (PHDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-2.10,-2.60
199002,-2.00,-2.66
199003,-1.83,-2.58
199004,-2.02,-2.70
199005,-1.87,-2.60
199006,-1.54,-2.14
199007,-1.32,-1.89
199008,-1.49,-1.97
199009,-1.38,-1.86
199010,-1.53,-2.03
199011,-1.60,-1.93
199012,-1.81,-2.10
199101,-1.98,-2.48
199102,-2.27,-2.93
199103,-1.71,-2.46
199104,-1.12,-1.80
199105,1.24,0.51
199106,1.20,0.60
199107,1.21,0.64
199108,1.65,1.17
199109,2.03,1.55
199110,2.03,1.53
199111,2.47,2.14
199112,1.77,1.48
199201,1.07,0.57
199202,0.70,0.04
199203,-1.65,-2.40
199204,-2.52,-3.20
199205,-2.46,-3.19
199206,-2.35,-2.95
199207,-2.16,-2.73
199208,-2.24,-2.72
199209,-2.41,-2.89
199210,-2.30,-2.80
199211,-1.97,-2.30
199212,-1.52,-1.81
199301,-0.59,-1.09
199302,1.40,0.74
199303,1.24,0.49
199304,1.30,0.62
199305,1.67,0.94
199306,1.97,1.37
199307,2.74,2.17
199308,2.87,2.39
199309,2.37,1.89
199310,2.63,2.13
199311,2.23,1.90
199312,1.60,1.31
199401,1.21,0.71
199402,1.55,0.89
199403,1.02,0.27
199404,0.84,0.16
199405,-0.85,-1.58
199406,-1.56,-2.16
199407,-2.36,-2.93
199408,-2.38,-2.86
199409,-2.49,-2.97
199410,-1.44,-1.94
199411,-0.73,-1.06
199412,-0.84,-1.13
199501,1.30,0.80
199502,1.13,0.47
199503,1.82,1.07
199504,1.90,1.22
199505,3.35,2.62
199506,3.61,3.01
199507,3.89,3.32
199508,3.44,2.96
199509,3.05,2.57
199510,2.54,2.04
199511,2.13,1.80
199512,1.89,1.60
199601,3.31,2.81
199602,3.13,2.47
199603,3.03,2.28
199604,2.67,1.99
199605,2.39,1.66
199606,1.78,1.18
199607,1.28,0.71
199608,-1.38,-1.86
199609,-0.99,-1.47
199610,-0.83,-1.33
199611,0.48,0.15
199612,1.49,1.20
199701,2.43,1.93
199702,2.03,1.37
199703,1.14,0.39
199704,1.37,0.69
199705,0.94,0.21
199706,1.15,0.55
199707,1.25,0.68
199708,1.56,1.08
199709,2.29,1.81
199710,2.50,2.00
199711,2.40,2.07
199712,1.88,1.59
199801,2.42,1.92
199802,2.51,1.85
199803,2.47,1.72
199804,2.06,1.38
199805,2.06,1.33
199806,3.49,2.89
199807,3.71,3.14
199808,3.62,3.14
199809,3.28,2.80
199810,3.28,2.78
199811,3.04,2.71
199812,2.41,2.12
199901,2.76,2.26
199902,2.89,2.23
199903,2.02,1.27
199904,2.81,2.13
199905,3.24,2.51
199906,2.95,2.35
199907,3.08,2.51
199908,2.89,2.41
199909,2.62,2.14
199910,1.57,1.07
199911,-1.86,-2.19
199912,-2.24,-2.53
200001,-1.95,-2.45
200002,-1.51,-2.17
200003,-1.56,-2.31
200004,-2.27,-2.95
200005,-2.28,-3.01
200006,-2.56,-3.16
200007,-3.03,-3.60
200008,-2.71,-3.19
200009,-2.22,-2.70
200010,-1.79,-2.29
200011,-1.84,-2.17
200012,-1.78,-2.07
200101,-2.02,-2.52
200102,-2.04,-2.70
200103,-2.49,-3.24
200104,-1.97,-2.65
200105,-2.40,-3.13
200106,-2.78,-3.38
200107,-2.91,-3.48
200108,-3.00,-3.48
200109,-3.27,-3.75
200110,-3.31,-3.81
200111,-2.78,-3.11
200112,-2.59,-2.88
200201,-2.66,-3.16
200202,-2.90,-3.56
200203,-2.66,-3.41
200204,-2.99,-3.67
200205,-3.03,-3.76
200206,-3.39,-3.99
200207,-3.68,-4.25
200208,-4.21,-4.69
200209,-2.95,-3.43
200210,-2.51,-3.01
200211,-2.48,-2.81
200212,-2.66,-2.95
200301,-3.00,-3.50
200302,-2.72,-3.38
200303,-2.37,-3.12
200304,-2.58,-3.26
200305,-2.24,-2.97
200306,-1.36,-1.96
200307,-1.45,-2.02
200308,-1.13,-1.61
200309,-1.27,-1.75
200310,-1.90,-2.40
200311,-1.54,-1.87
200312,-1.18,-1.47
200401,-1.37,-1.87
200402,-1.11,-1.77
200403,-2.16,-2.91
200404,-2.22,-2.90
200405,-2.37,-3.10
200406,-2.04,-2.64
200407,-1.76,-2.33
200408,-1.59,-2.07
200409,-1.41,-1.89
200410,1.64,1.14
200411,1.89,1.56
200412,2.02,1.73
200501,2.62,2.12
200502,2.15,1.49
200503,2.04,1.29
200504,1.50,0.82
200505,1.92,1.19
200506,2.13,1.53
200507,1.83,1.26
200508,1.34,0.86
200509,1.02,0.54
200510,-0.91,-1.41
200511,-0.83,-1.16
200512,0.42,0.13
200601,0.99,0.49
200602,0.64,-0.02
200603,0.97,0.22
200604,-0.33,-1.01
200605,-0.90,-1.63
200606,-1.21,-1.81
200607,-1.59,-2.16
200608,-1.45,-1.93
200609,-0.57,-1.05
200610,1.24,0.74
200611,1.43,1.10
200612,1.27,0.98
200701,0.86,0.36
200702,0.79,0.13
200703,-0.94,-1.69
200704,-1.64,-2.32
200705,-1.82,-2.55
200706,-2.16,-2.76
200707,-2.28,-2.85
200708,-2.44,-2.92
200709,-1.68,-2.16
200710,-1.20,-1.70
200711,-1.92,-2.25
200712,-1.66,-1.95
200801,-0.62,-1.12
200802,1.19,0.53
200803,0.76,0.01
200804,-0.50,-1.18
200805,-0.26,-0.99
200806,-0.35,-0.95
200807,-0.65,-1.22
200808,-0.76,-1.24
200809,-0.59,-1.07
200810,-0.94,-1.44
200811,-1.33,-1.66
200812,-1.20,-1.49
200901,-0.87,-1.37
200902,-1.00,-1.66
200903,-0.79,-1.54
200904,0.85,0.17
200905,0.36,-0.37
200906,1.56,0.96
200907,1.68,1.11
200908,1.46,0.98
200909,1.32,0.84
200910,1.53,1.03
200911,0.87,0.54
200912,0.62,0.33
201001,-0.77,-1.27
201002,-1.23,-1.89
201003,-1.20,-1.95
201004,0.70,0.02
201005,1.50,0.77
201006,1.63,1.03
201007,1.53,0.96
201008,1.66,1.18
201009,1.00,0.52
201010,1.55,1.05
201011,2.04,1.71
201012,3.45,3.16
201101,3.01,2.51
201102,2.94,2.28
201103,2.86,2.11
201104,4.14,3.46
201105,5.24,4.51
201106,4.63,4.03
201107,4.67,4.10
201108,4.25,3.77
201109,3.58,3.10
201110,3.19,2.69
201111,2.85,2.52
201112,1.90,1.61
201201,1.42,0.92
201202,1.25,0.59
201203,-1.62,-2.37
201204,-2.15,-2.83
201205,-2.57,-3.30
201206,-3.20,-3.80
201207,-3.24,-3.81
201208,-3.66,-4.14
201209,-3.60,-4.08
201210,-3.49,-3.99
201211,-3.74,-4.07
201212,-3.27,-3.56
201301,-3.38,-3.88
201302,-3.66,-4.32
201303,-3.92,-4.67
201304,-3.10,-3.78
201305,-3.20,-3.93
201306,-3.72,-4.32
201307,-3.45,-4.02
201308,-3.57,-4.05
201309,-2.30,-2.78
201310,-1.80,-2.30
201311,-2.13,-2.46
201312,-2.11,-2.40
201401,-2.05,-2.55
201402,-1.32,-1.98
201403,-1.30,-2.05
201404,-1.48,-2.16
201405,-1.72,-2.45
201406,-1.91,-2.51
201407,-1.65,-2.22
201408,1.16,0.68
201409,2.34,1.86
201410,1.48,0.98
201411,1.31,0.98
201412,1.19,0.90
201501,0.67,0.17
201502,-1.19,-1.85
201503,-2.28,-3.03
201504,-2.58,-3.26
201505,-1.13,-1.86
201506,-1.41,-2.01
201507,-1.06,-1.63
201508,-0.75,-1.23
201509,-0.77,-1.25
201510,-1.22,-1.72
201511,-1.44,-1.77
201512,-1.24,-1.53
201601,-0.72,-1.22
201602,-1.15,-1.81
201603,-0.84,-1.59
201604,-0.96,-1.64
201605,0.62,-0.11
201606,-0.53,-1.13
201607,-1.35,-1.92
201608,-2.05,-2.53
201609,-0.97,-1.45
201610,-1.03,-1.53
201611,-1.41,-1.74
201612,-0.78,-1.07
201701,2.13,1.63
201702,2.77,2.11
201703,2.49,1.74
201704,2.39,1.71
201705,1.61,0.88
201706,0.76,0.16
201707,-1.47,-2.04
201708,-1.83,-2.31
201709,-0.73,-1.21
201710,-1.21,-1.71
201711,-1.61,-1.94
201712,-2.00,-2.29
201801,-2.36,-2.86
201802,-2.60,-3.26
201803,-2.32,-3.07
201804,-2.63,-3.31
201805,-2.59,-3.32
201806,-3.05,-3.65
201807,-3.60,-4.17
201808,-3.57,-4.05
201809,-4.20,-4.68
201810,-2.95,-3.45
201811,-2.30,-2.63
201812,-2.24,-2.53
201901,-1.39,-1.89
201902,-0.56,-1.22
201903,2.50,1.75
201904,2.50,1.82
201905,3.46,2.73
201906,2.98,2.38
201907,2.38,1.81
201908,1.51,1.03
201909,1.78,1.30
201910,1.54,1.04
201911,1.29,0.96
201912,1.37,1.08
202001,1.54,1.04
202002,1.08,0.42
202003,0.97,0.22
202004,-0.98,-1.66
202005,-1.66,-2.39
202006,-1.19,-1.79
202007,-1.69,-2.26
202008,-2.57,-3.05
202009,-3.00,-3.48
202010,-3.55,-4.05
202011,-3.65,-3.98
202012,-4.01,-4.30
202101,-4.53,-5.03
202102,-4.19,-4.85
202103,-3.86,-4.61
