Summit County, Utah December Palmer Modified Drought Index (PMDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-2.10,-2.59
199002,-2.00,-2.60
199003,-1.80,-2.48
199004,-2.02,-2.62
199005,-1.87,-2.40
199006,-1.27,-1.64
199007,-0.90,-1.27
199008,-1.43,-1.72
199009,-1.29,-1.63
199010,-1.53,-1.90
199011,-1.60,-1.91
199012,-1.81,-2.11
199101,-1.98,-2.47
199102,-2.27,-2.87
199103,-1.21,-1.89
199104,-0.04,-0.64
199105,1.24,0.71
199106,1.20,0.83
199107,1.21,0.84
199108,1.65,1.36
199109,2.03,1.69
199110,2.03,1.66
199111,2.47,2.16
199112,1.14,0.84
199201,-0.25,-0.74
199202,-0.90,-1.50
199203,-1.65,-2.33
199204,-2.52,-3.12
199205,-2.46,-2.99
199206,-2.35,-2.72
199207,-2.16,-2.53
199208,-2.24,-2.53
199209,-2.41,-2.75
199210,-2.30,-2.67
199211,-1.77,-2.08
199212,-0.93,-1.23
199301,1.01,0.52
199302,1.40,0.80
199303,1.14,0.46
199304,1.30,0.70
199305,1.67,1.14
199306,1.97,1.60
199307,2.74,2.37
199308,2.87,2.58
199309,2.05,1.71
199310,2.63,2.26
199311,2.00,1.69
199312,0.81,0.51
199401,0.11,-0.38
199402,0.99,0.39
199403,0.01,-0.67
199404,-0.23,-0.83
199405,-0.85,-1.38
199406,-1.56,-1.93
199407,-2.36,-2.73
199408,-2.38,-2.67
199409,-2.49,-2.83
199410,-0.35,-0.72
199411,1.05,0.74
199412,0.63,0.33
199501,1.30,0.81
199502,0.98,0.38
199503,1.82,1.14
199504,1.90,1.30
199505,3.35,2.82
199506,3.61,3.24
199507,3.89,3.52
199508,3.32,3.03
199509,2.83,2.49
199510,2.03,1.66
199511,1.41,1.10
199512,1.11,0.81
199601,3.31,2.82
199602,3.13,2.53
199603,3.03,2.35
199604,2.56,1.96
199605,2.20,1.67
199606,1.10,0.73
199607,0.19,-0.18
199608,-1.38,-1.67
199609,-0.48,-0.82
199610,-0.18,-0.55
199611,0.48,0.17
199612,1.49,1.19
199701,2.43,1.94
199702,1.77,1.17
199703,-0.05,-0.73
199704,0.60,0.00
199705,-0.18,-0.71
199706,0.39,0.02
199707,0.70,0.33
199708,1.34,1.05
199709,2.29,1.95
199710,2.50,2.13
199711,2.40,2.09
199712,1.46,1.16
199801,2.42,1.93
199802,2.51,1.91
199803,2.47,1.79
199804,1.80,1.20
199805,2.01,1.48
199806,3.49,3.12
199807,3.71,3.34
