Summit County, Utah January-December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,24.09,-2.79
199002,23.28,-3.60
199003,22.45,-4.45
199004,22.85,-4.02
199005,22.91,-3.97
199006,23.16,-3.72
199007,22.93,-3.95
199008,22.71,-4.19
199009,22.52,-4.38
199010,22.31,-4.59
199011,22.63,-4.23
199012,23.60,-3.28
199101,22.89,-3.99
199102,22.10,-4.78
199103,22.80,-4.10
199104,23.69,-3.18
199105,25.05,-1.83
199106,24.82,-2.06
199107,24.94,-1.94
199108,26.58,-0.32
199109,27.25,0.35
199110,28.24,1.34
199111,29.52,2.66
199112,28.40,1.52
199201,27.53,0.65
199202,28.01,1.13
199203,26.31,-0.59
199204,24.19,-2.68
199205,23.37,-3.51
199206,23.02,-3.86
199207,22.94,-3.94
199208,21.42,-5.48
199209,19.84,-7.06
199210,19.53,-7.37
199211,18.94,-7.92
199212,21.30,-5.58
199301,24.05,-2.83
199302,25.52,-1.36
199303,26.56,-0.34
199304,28.32,1.45
199305,29.49,2.61
199306,30.45,3.57
199307,31.59,4.71
199308,31.95,5.05
199309,31.75,4.85
199310,32.46,5.56
199311,30.93,4.07
199312,28.96,2.08
199401,26.82,-0.06
199402,26.88,0.00
199403,26.28,-0.62
199404,26.22,-0.65
199405,24.42,-2.46
199406,22.35,-4.53
199407,20.51,-6.37
199408,20.87,-6.03
199409,21.45,-5.45
199410,22.53,-4.37
199411,24.46,-2.40
199412,24.69,-2.19
199501,26.13,-0.75
199502,25.08,-1.80
199503,27.27,0.37
199504,27.49,0.62
199505,31.05,4.17
199506,33.40,6.52
199507,34.72,7.84
199508,33.82,6.92
199509,33.95,7.05
199510,31.45,4.55
199511,30.52,3.66
199512,31.66,4.78
199601,34.19,7.31
199602,34.60,7.72
199603,33.45,6.55
199604,32.91,6.04
199605,29.74,2.86
199606,28.11,1.23
199607,27.26,0.38
199608,26.78,-0.12
199609,27.44,0.54
199610,28.23,1.33
199611,28.93,2.07
199612,31.34,4.46
199701,30.20,3.32
199702,29.55,2.67
199703,27.82,0.92
199704,28.22,1.35
199705,27.89,1.01
199706,29.29,2.41
199707,29.72,2.84
199708,31.57,4.67
199709,32.70,5.80
199710,33.15,6.25
199711,32.13,5.27
199712,28.46,1.58
199801,27.71,0.83
199802,28.73,1.85
199803,30.46,3.56
199804,29.64,2.77
199805,30.41,3.53
199806,32.81,5.93
199807,33.17,6.29
199808,32.53,5.63
199809,30.87,3.97
199810,30.79,3.89
199811,30.89,4.03
199812,30.96,4.08
199901,30.66,3.78
199902,30.83,3.95
199903,29.29,2.39
199904,31.73,4.86
199905,32.59,5.71
199906,29.41,2.53
199907,29.49,2.61
199908,29.46,2.56
199909,29.30,2.40
199910,27.13,0.23
199911,25.71,-1.15
199912,26.44,-0.44
200001,26.72,-0.16
