Tooele County, Utah January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,51.1,1.2
199002,51.5,1.6
199003,51.4,1.5
199004,51.3,1.4
199005,51.2,1.3
199006,51.4,1.5
199007,51.2,1.3
199008,51.3,1.4
199009,51.7,1.8
199010,51.7,1.8
199011,51.7,1.8
199012,50.9,1.0
199101,50.4,0.5
199102,50.9,1.0
199103,50.6,0.7
199104,50.0,0.1
199105,49.9,0.0
199106,49.6,-0.3
199107,49.6,-0.3
199108,49.8,-0.1
199109,49.3,-0.6
199110,49.3,-0.6
199111,49.2,-0.7
199112,49.8,-0.1
199201,49.9,0.0
199202,49.9,0.0
199203,50.4,0.5
199204,51.2,1.3
199205,52.0,2.1
199206,52.1,2.2
199207,51.8,1.9
199208,51.8,1.9
199209,51.9,2.0
199210,52.1,2.2
199211,51.7,1.8
199212,51.6,1.7
199301,51.3,1.4
199302,50.4,0.5
199303,50.1,0.2
199304,49.4,-0.5
199305,49.2,-0.7
199306,48.7,-1.2
199307,48.4,-1.5
199308,48.0,-1.9
199309,47.9,-2.0
199310,47.5,-2.4
199311,47.5,-2.4
199312,47.7,-2.2
199401,48.6,-1.3
199402,49.0,-0.9
199403,49.2,-0.7
199404,49.5,-0.4
199405,49.5,-0.4
199406,50.2,0.3
199407,51.0,1.1
199408,51.5,1.6
199409,51.8,1.9
199410,51.8,1.9
199411,51.7,1.8
199412,51.9,2.0
199501,51.8,1.9
199502,52.5,2.6
199503,52.3,2.4
199504,52.0,2.1
199505,51.4,1.5
199506,50.6,0.7
199507,50.2,0.3
199508,50.1,0.2
199509,49.9,0.0
199510,49.9,0.0
199511,50.9,1.0
199512,51.0,1.1
199601,50.9,1.0
199602,50.3,0.4
199603,50.3,0.4
199604,50.5,0.6
199605,50.8,0.9
199606,51.5,1.6
199607,51.8,1.9
199608,51.8,1.9
199609,51.5,1.6
199610,51.6,1.7
199611,51.2,1.3
199612,51.3,1.4
199701,51.1,1.2
199702,51.1,1.2
199703,51.1,1.2
199704,50.9,1.0
199705,51.2,1.3
199706,51.0,1.1
199707,50.6,0.7
199708,50.7,0.8
199709,51.0,1.1
199710,51.0,1.1
199711,51.0,1.1
199712,50.5,0.6
199801,50.9,1.0
199802,51.1,1.2
199803,50.9,1.0
199804,51.0,1.1
199805,50.6,0.7
199806,50.1,0.2
199807,50.5,0.6
199808,50.5,0.6
199809,50.6,0.7
199810,50.5,0.6
199811,50.5,0.6
199812,50.6,0.7
199901,50.5,0.6
199902,50.5,0.6
199903,50.6,0.7
