Tooele County, Utah January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,892,76
199002,892,76
199003,892,76
199004,892,76
199005,883,67
199006,930,114
199007,872,54
199008,890,71
199009,974,154
199010,974,154
199011,974,154
199012,974,154
199101,974,158
199102,974,158
199103,974,158
199104,965,149
199105,960,144
199106,905,89
199107,909,91
199108,969,150
199109,876,56
199110,876,56
199111,876,56
199112,876,56
199201,876,60
199202,876,60
199203,876,60
199204,891,75
199205,955,139
199206,984,168
199207,870,52
199208,854,35
199209,872,52
199210,872,52
199211,872,52
199212,872,52
199301,872,56
199302,872,56
199303,872,56
199304,857,41
199305,832,16
199306,749,-67
199307,634,-184
199308,513,-306
199309,485,-335
199310,485,-335
199311,485,-335
199312,485,-335
199401,485,-331
199402,485,-331
199403,485,-331
199404,485,-331
199405,487,-329
199406,647,-169
199407,895,77
199408,1078,259
199409,1138,318
199410,1138,318
199411,1138,318
199412,1138,318
199501,1138,322
199502,1138,322
199503,1138,322
199504,1138,322
199505,1095,279
199506,926,110
199507,797,-21
199508,737,-82
199509,706,-114
199510,706,-114
199511,706,-114
199512,706,-114
199601,706,-110
199602,706,-110
199603,706,-110
199604,706,-110
199605,717,-99
199606,861,45
199607,981,163
199608,960,141
199609,920,100
199610,920,100
199611,920,100
199612,920,100
199701,920,104
199702,920,104
199703,920,104
199704,920,104
199705,946,130
199706,894,78
199707,752,-66
199708,790,-29
199709,830,10
199710,830,10
199711,830,10
199712,830,10
199801,830,14
199802,830,14
199803,830,14
199804,830,14
199805,799,-17
199806,709,-107
199807,866,48
199808,869,50
199809,885,65
199810,885,65
199811,885,65
199812,885,65
199901,885,69
199902,885,69
199903,885,69
199904,885,69
199905,882,66
199906,952,136
199907,896,78
199908,854,35
199909,807,-13
199910,807,-13
199911,807,-13
199912,807,-13
200001,807,-9
200002,807,-9
200003,807,-9
200004,816,0
200005,854,38
200006,926,110
200007,1001,183
200008,1088,269
200009,1110,290
200010,1110,290
200011,1110,290
200012,1110,290
200101,1110,294
200102,1110,294
200103,1110,294
200104,1101,285
200105,1120,304
200106,1103,287
200107,1060,242
200108,1069,250
200109,1133,313
200110,1133,313
200111,1133,313
200112,1133,313
200201,1133,317
200202,1133,317
200203,1133,317
200204,1138,322
200205,1097,281
200206,1115,299
200207,1200,382
200208,1080,261
200209,1011,191
200210,1011,191
200211,1011,191
200212,1011,191
200301,1011,195
200302,1011,195
200303,1011,195
200304,1006,190
200305,1016,200
200306,988,172
200307,1024,206
200308,1128,309
200309,1134,314
200310,1144,324
200311,1144,324
200312,1144,324
200401,1144,328
200402,1144,328
200403,1144,328
200404,1149,333
200405,1148,332
200406,1147,331
200407,1008,190
200408,866,47
200409,847,27
200410,837,17
200411,837,17
200412,837,17
200501,837,21
200502,837,21
200503,837,21
200504,832,16
200505,820,4
200506,739,-77
200507,804,-14
200508,854,35
200509,853,33
200510,853,33
200511,853,33
200512,853,33
200601,853,37
200602,853,37
200603,853,37
200604,858,42
200605,886,70
200606,1022,206
200607,1054,236
200608,1056,237
200609,1040,220
200610,1040,220
200611,1040,220
200612,1040,220
200701,1040,224
200702,1040,224
200703,1040,224
200704,1035,219
200705,1032,216
200706,1023,207
200707,1053,235
200708,1162,343
200709,1192,372
200710,1192,372
