Tooele County, Utah January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,5918,-379
199002,5786,-509
199003,5824,-473
199004,5828,-467
199005,5876,-418
199006,5844,-450
199007,5844,-450
199008,5844,-450
199009,5777,-516
199010,5771,-522
199011,5779,-516
199012,6100,-195
199101,6280,-17
199102,6085,-210
199103,6208,-89
199104,6423,128
199105,6471,177
199106,6510,216
199107,6510,216
199108,6510,216
199109,6588,295
199110,6570,277
199111,6621,326
199112,6378,83
199201,6353,56
199202,6358,63
199203,6164,-133
199204,5885,-410
199205,5679,-615
199206,5655,-639
199207,5655,-639
199208,5655,-639
199209,5634,-659
199210,5569,-724
199211,5692,-603
199212,5745,-550
199301,5868,-429
199302,6169,-126
199303,6277,-20
199304,6516,221
199305,6552,258
199306,6635,341
199307,6650,356
199308,6659,365
199309,6695,402
199310,6821,528
199311,6841,546
199312,6746,451
199401,6409,112
199402,6267,-28
199403,6209,-88
199404,6117,-178
199405,6115,-179
199406,5998,-296
199407,5983,-311
199408,5974,-320
199409,5908,-385
199410,5922,-371
199411,5947,-348
199412,5871,-424
199501,5906,-391
199502,5663,-632
199503,5741,-556
199504,5842,-453
199505,6040,-254
199506,6169,-125
199507,6169,-125
199508,6169,-125
199509,6198,-95
199510,6191,-102
199511,5829,-466
199512,5787,-508
199601,5822,-475
199602,6041,-254
199603,6019,-278
199604,5971,-324
199605,5873,-421
199606,5752,-542
199607,5752,-542
199608,5752,-542
199609,5809,-484
199610,5782,-511
199611,5907,-388
199612,5896,-399
199701,5956,-341
199702,5973,-322
199703,5942,-355
199704,6024,-271
199705,5936,-358
199706,5962,-332
199707,5962,-332
199708,5962,-332
199709,5905,-388
199710,5905,-388
199711,5907,-388
199712,6081,-214
199801,5915,-382
199802,5849,-446
199803,5926,-371
199804,5909,-386
199805,6028,-266
199806,6121,-173
199807,6121,-173
199808,6121,-173
199809,6106,-187
199810,6157,-136
199811,6131,-164
199812,6107,-188
199901,6152,-145
199902,6140,-155
199903,6096,-201
199904,6162,-133
199905,6189,-105
199906,6112,-182
199907,6112,-182
199908,6112,-182
199909,6166,-127
199910,6037,-256
199911,5934,-361
199912,5869,-426
200001,5839,-458
200002,5754,-541
