Tooele County, Utah January-December Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,64.3,1.8
199002,64.7,2.2
199003,64.6,2.1
199004,64.5,2.0
199005,64.3,1.8
199006,64.5,2.0
199007,64.3,1.8
199008,64.4,1.9
199009,64.8,2.3
199010,64.9,2.4
199011,64.7,2.2
199012,63.9,1.4
199101,63.4,0.9
199102,64.1,1.6
199103,63.8,1.3
199104,63.1,0.6
199105,62.8,0.3
199106,62.5,0.0
199107,62.5,0.0
199108,62.6,0.1
199109,62.1,-0.4
199110,62.1,-0.4
199111,61.7,-0.8
199112,62.2,-0.3
199201,62.3,-0.2
199202,62.1,-0.4
199203,62.6,0.1
199204,63.6,1.1
199205,64.5,2.0
199206,64.7,2.2
199207,64.4,1.9
199208,64.4,1.9
199209,64.6,2.1
199210,64.8,2.3
199211,64.5,2.0
199212,64.4,1.9
199301,64.0,1.5
199302,63.1,0.6
199303,62.7,0.2
199304,61.9,-0.6
199305,61.6,-0.9
199306,61.1,-1.4
199307,60.8,-1.7
199308,60.5,-2.0
199309,60.3,-2.2
199310,59.8,-2.7
199311,59.9,-2.6
199312,60.2,-2.3
199401,61.1,-1.4
199402,61.7,-0.8
199403,62.1,-0.4
199404,62.3,-0.2
199405,62.4,-0.1
199406,63.3,0.8
199407,64.1,1.6
199408,64.6,2.1
199409,64.9,2.4
199410,64.9,2.4
199411,64.6,2.1
199412,64.7,2.2
199501,64.4,1.9
199502,65.2,2.7
199503,64.9,2.4
199504,64.6,2.1
199505,63.7,1.2
199506,62.7,0.2
199507,62.3,-0.2
199508,62.2,-0.3
199509,62.1,-0.4
199510,62.5,0.0
199511,63.8,1.3
199512,63.9,1.4
199601,64.0,1.5
199602,63.3,0.8
199603,63.4,0.9
199604,63.6,1.1
199605,64.1,1.6
199606,65.1,2.6
199607,65.4,2.9
199608,65.4,2.9
199609,65.0,2.5
199610,64.9,2.4
199611,64.4,1.9
199612,64.4,1.9
199701,64.1,1.6
199702,63.9,1.4
199703,64.2,1.7
199704,63.9,1.4
199705,64.3,1.8
199706,63.8,1.3
199707,63.4,0.9
199708,63.4,0.9
199709,63.5,1.0
199710,63.5,1.0
199711,63.5,1.0
199712,63.1,0.6
199801,63.6,1.1
199802,63.7,1.2
199803,63.3,0.8
199804,63.3,0.8
199805,62.7,0.2
