Tooele County, Utah January-December Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,37.8,0.5
199002,38.2,0.9
199003,38.1,0.8
199004,38.2,0.9
199005,38.1,0.8
199006,38.3,1.0
199007,38.2,0.9
199008,38.2,0.9
199009,38.7,1.4
199010,38.6,1.3
199011,38.7,1.4
199012,37.8,0.5
199101,37.3,0.0
199102,37.8,0.5
199103,37.5,0.2
199104,36.9,-0.4
199105,36.9,-0.4
199106,36.7,-0.6
199107,36.7,-0.6
199108,36.9,-0.4
199109,36.5,-0.8
199110,36.6,-0.7
199111,36.7,-0.6
199112,37.5,0.2
199201,37.6,0.3
199202,37.8,0.5
199203,38.3,1.0
199204,38.9,1.6
199205,39.4,2.1
199206,39.5,2.2
199207,39.2,1.9
199208,39.1,1.8
199209,39.1,1.8
199210,39.4,2.1
199211,38.9,1.6
199212,38.7,1.4
199301,38.5,1.2
199302,37.6,0.3
199303,37.4,0.1
199304,36.8,-0.5
199305,36.8,-0.5
199306,36.4,-0.9
199307,36.0,-1.3
199308,35.6,-1.7
199309,35.4,-1.9
199310,35.2,-2.1
199311,35.0,-2.3
199312,35.2,-2.1
199401,36.1,-1.2
199402,36.4,-0.9
199403,36.3,-1.0
199404,36.6,-0.7
199405,36.6,-0.7
199406,37.2,-0.1
199407,37.8,0.5
199408,38.3,1.0
199409,38.7,1.4
199410,38.7,1.4
199411,38.8,1.5
199412,39.1,1.8
199501,39.2,1.9
199502,39.8,2.5
199503,39.7,2.4
199504,39.5,2.2
199505,39.1,1.8
199506,38.4,1.1
199507,38.1,0.8
199508,37.9,0.6
199509,37.7,0.4
199510,37.4,0.1
199511,38.0,0.7
199512,38.1,0.8
199601,37.8,0.5
199602,37.3,0.0
199603,37.3,0.0
199604,37.3,0.0
199605,37.4,0.1
199606,37.9,0.6
199607,38.3,1.0
199608,38.1,0.8
199609,38.0,0.7
199610,38.2,0.9
199611,38.1,0.8
199612,38.1,0.8
199701,38.1,0.8
199702,38.1,0.8
199703,38.0,0.7
199704,37.9,0.6
199705,38.1,0.8
199706,38.1,0.8
199707,37.7,0.4
199708,38.0,0.7
199709,38.4,1.1
199710,38.4,1.1
199711,38.4,1.1
199712,37.9,0.6
199801,38.3,1.0
199802,38.6,1.3
199803,38.6,1.3
199804,38.7,1.4
199805,38.5,1.2
199806,38.0,0.7
199807,38.4,1.1
199808,38.3,1.0
199809,38.4,1.1
199810,38.4,1.1
199811,38.5,1.2
199812,38.4,1.1
199901,38.2,0.9
199902,38.0,0.7
199903,38.0,0.7
199904,37.8,0.5
199905,37.7,0.4
199906,38.0,0.7
199907,37.9,0.6
199908,37.8,0.5
199909,37.3,0.0
199910,37.2,-0.1
199911,37.1,-0.2
199912,37.2,-0.1
200001,37.4,0.1
200002,37.7,0.4
200003,37.7,0.4
200004,38.3,1.0
200005,38.7,1.4
200006,38.8,1.5
200007,38.9,1.6
200008,39.1,1.8
200009,39.3,2.0
200010,39.6,2.3
200011,38.9,1.6
200012,39.1,1.8
200101,38.5,1.2
200102,38.1,0.8
200103,38.4,1.1
200104,38.2,0.9
200105,38.3,1.0
200106,38.2,0.9
200107,38.2,0.9
200108,38.1,0.8
200109,38.4,1.1
200110,38.5,1.2
200111,39.2,1.9
200112,38.9,1.6
200201,39.0,1.7
200202,38.4,1.1
200203,37.7,0.4
200204,37.8,0.5
200205,37.5,0.2
200206,37.6,0.3
200207,37.8,0.5
200208,37.4,0.1
200209,37.2,-0.1
200210,36.8,-0.5
200211,36.5,-0.8
200212,36.9,-0.4
200301,37.7,0.4
200302,38.2,0.9
200303,38.7,1.4
200304,38.6,1.3
200305,38.8,1.5
200306,38.8,1.5
200307,38.8,1.5
200308,39.3,2.0
200309,39.2,1.9
200310,39.7,2.4
200311,39.7,2.4
200312,39.7,2.4
200401,38.8,1.5
200402,38.6,1.3
200403,38.8,1.5
200404,39.0,1.7
200405,39.0,1.7
200406,39.0,1.7
200407,38.7,1.4
200408,38.3,1.0
200409,38.3,1.0
200410,38.3,1.0
200411,38.4,1.1
200412,38.4,1.1
200501,39.1,1.8
200502,39.6,2.3
200503,39.3,2.0
200504,39.0,1.7
200505,39.0,1.7
200506,38.6,1.3
200507,38.7,1.4
200508,38.8,1.5
200509,38.8,1.5
200510,38.6,1.3
200511,38.6,1.3
200512,38.4,1.1
200601,38.1,0.8
200602,37.6,0.3
200603,37.4,0.1
200604,37.6,0.3
200605,37.8,0.5
200606,38.3,1.0
200607,38.5,1.2
200608,38.4,1.1
200609,38.3,1.0
200610,38.2,0.9
200611,38.1,0.8
200612,38.0,0.7
200701,37.0,-0.3
200702,37.5,0.2
200703,37.8,0.5
200704,37.8,0.5
200705,37.7,0.4
200706,37.5,0.2
200707,37.6,0.3
200708,37.9,0.6
200709,38.1,0.8
200710,38.1,0.8
200711,38.1,0.8
200712,38.0,0.7
200801,38.4,1.1
200802,38.2,0.9
200803,37.8,0.5
200804,37.2,-0.1
200805,37.0,-0.3
200806,36.8,-0.5
200807,36.6,-0.7
200808,36.3,-1.0
200809,36.3,-1.0
200810,36.4,-0.9
200811,36.8,-0.5
200812,36.9,-0.4
200901,37.4,0.1
200902,37.5,0.2
200903,37.6,0.3
200904,38.0,0.7
200905,38.4,1.1
200906,38.2,0.9
200907,38.1,0.8
200908,37.8,0.5
200909,38.1,0.8
200910,37.9,0.6
200911,37.4,0.1
200912,36.9,-0.4
201001,36.8,-0.5
201002,36.8,-0.5
201003,36.9,-0.4
201004,36.8,-0.5
201005,36.1,-1.2
201006,36.2,-1.1
201007,36.3,-1.0
201008,36.4,-0.9
201009,36.1,-1.2
201010,36.6,-0.7
201011,36.6,-0.7
201012,37.7,0.4
201101,37.5,0.2
201102,37.2,-0.1
201103,37.3,0.0
201104,37.2,-0.1
201105,37.3,0.0
201106,37.1,-0.2
201107,37.1,-0.2
201108,37.3,0.0
201109,37.6,0.3
201110,37.4,0.1
201111,37.3,0.0
201112,36.7,-0.6
201201,36.9,-0.4
201202,37.0,-0.3
201203,37.2,-0.1
201204,37.6,0.3
201205,38.0,0.7
201206,38.3,1.0
201207,38.4,1.1
201208,38.6,1.3
201209,38.6,1.3
201210,38.5,1.2
201211,39.0,1.7
201212,39.4,2.1
201301,38.2,0.9
201302,37.7,0.4
201303,37.6,0.3
201304,37.4,0.1
201305,37.4,0.1
201306,37.6,0.3
201307,37.8,0.5
201308,37.8,0.5
201309,37.8,0.5
201310,37.6,0.3
201311,37.5,0.2
201312,36.7,-0.6
201401,37.9,0.6
201402,38.7,1.4
201403,38.6,1.3
201404,38.7,1.4
201405,38.9,1.6
201406,38.6,1.3
201407,38.6,1.3
201408,38.2,0.9
201409,38.2,0.9
201410,38.7,1.4
201411,38.6,1.3
201412,39.6,2.3
201501,39.8,2.5
201502,40.1,2.8
201503,40.3,3.0
201504,40.3,3.0
201505,40.4,3.1
201506,40.9,3.6
201507,40.5,3.2
201508,40.7,3.4
201509,40.8,3.5
201510,41.1,3.8
201511,40.8,3.5
201512,40.4,3.1
201601,40.0,2.7
201602,39.5,2.2
201603,39.4,2.1
201604,39.7,2.4
201605,39.6,2.3
201606,39.4,2.1
201607,39.6,2.3
201608,39.6,2.3
201609,39.2,1.9
201610,38.9,1.6
201611,39.5,2.2
201612,39.3,2.0
201701,39.0,1.7
201702,39.3,2.0
201703,39.5,2.2
201704,39.2,1.9
201705,39.2,1.9
201706,39.0,1.7
201707,39.3,2.0
201708,39.5,2.2
201709,39.4,2.1
201710,38.8,1.5
201711,38.8,1.5
201712,38.8,1.5
201801,39.5,2.2
201802,38.9,1.6
201803,38.4,1.1
201804,38.6,1.3
201805,38.8,1.5
201806,38.7,1.4
201807,38.8,1.5
201808,38.7,1.4
201809,39.0,1.7
201810,39.4,2.1
201811,38.8,1.5
201812,38.8,1.5
201901,38.5,1.2
201902,38.6,1.3
201903,38.6,1.3
201904,38.8,1.5
201905,38.4,1.1
201906,38.1,0.8
201907,37.8,0.5
201908,37.7,0.4
201909,37.5,0.2
201910,36.7,-0.6
201911,36.9,-0.4
201912,37.3,0.0
202001,37.6,0.3
202002,37.5,0.2
202003,37.7,0.4
202004,37.4,0.1
202005,37.8,0.5
202006,37.9,0.6
202007,37.9,0.6
202008,38.2,0.9
202009,38.3,1.0
202010,39.2,1.9
202011,39.3,2.0
202012,38.9,1.6
202101,38.7,1.4
202102,39.0,1.7
202103,38.7,1.4
202104,38.6,1.3
202105,38.5,1.2
202106,39.2,1.9
202107,39.5,2.2
202108,39.1,1.8
202109,39.1,1.8
202110,39.0,1.7
202111,39.3,2.0
202112,39.7,2.4
202201,39.7,2.4
202202,39.2,1.9
202203,39.6,2.3
202204,39.4,2.1
202205,39.2,1.9
202206,38.6,1.3
202207,38.5,1.2
202208,38.8,1.5
202209,38.9,1.6
202210,38.9,1.6
202211,38.2,0.9
202212,38.0,0.7
202301,37.9,0.6
202302,37.8,0.5
202303,37.2,-0.1
202304,37.2,-0.1
202305,37.7,0.4
202306,37.5,0.2
202307,37.5,0.2
202308,37.3,0.0
202309,37.2,-0.1
202310,37.3,0.0
202311,37.7,0.4
202312,38.0,0.7
202401,38.2,0.9
202402,38.9,1.6
202403,39.4,2.1
