Tooele County, Utah December Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.02,-3.31
199002,-3.03,-3.33
199003,-3.10,-3.42
199004,-3.25,-3.62
199005,-3.67,-4.13
199006,-4.20,-4.65
199007,-4.81,-5.26
199008,-4.90,-5.18
199009,-4.83,-5.21
199010,-4.64,-5.06
199011,-4.20,-4.49
199012,-4.12,-4.32
199101,-3.92,-4.21
199102,-4.20,-4.50
199103,-4.03,-4.35
199104,0.39,0.02
199105,1.09,0.63
199106,-0.24,-0.69
199107,-1.03,-1.48
199108,0.07,-0.21
199109,0.70,0.32
199110,0.99,0.57
199111,1.42,1.13
199112,-0.32,-0.52
199201,-0.67,-0.96
199202,-0.72,-1.02
199203,-1.33,-1.65
199204,-2.70,-3.07
199205,-3.63,-4.09
199206,-4.07,-4.52
199207,-3.79,-4.24
199208,-3.78,-4.06
199209,-3.79,-4.17
199210,0.03,-0.39
199211,0.37,0.08
199212,0.72,0.52
199301,2.28,1.99
199302,2.82,2.52
199303,2.81,2.49
199304,2.23,1.86
199305,2.65,2.19
199306,3.22,2.77
199307,4.10,3.65
199308,3.80,3.52
199309,3.24,2.86
199310,3.69,3.27
199311,-0.15,-0.44
199312,-0.51,-0.71
199401,-0.86,-1.15
199402,-0.46,-0.76
199403,-0.40,-0.72
199404,-0.03,-0.40
199405,-0.12,-0.58
199406,-1.04,-1.49
199407,-1.77,-2.22
199408,0.00,-0.28
199409,0.12,-0.26
199410,0.66,0.24
199411,1.70,1.41
199412,1.37,1.17
199501,1.77,1.48
199502,1.26,0.96
199503,1.88,1.56
199504,2.65,2.28
199505,4.85,4.39
199506,6.71,6.26
199507,8.80,8.35
199508,8.34,8.06
199509,7.55,7.17
199510,6.17,5.75
199511,4.89,4.60
199512,4.40,4.20
199601,4.42,4.13
199602,4.39,4.09
199603,4.12,3.80
199604,3.58,3.21
199605,3.70,3.24
199606,2.86,2.41
199607,2.64,2.19
199608,1.56,1.28
199609,1.52,1.14
199610,1.36,0.94
199611,1.44,1.15
199612,1.73,1.53
199701,2.70,2.41
199702,3.12,2.82
199703,2.13,1.81
199704,2.28,1.91
199705,2.10,1.64
199706,3.53,3.08
199707,4.31,3.86
199708,4.27,3.99
199709,4.84,4.46
199710,4.21,3.79
199711,3.83,3.54
199712,3.22,3.02
199801,3.06,2.77
199802,4.06,3.76
199803,4.31,3.99
199804,4.38,4.01
199805,4.59,4.13
199806,6.17,5.72
199807,8.04,7.59
199808,7.39,7.11
199809,7.14,6.76
199810,7.44,7.02
199811,6.40,6.11
199812,5.37,5.17
199901,5.28,4.99
199902,4.43,4.13
199903,3.32,3.00
199904,4.20,3.83
199905,4.16,3.70
199906,4.37,3.92
199907,4.10,3.65
199908,3.84,3.56
199909,-0.32,-0.70
199910,-1.17,-1.59
199911,-2.02,-2.31
199912,-2.26,-2.46
200001,-1.87,-2.16
200002,-1.16,-1.46
200003,-1.40,-1.72
200004,-2.10,-2.47
200005,-2.45,-2.91
200006,-3.21,-3.66
200007,-3.97,-4.42
200008,-2.85,-3.13
200009,-2.42,-2.80
200010,-1.58,-2.00
200011,-1.57,-1.86
200012,-1.87,-2.07
200101,-1.96,-2.25
200102,-2.05,-2.35
200103,-2.18,-2.50
200104,-2.04,-2.41
200105,-3.27,-3.73
200106,-4.13,-4.58
200107,-4.39,-4.84
200108,-4.03,-4.31
200109,-4.22,-4.60
200110,-4.40,-4.82
200111,-3.50,-3.79
200112,-3.10,-3.30
200201,-3.11,-3.40
200202,-3.31,-3.61
200203,-3.23,-3.55
200204,-2.86,-3.23
200205,-3.20,-3.66
200206,-3.94,-4.39
200207,-4.44,-4.89
200208,-4.85,-5.13
200209,-3.87,-4.25
200210,-3.54,-3.96
200211,-3.09,-3.38
200212,-3.23,-3.43
200301,-3.59,-3.88
200302,-3.32,-3.62
200303,-3.50,-3.82
200304,-3.14,-3.51
200305,-3.26,-3.72
