Tooele County, Utah December Palmer Hydrological Drought Index (PHDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.02,-3.38
199002,-3.03,-3.41
199003,-3.10,-3.50
199004,-3.25,-3.63
199005,-3.67,-4.13
199006,-4.20,-4.59
199007,-4.81,-5.20
199008,-4.90,-5.37
199009,-4.83,-5.27
199010,-4.64,-5.13
199011,-4.20,-4.62
199012,-4.12,-4.36
199101,-3.92,-4.28
199102,-4.20,-4.58
199103,-4.03,-4.43
199104,-3.23,-3.61
199105,-2.16,-2.62
199106,-2.17,-2.56
199107,-2.77,-3.16
199108,-2.41,-2.88
199109,-1.53,-1.97
199110,-1.01,-1.50
199111,1.42,1.00
199112,0.96,0.72
199201,-0.67,-1.03
199202,-0.72,-1.10
199203,-1.33,-1.73
199204,-2.70,-3.08
199205,-3.63,-4.09
199206,-4.07,-4.46
199207,-3.79,-4.18
199208,-3.78,-4.25
199209,-3.79,-4.23
199210,-3.37,-3.86
199211,-2.68,-3.10
199212,-2.01,-2.25
199301,2.28,1.92
199302,2.82,2.44
199303,2.81,2.41
199304,2.23,1.85
199305,2.65,2.19
199306,3.22,2.83
199307,4.10,3.71
199308,3.80,3.33
199309,3.24,2.80
199310,3.69,3.20
199311,3.16,2.74
199312,2.46,2.22
199401,1.80,1.44
199402,1.93,1.55
199403,1.74,1.34
199404,1.90,1.52
199405,1.60,1.14
199406,-1.04,-1.43
199407,-1.77,-2.16
199408,-1.59,-2.06
199409,-1.31,-1.75
199410,-0.62,-1.11
199411,1.70,1.28
199412,1.37,1.13
199501,1.77,1.41
199502,1.26,0.88
199503,1.88,1.48
199504,2.65,2.27
199505,4.85,4.39
199506,6.71,6.32
199507,8.80,8.41
199508,8.34,7.87
199509,7.55,7.11
199510,6.17,5.68
199511,4.89,4.47
199512,4.40,4.16
199601,4.42,4.06
199602,4.39,4.01
199603,4.12,3.72
199604,3.58,3.20
199605,3.70,3.24
199606,2.86,2.47
199607,2.64,2.25
199608,1.56,1.09
199609,1.52,1.08
199610,1.36,0.87
199611,1.44,1.02
199612,1.73,1.49
199701,2.70,2.34
199702,3.12,2.74
199703,2.13,1.73
199704,2.28,1.90
199705,2.10,1.64
199706,3.53,3.14
199707,4.31,3.92
199708,4.27,3.80
199709,4.84,4.40
199710,4.21,3.72
199711,3.83,3.41
199712,3.22,2.98
199801,3.06,2.70
199802,4.06,3.68
