Tooele County, Utah December Palmer Modified Drought Index (PMDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.02,-3.34
199002,-3.03,-3.43
199003,-3.10,-3.43
199004,-3.25,-3.57
199005,-3.67,-4.10
199006,-4.20,-4.58
199007,-4.81,-5.24
199008,-4.90,-5.32
199009,-4.83,-5.25
199010,-4.64,-5.07
199011,-4.18,-4.52
199012,-4.12,-4.32
199101,-3.92,-4.24
199102,-4.20,-4.60
199103,-4.03,-4.36
199104,-2.73,-3.05
199105,-0.75,-1.18
199106,-1.04,-1.42
199107,-2.47,-2.90
199108,-1.97,-2.39
199109,-0.36,-0.78
199110,0.53,0.10
199111,1.42,1.08
199112,0.35,0.15
199201,-0.67,-0.99
199202,-0.72,-1.12
199203,-1.33,-1.66
199204,-2.70,-3.02
199205,-3.63,-4.06
199206,-4.07,-4.45
199207,-3.79,-4.22
199208,-3.78,-4.20
199209,-3.79,-4.21
199210,-3.27,-3.70
199211,-2.13,-2.47
199212,-0.96,-1.16
199301,2.28,1.96
199302,2.82,2.42
199303,2.81,2.48
199304,1.81,1.49
199305,2.65,2.22
199306,3.22,2.84
199307,4.10,3.67
199308,3.80,3.38
199309,2.98,2.56
199310,3.69,3.26
199311,2.92,2.58
199312,1.72,1.52
199401,0.57,0.25
199402,1.05,0.65
199403,0.84,0.51
199404,1.33,1.01
199405,0.90,0.47
199406,-1.04,-1.42
199407,-1.77,-2.20
199408,-1.52,-1.94
199409,-0.99,-1.41
199410,0.55,0.12
199411,1.70,1.36
199412,1.07,0.87
199501,1.77,1.45
199502,0.70,0.30
199503,1.88,1.55
199504,2.65,2.33
199505,4.85,4.42
199506,6.71,6.33
199507,8.80,8.37
199508,8.34,7.92
199509,7.55,7.13
199510,5.47,5.04
199511,3.45,3.11
199512,2.95,2.75
199601,3.46,3.14
199602,3.82,3.42
199603,3.66,3.33
199604,2.95,2.63
199605,3.50,3.07
199606,2.11,1.73
199607,1.93,1.50
199608,-0.04,-0.46
199609,0.08,-0.34
199610,-0.03,-0.46
199611,0.28,-0.06
199612,0.95,0.75
199701,2.70,2.38
199702,3.12,2.72
199703,1.27,0.94
199704,1.81,1.49
199705,1.65,1.22
199706,3.53,3.15
199707,4.31,3.88
199708,4.27,3.85
199709,4.84,4.42
199710,3.99,3.56
199711,3.63,3.29
199712,2.71,2.51
199801,2.71,2.39
199802,4.06,3.66
199803,4.31,3.98
199804,4.38,4.06
199805,4.59,4.16
199806,6.17,5.79
199807,8.04,7.61
199808,7.39,6.97
199809,7.14,6.72
199810,7.44,7.01
199811,6.04,5.70
199812,4.56,4.36
199901,4.93,4.61
199902,3.70,3.30
199903,1.87,1.54
199904,3.96,3.64
199905,4.16,3.73
199906,4.37,3.99
199907,4.10,3.67
199908,3.84,3.42
199909,2.68,2.26
199910,0.41,-0.02
199911,-1.80,-2.14
199912,-2.26,-2.46
200001,-1.60,-1.92
200002,-0.14,-0.54
200003,-0.83,-1.16
200004,-2.10,-2.42
200005,-2.45,-2.88
200006,-3.21,-3.59
200007,-3.97,-4.40
200008,-1.98,-2.40
200009,-1.35,-1.77
200010,0.15,-0.28
200011,-0.04,-0.38
200012,-0.84,-1.04
200101,-1.19,-1.51
200102,-1.46,-1.86
200103,-1.83,-2.16
200104,-1.72,-2.04
200105,-3.27,-3.70
200106,-4.13,-4.51
200107,-4.39,-4.82
200108,-4.03,-4.45
200109,-4.22,-4.64
200110,-4.40,-4.83
200111,-2.93,-3.27
200112,-2.44,-2.64
200201,-2.76,-3.08
200202,-3.31,-3.71
200203,-3.23,-3.56
200204,-2.75,-3.07
200205,-3.20,-3.63
200206,-3.94,-4.32
200207,-4.44,-4.87
200208,-4.85,-5.27
200209,-3.27,-3.69
200210,-2.97,-3.40
200211,-2.38,-2.72
200212,-2.97,-3.17
200301,-3.59,-3.91
200302,-3.32,-3.72
200303,-3.50,-3.83
200304,-3.08,-3.40
200305,-3.26,-3.69
200306,-3.82,-4.20
200307,-4.63,-5.06
200308,-4.49,-4.91
200309,-4.47,-4.89
200310,-4.93,-5.36
200311,-4.05,-4.39
200312,-2.10,-2.30
200401,-2.41,-2.73
200402,-0.11,-0.51
200403,-1.93,-2.26
200404,-1.53,-1.85
200405,-2.23,-2.66
200406,-2.69,-3.07
200407,-2.82,-3.25
200408,-2.68,-3.10
200409,-1.53,-1.95
200410,1.89,1.46
200411,2.14,1.80
200412,1.70,1.50
200501,2.61,2.29
200502,2.87,2.47
200503,3.02,2.69
200504,3.56,3.24
200505,5.28,4.85
200506,6.22,5.84
200507,7.20,6.77
200508,6.10,5.68
200509,4.83,4.41
200510,3.99,3.56
200511,2.63,2.29
200512,1.91,1.71
200601,2.33,2.01
200602,1.57,1.17
200603,2.56,2.23
200604,2.56,2.24
200605,1.37,0.94
200606,0.27,-0.11
200607,-0.41,-0.84
200608,-1.27,-1.69
200609,-0.37,-0.79
200610,0.47,0.04
200611,-0.21,-0.55
200612,-0.65,-0.85
200701,-0.94,-1.26
200702,-0.99,-1.39
200703,-1.41,-1.74
200704,-2.10,-2.42
200705,-3.19,-3.62
200706,-3.78,-4.16
200707,-4.14,-4.57
200708,-4.44,-4.86
200709,-3.83,-4.25
200710,-3.40,-3.83
200711,-3.95,-4.29
200712,-2.52,-2.72
200801,-1.91,-2.23
200802,-1.47,-1.87
