Tooele County, Utah December Palmer Z-Index
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-1.19,-1.47
199002,-0.96,-1.12
199003,-1.13,-1.19
199004,-1.41,-1.46
199005,-2.26,-2.55
199006,-2.74,-2.84
199007,-3.12,-3.36
199008,-1.77,-1.94
199009,-1.29,-1.46
199010,-0.94,-1.09
199011,-0.10,-0.04
199012,-1.06,-0.91
199101,-0.66,-0.94
199102,-2.05,-2.21
199103,-0.81,-0.87
199104,1.16,1.11
199105,2.23,1.94
199106,-0.72,-0.82
199107,-2.46,-2.70
199108,0.22,0.05
199109,1.90,1.73
199110,1.10,0.95
199111,1.59,1.65
199112,-0.95,-0.80
199201,-1.16,-1.44
199202,-0.36,-0.52
199203,-2.05,-2.11
199204,-4.53,-4.58
199205,-3.63,-3.92
199206,-2.42,-2.52
199207,-0.43,-0.67
199208,-1.15,-1.32
199209,-1.19,-1.36
199210,0.10,-0.05
199211,1.01,1.07
199212,1.18,1.33
199301,4.91,4.63
199302,2.33,2.17
199303,0.83,0.77
199304,-0.87,-0.92
199305,1.94,1.65
199306,2.54,2.44
199307,3.62,3.38
199308,0.36,0.19
199309,-0.50,-0.67
199310,2.36,2.21
199311,-0.45,-0.39
199312,-1.14,-0.99
199401,-1.20,-1.48
199402,0.95,0.79
199403,0.02,-0.04
199404,1.01,0.96
199405,-0.30,-0.59
199406,-2.79,-2.89
199407,-2.53,-2.77
199408,-0.01,-0.18
199409,0.36,0.19
199410,1.65,1.50
199411,3.33,3.39
199412,-0.46,-0.31
199501,1.61,1.33
199502,-0.99,-1.15
199503,2.25,2.19
199504,2.90,2.85
199505,7.42,7.13
199506,7.08,6.98
199507,8.33,8.09
199508,1.35,1.18
199509,0.20,0.03
199510,-1.79,-1.94
199511,-1.94,-1.88
199512,0.04,0.19
199601,1.44,1.16
199602,1.28,1.12
199603,0.54,0.48
199604,-0.35,-0.40
199605,1.46,1.17
199606,-1.36,-1.46
199607,0.22,-0.02
199608,-2.42,-2.59
199609,0.35,0.18
199610,0.01,-0.14
199611,0.64,0.70
199612,1.31,1.46
199701,3.46,3.18
199702,2.09,1.93
199703,-1.99,-2.05
199704,1.10,1.05
199705,0.17,-0.12
199706,4.94,4.84
199707,3.41,3.17
199708,1.21,1.04
199709,3.05,2.88
199710,-0.42,-0.57
199711,0.18,0.24
199712,-0.66,-0.51
199801,0.54,0.26
199802,3.93,3.77
199803,2.00,1.94
199804,1.55,1.50
199805,1.98,1.69
199806,6.16,6.06
199807,7.52,7.28
199808,0.52,0.35
199809,1.55,1.38
199810,3.10,2.95
199811,-0.83,-0.77
199812,-1.11,-0.96
199901,1.40,1.12
199902,-0.92,-1.08
199903,-1.96,-2.02
199904,3.67,3.62
199905,1.16,0.87
199906,1.94,1.84
199907,0.53,0.29
199908,0.48,0.31
199909,-0.97,-1.14
199910,-2.64,-2.79
199911,-2.92,-2.86
199912,-1.34,-1.19
200001,0.47,0.19
200002,1.57,1.41
200003,-1.10,-1.16
200004,-2.52,-2.57
200005,-1.71,-2.00
200006,-3.03,-3.13
200007,-3.26,-3.50
200008,2.12,1.95
200009,0.42,0.25
200010,1.76,1.61
200011,-0.43,-0.37
200012,-1.40,-1.25
200101,-0.85,-1.13
200102,-0.87,-1.03
200103,-1.02,-1.08
200104,-0.24,-0.29
200105,-4.33,-4.62
200106,-3.60,-3.70
200107,-2.06,-2.30
200108,-0.28,-0.45
200109,-1.81,-1.98
200110,-1.85,-2.00
200111,1.34,1.40
200112,0.11,0.26
200201,-0.97,-1.25
200202,-1.58,-1.74
200203,-0.77,-0.83
200204,0.11,0.06
200205,-1.90,-2.19
200206,-3.22,-3.32
200207,-2.71,-2.95
200208,-2.60,-2.77
200209,1.44,1.27
200210,-0.20,-0.35
200211,0.26,0.32
200212,-1.39,-1.24
200301,-2.06,-2.34
200302,-0.32,-0.48
200303,-1.56,-1.62
200304,0.00,-0.05
200305,-1.32,-1.61
200306,-2.68,-2.78
200307,-3.62,-3.86
200308,-1.00,-1.17
200309,-1.35,-1.52
200310,-2.76,-2.91
200311,0.45,0.51
200312,2.06,2.21
200401,-0.95,-1.23
200402,2.81,2.65
200403,-2.92,-2.98
200404,0.14,0.09
200405,-1.55,-1.84
200406,-1.13,-1.23
200407,-1.12,-1.36
200408,-0.45,-0.62
200409,1.07,0.90
200410,4.70,4.55
200411,1.34,1.40
200412,-0.19,-0.04
200501,2.84,2.56
200502,1.58,1.42
200503,1.33,1.27
200504,2.56,2.51
200505,6.27,5.98
200506,4.45,4.35
200507,4.86,4.62
200508,-0.44,-0.61
200509,-0.81,-0.98
200510,-0.35,-0.50
200511,-1.22,-1.16
200512,-0.45,-0.30
200601,1.16,0.88
200602,-0.61,-0.77
200603,2.03,1.97
200604,0.60,0.55
200605,-1.24,-1.53
200606,-1.29,-1.39
200607,-0.86,-1.10
200608,-1.31,-1.48
200609,1.38,1.21
200610,1.53,1.38
200611,-1.02,-0.96
200612,-0.76,-0.61
200701,-1.01,-1.29
200702,-0.42,-0.58
200703,-1.57,-1.63
200704,-2.51,-2.56
200705,-3.91,-4.20
200706,-2.76,-2.86
200707,-2.26,-2.50
200708,-2.18,-2.35
200709,0.13,-0.04
200710,-0.04,-0.19
200711,-2.29,-2.23
200712,1.33,1.48
200801,0.34,0.06
200802,0.18,0.02
200803,-1.20,-1.26
200804,-1.23,-1.28
200805,-1.23,-1.52
