Tooele County, Utah January-December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,8.32,-1.89
199002,8.00,-2.22
199003,8.03,-2.19
199004,8.81,-1.39
199005,8.24,-1.97
199006,8.32,-1.89
199007,8.14,-2.07
199008,7.64,-2.58
199009,7.18,-3.04
199010,6.95,-3.28
199011,7.27,-2.95
199012,7.58,-2.65
199101,7.67,-2.54
199102,7.50,-2.72
199103,7.27,-2.95
199104,7.53,-2.67
199105,8.60,-1.61
199106,8.69,-1.52
199107,8.60,-1.61
199108,9.18,-1.04
199109,9.98,-0.24
199110,10.74,0.51
199111,11.24,1.02
199112,11.20,0.97
199201,10.96,0.75
199202,11.50,1.28
199203,11.47,1.25
199204,10.19,-0.01
199205,8.94,-1.27
199206,8.73,-1.48
199207,9.49,-0.72
199208,9.08,-1.14
199209,8.19,-2.03
199210,7.95,-2.28
199211,7.54,-2.68
199212,8.29,-1.94
199301,10.20,-0.01
199302,10.46,0.24
199303,10.89,0.67
199304,11.16,0.96
199305,12.06,1.85
199306,12.60,2.39
199307,12.61,2.40
199308,12.47,2.25
199309,12.52,2.30
199310,13.11,2.88
199311,12.54,2.32
199312,11.77,1.54
199401,9.91,-0.30
199402,9.84,-0.38
199403,10.03,-0.19
199404,11.32,1.12
199405,10.93,0.72
199406,9.86,-0.35
199407,9.18,-1.03
199408,9.71,-0.51
199409,10.18,-0.04
199410,9.91,-0.32
199411,11.28,1.06
199412,11.39,1.16
199501,12.15,1.94
199502,11.72,1.50
199503,12.25,2.03
199504,12.61,2.41
199505,15.02,4.81
199506,16.97,6.76
199507,17.12,6.91
199508,16.69,6.47
199509,16.47,6.25
199510,15.23,5.00
199511,13.98,3.76
199512,14.34,4.11
199601,14.44,4.23
199602,14.89,4.67
199603,14.31,4.09
199604,13.13,2.93
199605,11.24,1.03
199606,9.29,-0.92
199607,9.80,-0.41
199608,9.42,-0.80
199609,9.50,-0.72
199610,10.20,-0.03
199611,10.86,0.64
199612,11.24,1.01
199701,11.78,1.57
199702,11.83,1.61
199703,10.76,0.54
199704,11.24,1.04
199705,10.52,0.31
199706,13.01,2.80
199707,13.09,2.88
199708,13.80,3.58
199709,14.62,4.40
199710,14.46,4.23
199711,14.28,4.06
199712,13.60,3.37
199801,12.81,2.60
199802,13.79,3.57
199803,15.21,4.99
199804,15.27,5.07
199805,15.61,5.40
199806,15.50,5.29
199807,15.74,5.53
199808,15.43,5.21
199809,15.00,4.78
199810,16.19,5.96
199811,15.80,5.58
199812,15.64,5.41
199901,15.87,5.66
199902,14.18,3.96
199903,12.94,2.72
199904,13.94,3.74
199905,13.83,3.62
199906,12.79,2.58
199907,12.00,1.79
199908,12.35,2.13
199909,11.57,1.35
199910,9.71,-0.52
199911,9.29,-0.93
199912,9.29,-0.94
