Uintah County, Utah January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,46.5,2.2
199002,47.0,2.7
199003,46.9,2.6
199004,46.9,2.6
199005,46.7,2.3
199006,47.0,2.6
199007,46.8,2.4
199008,47.0,2.6
199009,47.3,2.9
199010,47.2,2.8
199011,47.0,2.6
199012,46.1,1.7
199101,45.2,0.9
199102,45.5,1.2
199103,45.2,0.9
199104,44.6,0.3
199105,44.6,0.2
199106,44.4,0.0
199107,44.4,0.0
199108,44.4,0.0
199109,44.0,-0.4
199110,44.1,-0.3
199111,43.9,-0.5
199112,44.5,0.1
199201,44.8,0.5
199202,45.0,0.7
199203,45.4,1.1
199204,46.2,1.9
199205,46.6,2.2
199206,46.6,2.2
199207,46.3,1.9
199208,46.3,1.9
199209,46.3,1.9
199210,46.5,2.1
199211,46.4,2.0
199212,46.1,1.7
199301,46.2,1.9
199302,45.4,1.1
199303,45.1,0.8
199304,44.4,0.1
199305,44.2,-0.2
199306,44.0,-0.4
199307,43.9,-0.5
199308,43.7,-0.7
199309,43.5,-0.9
199310,43.1,-1.3
199311,43.0,-1.4
199312,43.5,-0.9
199401,44.1,-0.2
199402,44.6,0.3
199403,45.0,0.7
199404,45.2,0.9
199405,45.4,1.0
199406,46.1,1.7
199407,46.5,2.1
199408,47.0,2.6
199409,47.2,2.8
199410,47.2,2.8
199411,47.1,2.7
199412,47.3,2.9
199501,47.1,2.8
199502,47.8,3.5
199503,47.6,3.3
199504,47.3,3.0
199505,46.5,2.1
199506,45.8,1.4
199507,45.4,1.0
199508,45.3,0.9
199509,45.3,0.9
199510,45.4,1.0
199511,46.2,1.8
199512,46.4,2.0
199601,46.3,2.0
199602,45.8,1.5
199603,45.8,1.5
199604,45.9,1.6
199605,46.5,2.1
199606,47.1,2.7
199607,47.5,3.1
199608,47.4,3.0
199609,47.2,2.8
199610,47.1,2.7
199611,46.7,2.3
199612,46.4,2.0
199701,46.3,2.0
199702,45.7,1.4
199703,45.7,1.4
199704,45.4,1.1
199705,45.3,0.9
199706,45.3,0.9
199707,44.9,0.5
199708,44.7,0.3
199709,45.0,0.6
199710,45.0,0.6
199711,44.9,0.5
199712,44.6,0.2
199801,45.2,0.9
199802,45.8,1.5
199803,45.7,1.4
199804,45.9,1.6
199805,45.7,1.3
199806,45.3,0.9
199807,45.6,1.2
199808,45.8,1.4
199809,46.0,1.6
199810,46.1,1.7
199811,46.4,2.0
199812,46.3,1.9
199901,46.3,2.0
199902,46.4,2.1
199903,46.8,2.5
199904,46.6,2.3
199905,46.4,2.0
199906,46.7,2.3
199907,46.6,2.2
199908,46.4,2.0
199909,45.9,1.5
199910,46.1,1.7
199911,46.5,2.1
199912,46.8,2.4
200001,46.9,2.6
200002,47.0,2.7
200003,46.7,2.4
200004,47.4,3.1
200005,48.0,3.6
200006,48.2,3.8
200007,48.4,4.0
200008,48.7,4.3
200009,48.9,4.5
200010,48.7,4.3
200011,47.6,3.2
200012,47.6,3.2
200101,47.1,2.8
200102,46.7,2.4
200103,46.9,2.6
200104,46.7,2.4
200105,46.6,2.2
200106,46.7,2.3
200107,46.6,2.2
200108,46.5,2.1
200109,46.9,2.5
200110,47.1,2.7
200111,47.9,3.5
200112,47.4,3.0
200201,47.2,2.9
200202,46.9,2.6
200203,46.5,2.2
200204,46.6,2.3
200205,46.5,2.1
200206,46.6,2.2
200207,46.9,2.5
200208,46.8,2.4
200209,46.5,2.1
200210,46.1,1.7
200211,45.7,1.3
200212,45.9,1.5
200301,46.4,2.1
200302,46.6,2.3
200303,47.0,2.7
200304,46.7,2.4
200305,46.8,2.4
200306,46.3,1.9
200307,46.4,2.0
200308,46.6,2.2
200309,46.7,2.3
200310,47.4,3.0
200311,47.2,2.8
200312,47.5,3.1
200401,46.9,2.6
200402,46.7,2.4
200403,47.1,2.8
200404,47.3,3.0
200405,47.3,2.9
200406,47.4,3.0
200407,46.8,2.4
200408,46.4,2.0
200409,46.3,1.9
200410,45.9,1.5
200411,46.1,1.7
200412,46.2,1.8
200501,47.0,2.7
200502,47.5,3.2
200503,47.0,2.7
200504,46.8,2.5
200505,46.7,2.3
200506,46.4,2.0
200507,46.7,2.3
200508,46.7,2.3
200509,46.7,2.3
200510,46.9,2.5
200511,47.1,2.7
200512,46.9,2.5
200601,46.7,2.4
200602,46.5,2.2
200603,46.3,2.0
200604,46.6,2.3
200605,46.8,2.4
200606,47.4,3.0
200607,47.5,3.1
200608,47.5,3.1
200609,47.2,2.8
200610,46.9,2.5
200611,46.9,2.5
200612,46.8,2.4
200701,45.8,1.5
200702,45.9,1.6
200703,46.5,2.2
200704,46.5,2.2
200705,46.3,1.9
200706,46.3,1.9
200707,46.4,2.0
200708,46.7,2.3
200709,47.1,2.7
200710,47.2,2.8
200711,47.5,3.1
200712,46.9,2.5
200801,46.9,2.6
200802,46.4,2.1
200803,45.7,1.4
200804,45.2,0.9
200805,44.8,0.4
200806,44.4,0.0
200807,44.3,-0.1
200808,44.1,-0.3
200809,44.0,-0.4
200810,44.2,-0.2
200811,44.2,-0.2
200812,44.6,0.2
200901,45.4,1.1
200902,45.9,1.6
200903,46.3,2.0
200904,46.6,2.3
200905,47.0,2.6
200906,46.8,2.4
200907,46.7,2.3
200908,46.5,2.1
200909,46.8,2.4
200910,46.4,2.0
200911,46.2,1.8
200912,45.5,1.1
201001,45.2,0.9
201002,44.5,0.2
201003,44.3,0.0
201004,44.3,0.0
201005,43.7,-0.7
201006,44.1,-0.3
201007,44.1,-0.3
201008,44.1,-0.3
201009,44.1,-0.3
201010,44.7,0.3
201011,44.3,-0.1
201012,45.6,1.2
201101,45.4,1.1
201102,45.3,1.0
201103,45.4,1.1
201104,45.3,1.0
201105,45.3,0.9
201106,45.1,0.7
201107,45.0,0.6
201108,45.2,0.8
201109,45.1,0.7
201110,45.0,0.6
201111,45.1,0.7
201112,44.6,0.2
201201,45.4,1.1
201202,46.0,1.7
201203,46.5,2.2
201204,47.0,2.7
201205,47.7,3.3
201206,48.2,3.8
201207,48.3,3.9
201208,48.4,4.0
201209,48.4,4.0
201210,48.5,4.1
201211,48.9,4.5
201212,48.9,4.5
201301,47.7,3.4
201302,47.1,2.8
201303,46.6,2.3
201304,46.1,1.8
201305,45.9,1.5
201306,45.9,1.5
201307,46.0,1.6
201308,45.8,1.4
201309,45.7,1.3
201310,45.5,1.1
201311,45.1,0.7
201312,44.5,0.1
201401,45.4,1.1
201402,46.2,1.9
201403,46.5,2.2
201404,46.7,2.4
201405,46.8,2.4
201406,46.4,2.0
201407,46.4,2.0
201408,46.1,1.7
201409,46.2,1.8
201410,46.7,2.3
201411,46.6,2.2
201412,47.7,3.3
201501,48.0,3.7
201502,48.4,4.1
201503,48.7,4.4
201504,48.7,4.4
201505,48.4,4.0
201506,48.8,4.4
201507,48.4,4.0
201508,48.7,4.3
201509,48.8,4.4
201510,48.9,4.5
201511,48.8,4.4
201512,48.2,3.8
201601,47.5,3.2
201602,47.1,2.8
201603,46.7,2.4
201604,46.7,2.4
201605,46.8,2.4
201606,46.9,2.5
201607,47.1,2.7
201608,47.0,2.6
201609,46.8,2.4
201610,46.6,2.2
201611,47.1,2.7
201612,47.4,3.0
201701,47.4,3.1
201702,47.6,3.3
201703,48.0,3.7
201704,47.9,3.6
201705,48.0,3.6
201706,47.9,3.5
201707,48.0,3.6
201708,48.1,3.7
201709,48.1,3.7
201710,47.6,3.2
201711,47.7,3.3
201712,48.2,3.8
201801,48.9,4.6
201802,48.7,4.4
201803,48.2,3.9
201804,48.4,4.1
201805,48.7,4.3
201806,48.8,4.4
201807,48.9,4.5
201808,49.0,4.6
201809,49.4,5.0
201810,49.4,5.0
201811,48.7,4.3
201812,48.2,3.8
201901,47.6,3.3
201902,46.7,2.4
201903,46.3,2.0
201904,46.4,2.1
201905,45.7,1.3
201906,45.1,0.7
201907,44.9,0.5
201908,45.0,0.6
201909,44.8,0.4
201910,44.3,-0.1
201911,44.7,0.3
201912,44.8,0.4
202001,44.8,0.5
202002,45.3,1.0
202003,45.8,1.5
202004,45.6,1.3
202005,46.3,1.9
202006,46.5,2.1
202007,46.5,2.1
202008,46.7,2.3
202009,46.7,2.3
202010,47.5,3.1
202011,47.5,3.1
202012,47.2,2.8
202101,47.2,2.9
202102,47.4,3.1
202103,47.2,2.9
202104,47.1,2.8
202105,47.0,2.6
202106,47.5,3.1
202107,47.7,3.3
202108,47.2,2.8
202109,47.4,3.0
202110,47.1,2.7
202111,47.5,3.1
202112,48.0,3.6
202201,48.6,4.3
202202,48.6,4.3
202203,48.7,4.4
202204,48.7,4.4
202205,48.4,4.0
202206,48.1,3.7
202207,48.0,3.6
202208,48.2,3.8
202209,48.4,4.0
202210,48.6,4.2
202211,47.8,3.4
202212,47.1,2.7
202301,46.4,2.1
202302,45.6,1.3
202303,44.7,0.4
202304,44.5,0.2
202305,44.8,0.4
202306,44.4,0.0
202307,44.4,0.0
202308,44.3,-0.1
202309,43.9,-0.5
202310,43.9,-0.5
202311,44.4,0.0
202312,45.1,0.7
202401,45.6,1.3
202402,46.9,2.6
202403,47.9,3.6
