Uintah County, Utah January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,402,77
199002,402,77
199003,402,77
199004,402,77
199005,396,71
199006,447,121
199007,366,39
199008,408,79
199009,444,115
199010,444,115
199011,444,115
199012,444,115
199101,444,119
199102,444,119
199103,444,119
199104,444,119
199105,444,119
199106,409,83
199107,394,67
199108,396,67
199109,360,31
199110,360,31
199111,360,31
199112,360,31
199201,360,35
199202,360,35
199203,360,35
199204,360,35
199205,373,48
199206,367,41
199207,290,-37
199208,284,-45
199209,288,-41
199210,288,-41
199211,288,-41
199212,288,-41
199301,288,-37
199302,288,-37
199303,288,-37
199304,288,-37
199305,281,-44
199306,256,-70
199307,250,-77
199308,197,-132
199309,188,-141
199310,188,-141
199311,188,-141
199312,188,-141
199401,188,-137
199402,188,-137
199403,188,-137
199404,188,-137
199405,196,-129
199406,299,-27
199407,444,117
199408,561,232
199409,573,244
199410,573,244
199411,573,244
199412,573,244
199501,573,248
199502,573,248
199503,573,248
199504,573,248
199505,559,234
199506,443,117
199507,323,-4
199508,306,-23
199509,301,-28
199510,301,-28
199511,301,-28
199512,301,-28
199601,301,-24
199602,301,-24
199603,301,-24
199604,301,-24
199605,308,-17
199606,383,57
199607,504,177
199608,499,170
199609,488,159
199610,488,159
199611,488,159
199612,488,159
199701,488,163
199702,488,163
199703,488,163
199704,488,163
199705,488,163
199706,473,147
199707,368,41
199708,310,-19
199709,319,-10
199710,319,-10
199711,319,-10
199712,319,-10
199801,319,-6
199802,319,-6
199803,319,-6
199804,319,-6
199805,312,-13
199806,252,-74
199807,364,37
199808,407,78
199809,434,105
199810,434,105
199811,434,105
199812,434,105
199901,434,109
199902,434,109
199903,434,109
199904,434,109
199905,434,109
199906,464,138
199907,412,85
199908,363,34
199909,328,-1
199910,328,-1
199911,328,-1
199912,328,-1
200001,328,3
200002,328,3
200003,328,3
200004,328,3
200005,344,19
200006,385,59
200007,440,113
200008,545,216
200009,551,222
200010,551,222
200011,551,222
200012,551,222
200101,551,226
200102,551,226
200103,551,226
200104,551,226
200105,546,221
200106,559,233
200107,547,220
200108,516,187
200109,551,222
200110,551,222
200111,551,222
200112,551,222
200201,551,226
200202,551,226
200203,551,226
200204,551,226
200205,547,222
200206,580,254
200207,675,348
200208,644,315
200209,609,280
200210,609,280
200211,609,280
200212,609,280
200301,609,284
200302,609,284
200303,609,284
200304,609,284
200305,610,285
200306,531,205
200307,566,239
200308,631,302
200309,635,306
200310,635,306
200311,635,306
200312,635,306
200401,635,310
200402,635,310
200403,635,310
200404,635,310
200405,635,310
200406,648,322
200407,462,135
200408,339,10
200409,333,4
200410,333,4
200411,333,4
200412,333,4
200501,333,8
200502,333,8
200503,333,8
200504,333,8
200505,330,5
200506,289,-37
200507,372,45
200508,382,53
200509,384,55
200510,384,55
200511,384,55
200512,384,55
200601,384,59
200602,384,59
200603,384,59
200604,384,59
200605,392,67
200606,495,169
200607,517,190
200608,524,195
200609,511,182
200610,511,182
200611,511,182
200612,511,182
200701,511,186
200702,511,186
200703,511,186
200704,511,186
200705,506,181
200706,497,171
200707,536,209
200708,638,309
200709,656,327
200710,656,327
200711,656,327
200712,656,327
200801,656,331
200802,656,331
200803,656,331
200804,656,331
200805,648,323
200806,581,255
200807,519,192
200808,470,141
200809,465,136
200810,465,136
200811,465,136
200812,465,136
200901,465,140
200902,465,140
200903,465,140
200904,465,140
200905,476,151
200906,449,123
200907,405,78
200908,360,31
200909,383,54
200910,383,54
200911,383,54
200912,383,54
201001,383,58
201002,383,58
201003,383,58
201004,383,58
201005,372,47
201006,431,105
201007,438,111
201008,443,114
201009,444,115
201010,444,115
201011,444,115
201012,444,115
201101,444,119
201102,444,119
201103,444,119
201104,444,119
201105,444,119
201106,409,83
201107,369,42
201108,439,110
201109,432,103
201110,432,103
201111,432,103
201112,432,103
201201,432,107
201202,432,107
201203,432,107
201204,432,107
201205,445,120
201206,541,215
201207,599,272
201208,621,292
201209,623,294
201210,623,294
201211,623,294
201212,623,294
201301,623,298
201302,623,298
201303,623,298
201304,623,298
201305,617,292
201306,608,282
201307,655,328
201308,600,271
201309,591,262
201310,591,262
201311,591,262
201312,591,262
201401,591,266
201402,591,266
201403,591,266
201404,591,266
201405,592,267
201406,531,205
201407,511,184
201408,434,105
201409,443,114
201410,443,114
201411,443,114
201412,443,114
201501,443,118
201502,443,118
201503,443,118
201504,443,118
201505,435,110
201506,506,180
201507,376,49
201508,449,120
201509,466,137
201510,466,137
201511,466,137
201512,466,137
201601,466,141
201602,466,141
201603,466,141
201604,466,141
201605,466,141
201606,487,161
201607,569,242
201608,541,212
201609,509,180
201610,509,180
201611,509,180
201612,509,180
201701,509,184
201702,509,184
201703,509,184
201704,509,184
201705,509,184
201706,480,154
201707,534,207
201708,563,234
201709,563,234
201710,563,234
201711,563,234
201712,563,234
201801,563,238
201802,563,238
201803,563,238
201804,563,238
201805,580,255
201806,590,264
201807,639,312
201808,666,337
201809,714,385
201810,714,385
201811,714,385
201812,714,385
201901,714,389
201902,714,389
201903,714,389
201904,714,389
201905,697,372
201906,593,267
201907,520,193
201908,554,225
201909,522,193
201910,522,193
201911,522,193
201912,522,193
202001,522,197
202002,522,197
202003,522,197
202004,522,197
202005,535,210
202006,566,240
202007,568,241
202008,659,330
202009,652,323
202010,652,323
202011,652,323
202012,652,323
202101,652,327
202102,652,327
202103,652,327
202104,652,327
202105,648,323
202106,746,420
202107,823,496
202108,675,346
202109,688,359
202110,688,359
202111,688,359
202112,688,359
202201,688,363
202202,688,363
202203,688,363
202204,688,363
202205,679,354
202206,608,282
202207,574,247
202208,640,311
202209,673,344
202210,673,344
202211,673,344
202212,673,344
202301,673,348
202302,673,348
202303,673,348
202304,673,348
202305,684,359
202306,628,302
202307,614,287
202308,567,238
202309,520,191
202310,520,191
202311,520,191
202312,520,191
202401,520,195
202402,520,195
202403,520,195
