Uintah County, Utah January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,7107,-721
199002,6930,-896
199003,6947,-879
199004,6960,-864
199005,7019,-804
199006,6962,-860
199007,6962,-860
199008,6944,-877
199009,6863,-957
199010,6878,-941
199011,6966,-855
199012,7300,-520
199101,7616,-212
199102,7525,-301
199103,7647,-179
199104,7866,42
199105,7861,38
199106,7897,75
199107,7903,81
199108,7902,81
199109,7985,165
199110,7959,140
199111,8029,208
199112,7804,-16
199201,7704,-124
199202,7648,-178
199203,7472,-354
199204,7190,-634
199205,7063,-760
199206,7071,-751
199207,7093,-729
199208,7095,-726
199209,7077,-743
199210,7003,-816
199211,7059,-762
199212,7162,-658
199301,7132,-696
199302,7381,-445
199303,7522,-304
199304,7769,-55
199305,7841,18
199306,7883,61
199307,7887,65
199308,7917,96
199309,7968,148
199310,8133,314
199311,8155,334
199312,7995,175
199401,7743,-85
199402,7590,-236
199403,7458,-368
199404,7360,-464
199405,7288,-535
199406,7174,-648
199407,7142,-680
199408,7101,-720
199409,7039,-781
199410,7039,-780
199411,7046,-775
199412,6975,-845
199501,7066,-762
199502,6818,-1008
199503,6881,-945
199504,7004,-820
199505,7275,-548
199506,7434,-388
199507,7453,-369
199508,7455,-366
199509,7474,-346
199510,7438,-381
199511,7138,-683
199512,7051,-769
199601,7089,-739
199602,7264,-562
199603,7290,-536
199604,7226,-598
199605,7017,-806
199606,6890,-932
199607,6871,-951
199608,6871,-950
199609,6950,-870
199610,6991,-828
199611,7113,-708
199612,7224,-596
199701,7286,-542
199702,7468,-358
199703,7471,-355
199704,7607,-217
199705,7613,-210
199706,7627,-195
199707,7641,-181
199708,7655,-166
199709,7586,-234
199710,7554,-265
199711,7610,-211
199712,7716,-104
199801,7501,-327
199802,7306,-520
199803,7344,-482
199804,7267,-557
199805,7309,-514
199806,7422,-400
199807,7408,-414
199808,7397,-424
199809,7325,-495
199810,7300,-519
199811,7208,-613
199812,7221,-599
199901,7246,-582
199902,7202,-624
199903,7062,-764
199904,7104,-720
199905,7186,-637
199906,7110,-712
199907,7110,-712
199908,7124,-697
199909,7256,-564
199910,7174,-645
199911,7055,-766
199912,6931,-889
200001,6910,-918
200002,6874,-952
200003,6975,-851
200004,6729,-1095
200005,6521,-1302
200006,6474,-1348
200007,6474,-1348
200008,6450,-1371
200009,6398,-1422
200010,6478,-1341
200011,6880,-941
200012,6871,-949
200101,7051,-777
200102,7178,-648
200103,7103,-723
200104,7189,-635
200105,7221,-602
200106,7208,-614
200107,7208,-614
200108,7214,-607
200109,7126,-694
200110,7055,-764
200111,6743,-1078
200112,6927,-893
200201,7007,-821
200202,7103,-723
200203,7281,-545
200204,7228,-596
200205,7267,-556
200206,7243,-579
200207,7243,-579
200208,7248,-573
200209,7339,-481
200210,7477,-342
200211,7619,-202
200212,7542,-278
200301,7346,-482
200302,7289,-537
200303,7148,-678
200304,7233,-591
200305,7226,-597
200306,7299,-523
200307,7299,-523
200308,7288,-533
200309,7268,-552
200310,7024,-795
200311,7068,-753
200312,6975,-845
200401,7176,-652
200402,7257,-569
200403,7095,-731
200404,7046,-778
200405,7044,-779
200406,7029,-793
200407,7035,-787
200408,7068,-753
200409,7097,-723
200410,7268,-551
200411,7181,-640
200412,7140,-680
200501,6862,-966
200502,6675,-1151
200503,6872,-954
200504,6931,-893
200505,6972,-851
200506,7039,-783
200507,7033,-789
200508,7027,-794
200509,7020,-800
200510,6962,-857
200511,6882,-939
200512,6945,-875
200601,7026,-802
200602,7084,-742
200603,7160,-666
200604,7083,-741
200605,7001,-822
200606,6879,-943
200607,6879,-943
200608,6875,-946
200609,6962,-858
200610,7085,-734
200611,7100,-721
200612,7139,-681
200701,7496,-332
200702,7447,-379
200703,7249,-577
200704,7256,-568
200705,7299,-524
200706,7305,-517
200707,7305,-517
200708,7282,-539
200709,7170,-650
200710,7104,-715
200711,7027,-794
200712,7230,-590
200801,7241,-587
200802,7411,-415
200803,7669,-157
200804,7856,32
200805,7979,156
200806,8043,221
200807,8043,221
200808,8052,231
200809,8077,257
200810,8036,217
200811,8020,199
200812,7856,36
200901,7560,-268
200902,7391,-435
200903,7237,-589
200904,7156,-668
200905,7005,-818
200906,7056,-766
200907,7056,-766
200908,7067,-754
200909,6992,-828
200910,7147,-672
200911,7215,-606
200912,7465,-355
201001,7591,-237
201002,7834,8
201003,7903,77
201004,7885,61
201005,8105,282
201006,8019,197
201007,8019,197
201008,8017,196
201009,8015,195
201010,7828,9
201011,7939,118
201012,7485,-335
201101,7549,-279
201102,7576,-250
201103,7543,-283
201104,7596,-228
201105,7579,-244
201106,7619,-203
201107,7624,-198
201108,7611,-210
201109,7625,-195
201110,7680,-139
201111,7654,-167
201112,7839,19
201201,7542,-286
201202,7311,-515
201203,7139,-687
201204,6951,-873
201205,6733,-1090
201206,6649,-1173
201207,6644,-1178
201208,6639,-1182
201209,6636,-1184
201210,6616,-1203
201211,6451,-1370
201212,6449,-1371
201301,6906,-922
201302,7112,-714
201303,7276,-550
201304,7478,-346
201305,7539,-284
201306,7543,-279
201307,7543,-279
201308,7552,-269
201309,7575,-245
201310,7683,-136
201311,7824,3
201312,8050,230
201401,7691,-137
201402,7412,-414
201403,7332,-494
201404,7238,-586
201405,7225,-598
201406,7274,-548
201407,7274,-548
201408,7306,-515
201409,7282,-538
201410,7104,-715
201411,7114,-707
201412,6733,-1087
201501,6606,-1222
201502,6489,-1337
201503,6371,-1455
201504,6352,-1472
201505,6461,-1362
201506,6407,-1415
201507,6419,-1403
201508,6388,-1433
201509,6361,-1459
201510,6295,-1524
201511,6335,-1486
201512,6573,-1247
201601,6819,-1009
201602,6978,-848
201603,7099,-727
201604,7099,-725
201605,7079,-744
201606,7071,-751
201607,7059,-763
201608,7065,-756
201609,7137,-683
201610,7197,-622
201611,7003,-818
201612,6885,-935
201701,6886,-942
201702,6825,-1001
201703,6685,-1141
201704,6723,-1101
201705,6684,-1139
201706,6696,-1126
201707,6696,-1126
201708,6690,-1131
201709,6691,-1129
201710,6876,-943
201711,6843,-978
201712,6675,-1145
201801,6425,-1403
201802,6475,-1351
201803,6657,-1169
201804,6602,-1222
201805,6478,-1345
201806,6474,-1348
201807,6474,-1348
201808,6470,-1351
201809,6378,-1442
201810,6365,-1454
201811,6621,-1200
201812,6794,-1026
201901,7038,-790
201902,7324,-502
201903,7474,-352
201904,7453,-371
201905,7711,-112
201906,7802,-20
201907,7802,-20
201908,7796,-25
201909,7839,19
201910,8013,194
201911,7894,73
201912,7858,38
202001,7840,12
202002,7683,-143
202003,7498,-328
202004,7552,-272
202005,7320,-503
202006,7283,-539
202007,7283,-539
202008,7283,-538
202009,7299,-521
202010,6998,-821
202011,7003,-818
202012,7108,-712
202101,7098,-730
202102,7050,-776
202103,7122,-704
202104,7134,-690
202105,7170,-653
202106,7106,-716
202107,7106,-716
202108,7115,-706
202109,7089,-731
202110,7186,-633
202111,7046,-775
202112,6851,-969
202201,6632,-1196
202202,6649,-1177
202203,6614,-1212
202204,6613,-1211
202205,6694,-1129
202206,6733,-1089
202207,6733,-1089
202208,6724,-1097
202209,6683,-1137
202210,6602,-1217
202211,6889,-932
202212,7146,-674
202301,7420,-408
202302,7678,-148
202303,8014,188
202304,8110,286
202305,8007,184
202306,8067,245
202307,8067,245
202308,8073,252
202309,8144,324
202310,8154,335
202311,7997,176
202312,7718,-102
202401,7519,-309
202402,7083,-743
202403,6738,-1088
