Uintah County, Utah January-December Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,60.0,2.7
199002,60.5,3.2
199003,60.3,3.0
199004,60.2,2.9
199005,60.0,2.7
199006,60.4,3.1
199007,60.0,2.7
199008,60.3,3.0
199009,60.5,3.2
199010,60.5,3.2
199011,60.1,2.8
199012,59.2,1.9
199101,58.3,1.0
199102,58.7,1.4
199103,58.4,1.1
199104,57.7,0.4
199105,57.7,0.4
199106,57.4,0.1
199107,57.4,0.1
199108,57.3,0.0
199109,57.0,-0.3
199110,57.2,-0.1
199111,56.9,-0.4
199112,57.3,0.0
199201,57.6,0.3
199202,57.6,0.3
199203,58.1,0.8
199204,59.0,1.7
199205,59.4,2.1
199206,59.3,2.0
199207,59.0,1.7
199208,59.0,1.7
199209,59.1,1.8
199210,59.2,1.9
199211,59.1,1.8
199212,58.9,1.6
199301,58.9,1.6
199302,58.2,0.9
199303,57.8,0.5
199304,56.9,-0.4
199305,56.7,-0.6
199306,56.5,-0.8
199307,56.6,-0.7
199308,56.3,-1.0
199309,56.2,-1.1
199310,55.6,-1.7
199311,55.7,-1.6
199312,56.1,-1.2
199401,56.9,-0.4
199402,57.4,0.1
199403,57.9,0.6
199404,58.3,1.0
199405,58.6,1.3
199406,59.4,2.1
199407,59.9,2.6
199408,60.3,3.0
199409,60.5,3.2
199410,60.5,3.2
199411,60.4,3.1
199412,60.4,3.1
199501,60.0,2.7
199502,60.8,3.5
199503,60.5,3.2
199504,60.1,2.8
199505,59.0,1.7
199506,58.0,0.7
199507,57.6,0.3
199508,57.6,0.3
199509,57.5,0.2
199510,57.9,0.6
199511,59.0,1.7
199512,59.4,2.1
199601,59.5,2.2
199602,58.9,1.6
199603,59.0,1.7
199604,59.3,2.0
199605,60.1,2.8
199606,60.8,3.5
199607,61.2,3.9
199608,61.3,4.0
199609,61.0,3.7
199610,60.8,3.5
199611,60.3,3.0
199612,59.8,2.5
199701,59.5,2.2
199702,58.9,1.6
199703,59.0,1.7
199704,58.4,1.1
199705,58.4,1.1
199706,58.2,0.9
199707,57.9,0.6
199708,57.5,0.2
199709,57.5,0.2
199710,57.6,0.3
199711,57.4,0.1
199712,57.1,-0.2
199801,57.7,0.4
199802,58.0,0.7
199803,57.8,0.5
199804,58.1,0.8
199805,57.9,0.6
199806,57.4,0.1
199807,57.7,0.4
199808,57.9,0.6
199809,58.4,1.1
199810,58.4,1.1
199811,58.7,1.4
199812,58.8,1.5
199901,58.8,1.5
199902,59.2,1.9
199903,59.7,2.4
199904,59.5,2.2
199905,59.3,2.0
199906,59.7,2.4
