Uintah County, Utah January-December Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,32.9,1.5
199002,33.5,2.1
199003,33.6,2.2
199004,33.6,2.2
199005,33.4,2.0
199006,33.7,2.3
199007,33.5,2.1
199008,33.6,2.2
199009,34.0,2.6
199010,34.0,2.6
199011,33.9,2.5
199012,33.0,1.6
199101,32.2,0.8
199102,32.4,1.0
199103,32.0,0.6
199104,31.5,0.1
199105,31.5,0.1
199106,31.4,0.0
199107,31.3,-0.1
199108,31.4,0.0
199109,31.1,-0.3
199110,31.1,-0.3
199111,31.0,-0.4
199112,31.8,0.4
199201,32.0,0.6
199202,32.4,1.0
199203,32.8,1.4
199204,33.5,2.1
199205,33.8,2.4
199206,33.8,2.4
199207,33.6,2.2
199208,33.6,2.2
199209,33.6,2.2
199210,33.8,2.4
199211,33.7,2.3
199212,33.3,1.9
199301,33.5,2.1
199302,32.7,1.3
199303,32.3,0.9
199304,31.8,0.4
199305,31.6,0.2
199306,31.5,0.1
199307,31.3,-0.1
199308,31.1,-0.3
199309,30.9,-0.5
199310,30.6,-0.8
199311,30.4,-1.0
199312,30.8,-0.6
199401,31.4,0.0
199402,31.8,0.4
199403,32.0,0.6
199404,32.2,0.8
199405,32.3,0.9
199406,32.7,1.3
199407,33.2,1.8
199408,33.6,2.2
199409,33.8,2.4
199410,33.8,2.4
199411,33.9,2.5
199412,34.2,2.8
199501,34.2,2.8
199502,34.8,3.4
199503,34.8,3.4
199504,34.5,3.1
199505,34.1,2.7
199506,33.5,2.1
199507,33.2,1.8
199508,33.1,1.7
199509,33.1,1.7
199510,32.9,1.5
199511,33.5,2.1
199512,33.5,2.1
199601,33.2,1.8
199602,32.7,1.3
199603,32.5,1.1
199604,32.6,1.2
199605,32.9,1.5
199606,33.3,1.9
199607,33.7,2.3
199608,33.6,2.2
199609,33.3,1.9
199610,33.4,2.0
199611,33.2,1.8
199612,33.1,1.7
199701,33.1,1.7
199702,32.5,1.1
199703,32.4,1.0
199704,32.3,0.9
199705,32.2,0.8
199706,32.3,0.9
199707,32.0,0.6
199708,32.0,0.6
199709,32.4,1.0
199710,32.5,1.1
199711,32.4,1.0
199712,32.1,0.7
199801,32.7,1.3
199802,33.5,2.1
199803,33.5,2.1
199804,33.7,2.3
199805,33.6,2.2
199806,33.2,1.8
199807,33.6,2.2
199808,33.6,2.2
199809,33.6,2.2
199810,33.8,2.4
199811,34.1,2.7
199812,33.8,2.4
199901,33.7,2.3
199902,33.6,2.2
199903,33.9,2.5
199904,33.8,2.4
199905,33.6,2.2
199906,33.8,2.4
199907,33.6,2.2
199908,33.5,2.1
199909,33.0,1.6
199910,32.9,1.5
199911,32.9,1.5
199912,33.3,1.9
200001,33.3,1.9
200002,33.6,2.2
200003,33.6,2.2
200004,34.0,2.6
200005,34.5,3.1
200006,34.7,3.3
200007,34.7,3.3
200008,35.0,3.6
200009,35.2,3.8
200010,35.4,4.0
200011,34.6,3.2
200012,34.7,3.3
200101,34.1,2.7
200102,33.7,2.3
200103,33.9,2.5
200104,33.8,2.4
200105,33.7,2.3
200106,33.8,2.4
200107,33.8,2.4
200108,33.7,2.3
200109,33.9,2.5
200110,33.8,2.4
200111,34.7,3.3
200112,34.2,2.8
200201,34.0,2.6
200202,33.5,2.1
200203,32.8,1.4
200204,32.8,1.4
200205,32.6,1.2
200206,32.7,1.3
200207,32.9,1.5
200208,32.6,1.2
200209,32.6,1.2
200210,32.3,0.9
200211,32.0,0.6
200212,32.3,0.9
200301,33.0,1.6
200302,33.4,2.0
200303,34.0,2.6
200304,33.9,2.5
200305,34.0,2.6
200306,33.8,2.4
200307,33.8,2.4
200308,34.1,2.7
200309,34.0,2.6
200310,34.4,3.0
200311,34.4,3.0
200312,34.6,3.2
200401,33.9,2.5
200402,33.6,2.2
200403,33.8,2.4
200404,33.9,2.5
200405,34.0,2.6
200406,34.0,2.6
200407,33.7,2.3
200408,33.2,1.8
200409,33.3,1.9
200410,33.2,1.8
200411,33.5,2.1
200412,33.6,2.2
200501,34.5,3.1
200502,35.1,3.7
200503,34.8,3.4
200504,34.6,3.2
200505,34.4,3.0
200506,34.2,2.8
200507,34.3,2.9
200508,34.4,3.0
200509,34.3,2.9
200510,34.3,2.9
200511,34.3,2.9
200512,34.1,2.7
200601,33.7,2.3
200602,33.3,1.9
200603,33.1,1.7
200604,33.3,1.9
200605,33.4,2.0
200606,33.8,2.4
200607,34.0,2.6
200608,34.0,2.6
200609,33.8,2.4
200610,33.6,2.2
200611,33.6,2.2
200612,33.6,2.2
200701,32.4,1.0
200702,32.7,1.3
200703,33.1,1.7
200704,33.2,1.8
200705,33.1,1.7
200706,33.1,1.7
200707,33.1,1.7
200708,33.4,2.0
200709,33.8,2.4
200710,33.8,2.4
200711,33.8,2.4
200712,33.3,1.9
200801,33.4,2.0
200802,32.8,1.4
200803,32.2,0.8
200804,31.6,0.2
200805,31.3,-0.1
200806,31.0,-0.4
200807,30.8,-0.6
200808,30.6,-0.8
200809,30.5,-0.9
200810,30.5,-0.9
200811,30.7,-0.7
200812,31.1,-0.3
200901,31.9,0.5
200902,32.4,1.0
200903,32.8,1.4
200904,33.1,1.7
200905,33.5,2.1
200906,33.5,2.1
200907,33.3,1.9
200908,33.1,1.7
200909,33.4,2.0
200910,33.2,1.8
200911,32.9,1.5
200912,32.2,0.8
201001,31.9,0.5
201002,31.2,-0.2
201003,31.1,-0.3
201004,31.2,-0.2
201005,30.6,-0.8
201006,30.9,-0.5
201007,30.9,-0.5
201008,31.0,-0.4
201009,30.8,-0.6
201010,31.3,-0.1
201011,31.2,-0.2
201012,32.6,1.2
201101,32.3,0.9
201102,32.1,0.7
201103,32.3,0.9
201104,32.2,0.8
201105,32.4,1.0
201106,32.1,0.7
201107,32.2,0.8
201108,32.4,1.0
201109,32.6,1.2
201110,32.4,1.0
201111,32.4,1.0
201112,31.7,0.3
201201,32.5,1.1
201202,33.4,2.0
201203,33.6,2.2
201204,33.9,2.5
201205,34.3,2.9
201206,34.6,3.2
201207,34.7,3.3
201208,34.7,3.3
201209,34.7,3.3
201210,34.6,3.2
201211,35.0,3.6
201212,35.1,3.7
201301,33.9,2.5
201302,33.2,1.8
201303,32.8,1.4
201304,32.4,1.0
201305,32.3,0.9
201306,32.3,0.9
201307,32.4,1.0
201308,32.3,0.9
201309,32.5,1.1
201310,32.3,0.9
201311,32.1,0.7
201312,31.4,0.0
201401,32.4,1.0
201402,33.3,1.9
201403,33.5,2.1
201404,33.7,2.3
201405,33.8,2.4
201406,33.5,2.1
201407,33.5,2.1
201408,33.3,1.9
201409,33.3,1.9
201410,33.7,2.3
201411,33.6,2.2
201412,34.7,3.3
201501,35.2,3.8
201502,35.5,4.1
201503,35.7,4.3
201504,35.8,4.4
201505,35.7,4.3
201506,36.1,4.7
201507,35.8,4.4
201508,35.9,4.5
201509,36.0,4.6
201510,36.2,4.8
201511,36.2,4.8
201512,35.5,4.1
201601,34.8,3.4
201602,34.3,2.9
201603,34.1,2.7
201604,34.3,2.9
201605,34.2,2.8
201606,34.2,2.8
201607,34.3,2.9
201608,34.2,2.8
201609,34.0,2.6
201610,33.8,2.4
201611,34.3,2.9
201612,34.6,3.2
201701,34.6,3.2
201702,35.0,3.6
201703,35.4,4.0
201704,35.1,3.7
