Uintah County, Utah December Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-4.10,-4.47
199002,-3.55,-3.93
199003,-3.61,-3.99
199004,-3.88,-4.19
199005,-4.27,-4.64
199006,-4.12,-4.51
199007,-4.24,-4.72
199008,-4.66,-5.04
199009,-4.18,-4.77
199010,-3.78,-4.27
199011,-3.48,-3.88
199012,-3.08,-3.38
199101,-3.07,-3.44
199102,-3.25,-3.63
199103,-2.85,-3.23
199104,-2.23,-2.54
199105,-2.20,-2.57
199106,-2.33,-2.72
199107,-2.47,-2.95
199108,-1.98,-2.36
199109,-1.33,-1.92
199110,-1.12,-1.61
199111,-0.97,-1.37
199112,-1.29,-1.59
199201,-1.55,-1.92
199202,-1.44,-1.82
199203,-1.71,-2.09
199204,-2.80,-3.11
199205,-2.43,-2.80
199206,-2.85,-3.24
199207,-2.17,-2.65
199208,-2.16,-2.54
199209,-2.39,-2.98
199210,-2.27,-2.76
199211,0.16,-0.24
199212,0.19,-0.11
199301,1.05,0.68
199302,1.66,1.28
199303,2.33,1.95
199304,2.37,2.06
199305,3.01,2.64
199306,3.30,2.91
199307,3.23,2.75
199308,3.36,2.98
199309,2.65,2.06
199310,3.19,2.70
199311,0.03,-0.37
199312,-0.36,-0.66
199401,-0.75,-1.12
199402,-0.30,-0.68
199403,-0.99,-1.37
199404,-0.79,-1.10
199405,-1.36,-1.73
199406,-2.17,-2.56
199407,-2.98,-3.46
199408,-2.99,-3.37
199409,0.12,-0.47
199410,1.74,1.25
199411,2.36,1.96
199412,2.11,1.81
199501,2.23,1.86
199502,2.20,1.82
199503,2.06,1.68
199504,2.34,2.03
199505,4.15,3.78
199506,5.02,4.63
199507,6.03,5.55
199508,5.87,5.49
199509,5.32,4.73
199510,-0.63,-1.12
199511,-1.35,-1.75
199512,-1.76,-2.06
199601,-1.55,-1.92
199602,-1.29,-1.67
199603,-1.53,-1.91
199604,-1.62,-1.93
199605,-1.49,-1.86
199606,-1.77,-2.16
199607,-1.95,-2.43
199608,-2.56,-2.94
199609,0.43,-0.16
199610,0.63,0.14
199611,0.93,0.53
199612,0.89,0.59
199701,1.52,1.15
199702,1.65,1.27
199703,0.93,0.55
199704,1.83,1.52
199705,2.00,1.63
199706,2.32,1.93
199707,2.16,1.68
199708,3.59,3.21
199709,5.18,4.59
199710,4.80,4.31
199711,4.36,3.96
199712,3.65,3.35
199801,3.21,2.84
199802,3.29,2.91
199803,3.28,2.90
199804,3.06,2.75
199805,2.62,2.25
199806,3.42,3.03
199807,3.92,3.44
199808,3.42,3.04
199809,2.70,2.11
199810,2.94,2.45
199811,2.80,2.40
199812,-0.20,-0.50
199901,-0.27,-0.64
199902,-0.34,-0.72
199903,-1.33,-1.71
199904,1.59,1.28
199905,2.05,1.68
199906,2.12,1.73
199907,2.53,2.05
199908,3.11,2.73
199909,2.91,2.32
199910,-0.87,-1.36
199911,-1.68,-2.08
199912,-2.01,-2.31
200001,-2.09,-2.46
200002,-1.46,-1.84
200003,-1.47,-1.85
200004,-1.83,-2.14
200005,-2.46,-2.83
200006,-2.88,-3.27
200007,-3.56,-4.04
200008,-3.53,-3.91
200009,-2.76,-3.35
200010,-2.00,-2.49
200011,-1.90,-2.30
200012,-2.13,-2.43
200101,-2.05,-2.42
200102,-1.68,-2.06
200103,-2.07,-2.45
200104,-1.59,-1.90
200105,-1.65,-2.02
200106,-2.38,-2.77
200107,-2.49,-2.97
200108,-2.33,-2.71
200109,-2.78,-3.37
200110,-3.07,-3.56
200111,-2.82,-3.22
200112,-2.84,-3.14
200201,-3.12,-3.49
200202,-3.55,-3.93
200203,-3.58,-3.96
200204,-4.17,-4.48
200205,-5.07,-5.44
200206,-6.00,-6.39
200207,-6.42,-6.90
200208,-6.63,-7.01
200209,-4.88,-5.47
200210,-4.13,-4.62
200211,-3.65,-4.05
200212,-3.62,-3.92
200301,-3.75,-4.12
200302,-3.36,-3.74
200303,-3.17,-3.55
200304,-3.40,-3.71
200305,-3.16,-3.53
200306,-3.12,-3.51
