Uintah County, Utah December Palmer Hydrological Drought Index (PHDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-4.10,-4.64
199002,-3.55,-4.26
199003,-3.61,-4.27
199004,-3.88,-4.52
199005,-4.27,-4.94
199006,-4.12,-4.67
199007,-4.24,-4.80
199008,-4.66,-5.22
199009,-4.18,-4.86
199010,-3.78,-4.45
199011,-3.48,-4.14
199012,-3.08,-3.58
199101,-3.07,-3.61
199102,-3.25,-3.96
199103,-2.85,-3.51
199104,-2.23,-2.87
199105,-2.20,-2.87
199106,-2.33,-2.88
199107,-2.47,-3.03
199108,-1.98,-2.54
199109,-1.33,-2.01
199110,-1.12,-1.79
199111,-0.97,-1.63
199112,-1.29,-1.79
199201,-1.55,-2.09
199202,-1.44,-2.15
199203,-1.71,-2.37
199204,-2.80,-3.44
199205,-2.43,-3.10
199206,-2.85,-3.40
199207,-2.17,-2.73
199208,-2.16,-2.72
199209,-2.39,-3.07
199210,-2.27,-2.94
199211,-1.88,-2.54
199212,-1.64,-2.14
199301,-0.59,-1.13
199302,1.66,0.95
199303,2.33,1.67
199304,2.37,1.73
199305,3.01,2.34
199306,3.30,2.75
199307,3.23,2.67
199308,3.36,2.80
199309,2.65,1.97
199310,3.19,2.52
199311,2.90,2.24
199312,2.24,1.74
199401,1.58,1.04
199402,1.79,1.08
199403,0.89,0.23
199404,0.89,0.25
199405,-1.36,-2.03
199406,-2.17,-2.72
199407,-2.98,-3.54
199408,-2.99,-3.55
199409,-2.57,-3.25
199410,-0.67,-1.34
199411,2.36,1.70
199412,2.11,1.61
199501,2.23,1.69
199502,2.20,1.49
199503,2.06,1.40
199504,2.34,1.70
199505,4.15,3.48
199506,5.02,4.47
199507,6.03,5.47
199508,5.87,5.31
199509,5.32,4.64
199510,4.15,3.48
199511,2.93,2.27
199512,2.08,1.58
199601,1.90,1.36
199602,1.80,1.09
199603,1.24,0.58
199604,0.87,0.23
199605,0.74,0.07
199606,-1.77,-2.32
199607,-1.95,-2.51
199608,-2.56,-3.12
199609,-1.87,-2.55
199610,-1.43,-2.10
199611,-0.91,-1.57
199612,-0.76,-1.26
199701,1.52,0.98
199702,1.65,0.94
199703,0.93,0.27
199704,1.83,1.19
199705,2.00,1.33
199706,2.32,1.77
199707,2.16,1.60
199708,3.59,3.03
199709,5.18,4.50
199710,4.80,4.13
199711,4.36,3.70
199712,3.65,3.15
199801,3.21,2.67
199802,3.29,2.58
199803,3.28,2.62
199804,3.06,2.42
199805,2.62,1.95
199806,3.42,2.87
199807,3.92,3.36
199808,3.42,2.86
199809,2.70,2.02
199810,2.94,2.27
199811,2.80,2.14
199812,2.31,1.81
199901,1.98,1.44
199902,1.68,0.97
199903,-1.33,-1.99
199904,1.59,0.95
199905,2.05,1.38
199906,2.12,1.57
199907,2.53,1.97
199908,3.11,2.55
199909,2.91,2.23
199910,1.74,1.07
199911,0.66,0.00
199912,-2.01,-2.51
200001,-2.09,-2.63
200002,-1.46,-2.17
200003,-1.47,-2.13
200004,-1.83,-2.47
200005,-2.46,-3.13
200006,-2.88,-3.43
200007,-3.56,-4.12
200008,-3.53,-4.09
200009,-2.76,-3.44
200010,-2.00,-2.67
200011,-1.90,-2.56
200012,-2.13,-2.63
200101,-2.05,-2.59
200102,-1.68,-2.39
200103,-2.07,-2.73
200104,-1.59,-2.23
200105,-1.65,-2.32
200106,-2.38,-2.93
200107,-2.49,-3.05
200108,-2.33,-2.89
200109,-2.78,-3.46
200110,-3.07,-3.74
200111,-2.82,-3.48
200112,-2.84,-3.34
200201,-3.12,-3.66
200202,-3.55,-4.26
200203,-3.58,-4.24
200204,-4.17,-4.81
200205,-5.07,-5.74
200206,-6.00,-6.55
200207,-6.42,-6.98
200208,-6.63,-7.19
200209,-4.88,-5.56
200210,-4.13,-4.80
200211,-3.65,-4.31
200212,-3.62,-4.12
200301,-3.75,-4.29
200302,-3.36,-4.07
200303,-3.17,-3.83
200304,-3.40,-4.04
200305,-3.16,-3.83
200306,-3.12,-3.67
200307,-3.89,-4.45
200308,-4.19,-4.75
200309,-4.15,-4.83
200310,-4.71,-5.38
200311,-3.83,-4.49
200312,-3.10,-3.60
200401,-3.08,-3.62
200402,-2.51,-3.22
200403,-3.45,-4.11
200404,-3.16,-3.80
200405,-3.71,-4.38
200406,-3.94,-4.49
200407,-4.08,-4.64
200408,-4.18,-4.74
200409,-3.07,-3.75
200410,-1.03,-1.70
200411,2.83,2.17
200412,2.68,2.18
200501,3.83,3.29
200502,4.16,3.45
200503,4.18,3.52
200504,3.86,3.22
200505,3.94,3.27
200506,4.60,4.05
200507,4.46,3.90
200508,4.22,3.66
200509,4.17,3.49
200510,3.65,2.98
200511,2.89,2.23
200512,2.08,1.58
200601,1.71,1.17
200602,0.83,0.12
200603,1.10,0.44
200604,-1.50,-2.14
200605,-2.35,-3.02
200606,-3.05,-3.60
200607,-3.30,-3.86
200608,-3.29,-3.85
200609,-2.38,-3.06
200610,2.28,1.61
200611,1.93,1.27
200612,1.59,1.09
200701,1.38,0.84
200702,1.15,0.44
