Uintah County, Utah December Palmer Modified Drought Index (PMDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-4.10,-4.59
199002,-3.33,-3.88
199003,-3.61,-4.10
199004,-3.88,-4.33
199005,-4.27,-4.76
199006,-4.12,-4.59
199007,-4.24,-4.74
199008,-4.66,-5.15
199009,-4.11,-4.69
199010,-3.70,-4.33
199011,-3.44,-4.02
199012,-2.93,-3.37
199101,-3.07,-3.56
199102,-3.25,-3.80
199103,-2.71,-3.20
199104,-1.64,-2.09
199105,-1.81,-2.30
199106,-2.28,-2.75
199107,-2.47,-2.97
199108,-1.60,-2.09
199109,-0.33,-0.91
199110,-0.02,-0.65
199111,0.15,-0.43
199112,-0.64,-1.08
199201,-1.22,-1.71
199202,-1.09,-1.64
199203,-1.71,-2.20
199204,-2.80,-3.25
199205,-2.27,-2.76
199206,-2.85,-3.32
199207,-1.63,-2.13
199208,-1.82,-2.31
199209,-2.39,-2.97
199210,-2.27,-2.90
199211,-1.59,-2.17
199212,-1.23,-1.67
199301,1.00,0.51
199302,1.66,1.11
199303,2.33,1.84
199304,2.37,1.92
199305,3.01,2.52
199306,3.30,2.83
199307,3.23,2.73
199308,3.36,2.87
199309,2.15,1.57
199310,3.19,2.56
199311,2.88,2.30
199312,1.72,1.28
199401,0.49,0.00
199402,1.12,0.57
199403,-0.62,-1.11
199404,-0.45,-0.90
199405,-1.36,-1.85
199406,-2.17,-2.64
199407,-2.98,-3.48
199408,-2.99,-3.48
199409,-2.37,-2.95
199410,1.60,0.97
199411,2.36,1.78
199412,2.04,1.60
199501,2.23,1.74
199502,2.20,1.65
199503,2.06,1.57
199504,2.34,1.89
199505,4.15,3.66
199506,5.02,4.55
199507,6.03,5.53
199508,5.87,5.38
199509,5.32,4.74
199510,3.39,2.76
199511,1.27,0.69
199512,-0.14,-0.58
199601,-0.21,-0.70
199602,-0.14,-0.69
199603,-0.93,-1.42
199604,-1.36,-1.81
199605,-1.35,-1.84
199606,-1.77,-2.24
199607,-1.95,-2.45
199608,-2.56,-3.05
199609,-1.26,-1.84
199610,-0.46,-1.09
199611,0.51,-0.07
199612,0.66,0.22
199701,1.52,1.03
199702,1.65,1.10
199703,0.02,-0.47
199704,1.83,1.38
199705,2.00,1.51
199706,2.32,1.85
199707,2.16,1.66
199708,3.59,3.10
199709,5.18,4.60
199710,4.80,4.17
199711,4.36,3.78
199712,3.29,2.85
199801,2.72,2.23
199802,3.20,2.65
199803,3.28,2.79
199804,3.06,2.61
199805,2.41,1.92
199806,3.42,2.95
199807,3.92,3.42
199808,3.25,2.76
199809,2.04,1.46
199810,2.83,2.20
199811,2.80,2.22
199812,2.00,1.56
199901,1.49,1.00
199902,1.03,0.48
199903,-1.33,-1.82
199904,1.59,1.14
199905,2.05,1.56
199906,2.12,1.65
199907,2.53,2.03
199908,3.11,2.62
199909,2.91,2.33
199910,0.60,-0.03
199911,-1.54,-2.12
199912,-2.01,-2.45
200001,-2.09,-2.58
200002,-0.82,-1.37
200003,-1.00,-1.49
200004,-1.83,-2.28
200005,-2.46,-2.95
200006,-2.88,-3.35
200007,-3.56,-4.06
200008,-3.53,-4.02
200009,-2.21,-2.79
200010,-0.86,-1.49
200011,-0.86,-1.44
200012,-1.55,-1.99
200101,-1.56,-2.05
200102,-1.00,-1.55
200103,-1.88,-2.37
200104,-1.01,-1.46
200105,-1.28,-1.77
200106,-2.38,-2.85
200107,-2.49,-2.99
200108,-2.33,-2.82
200109,-2.78,-3.36
200110,-3.07,-3.70
200111,-2.82,-3.40
200112,-2.84,-3.28
200201,-3.12,-3.61
200202,-3.55,-4.10
200203,-3.58,-4.07
200204,-4.17,-4.62
200205,-5.07,-5.56
200206,-6.00,-6.47
200207,-6.42,-6.92
200208,-6.63,-7.12
200209,-3.66,-4.24
200210,-2.61,-3.24
200211,-2.08,-2.66
200212,-2.41,-2.85
200301,-3.00,-3.49
200302,-2.57,-3.12
200303,-2.48,-2.97
200304,-3.17,-3.62
200305,-3.00,-3.49
200306,-3.12,-3.59
200307,-3.89,-4.39
200308,-4.19,-4.68
200309,-4.15,-4.73
200310,-4.71,-5.34
200311,-3.34,-3.92
200312,-2.18,-2.62
200401,-2.45,-2.94
200402,-1.56,-2.11
200403,-3.45,-3.94
200404,-3.16,-3.61
200405,-3.71,-4.20
200406,-3.94,-4.41
200407,-4.08,-4.58
200408,-4.18,-4.67
200409,-2.22,-2.80
200410,1.80,1.17
200411,2.83,2.25
200412,2.68,2.24
200501,3.83,3.34
200502,4.16,3.61
200503,4.18,3.69
200504,3.86,3.41
200505,3.94,3.45
200506,4.60,4.13
200507,4.46,3.96
200508,4.22,3.73
200509,4.17,3.59
200510,3.49,2.86
200511,2.24,1.66
200512,0.80,0.36
200601,0.26,-0.23
200602,-1.31,-1.86
