Uintah County, Utah December Palmer Z-Index
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-1.11,-1.27
199002,0.41,0.16
199003,-1.30,-1.42
199004,-1.92,-2.03
199005,-2.37,-2.61
199006,-0.88,-0.99
199007,-1.61,-1.92
199008,-2.59,-2.79
199009,0.02,-0.39
199010,-0.10,-0.28
199011,-0.27,-0.34
199012,0.13,0.24
199101,-0.94,-1.10
199102,-1.47,-1.72
199103,0.20,0.08
199104,0.97,0.86
199105,-0.61,-0.85
199106,-1.05,-1.16
199107,-1.16,-1.47
199108,0.72,0.52
199109,1.33,0.92
199110,0.22,0.04
199111,0.09,0.02
199112,-1.27,-1.16
199201,-1.18,-1.34
199202,-0.13,-0.38
199203,-1.26,-1.38
199204,-3.79,-3.90
199205,0.23,-0.01
199206,-2.01,-2.12
199207,1.16,0.85
199208,-0.63,-0.83
199209,-1.37,-1.78
199210,-0.39,-0.57
199211,0.49,0.42
199212,0.15,0.26
199301,2.63,2.47
199302,2.15,1.90
199303,2.52,2.40
199304,0.86,0.75
199305,2.63,2.39
199306,1.82,1.71
199307,0.82,0.51
199308,1.36,1.16
199309,-1.09,-1.50
199310,2.46,2.28
199311,0.10,0.03
199312,-1.08,-0.97
199401,-1.28,-1.44
199402,1.11,0.86
199403,-2.15,-2.27
199404,0.28,0.17
199405,-1.93,-2.17
199406,-2.85,-2.96
199407,-3.09,-3.40
199408,-0.97,-1.17
199409,0.35,-0.06
199410,4.91,4.73
199411,2.40,2.33
199412,-0.02,0.09
199501,1.00,0.84
199502,0.61,0.36
199503,0.26,0.14
199504,1.46,1.35
199505,6.15,5.91
199506,3.90,3.79
199507,4.58,4.27
199508,1.38,1.18
199509,0.17,-0.24
199510,-1.88,-2.06
199511,-2.36,-2.43
199512,-1.64,-1.53
199601,0.09,-0.07
199602,0.28,0.03
199603,-1.10,-1.22
199604,-0.74,-0.85
199605,-0.12,-0.36
199606,-1.30,-1.41
199607,-1.08,-1.39
199608,-2.43,-2.63
199609,1.28,0.87
199610,0.74,0.56
199611,1.11,1.04
199612,0.17,0.28
199701,2.17,2.01
199702,0.86,0.61
199703,-1.66,-1.78
199704,2.98,2.87
199705,1.09,0.85
199706,1.57,1.46
199707,0.25,-0.06
199708,4.95,4.75
199709,5.87,5.46
199710,0.47,0.29
199711,0.17,0.10
199712,-0.79,-0.68
199801,-0.20,-0.36
199802,1.23,0.98
199803,1.00,0.88
199804,0.36,0.25
199805,-0.37,-0.61
199806,3.21,3.10
199807,2.54,2.23
199808,-0.28,-0.48
199809,-1.12,-1.53
199810,1.57,1.39
199811,0.47,0.40
199812,-0.60,-0.49
199901,-0.28,-0.44
199902,-0.28,-0.53
199903,-3.07,-3.19
199904,4.78,4.67
199905,1.85,1.61
199906,0.84,0.73
199907,1.89,1.58
199908,2.54,2.34
199909,0.36,-0.05
199910,-2.62,-2.80
