Uintah County, Utah January-December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,8.01,-4.15
199002,8.19,-3.98
199003,8.54,-3.64
199004,9.14,-3.03
199005,9.20,-2.97
199006,10.24,-1.94
199007,10.29,-1.89
199008,9.47,-2.72
199009,9.86,-2.33
199010,10.40,-1.80
199011,10.73,-1.46
199012,11.59,-0.60
199101,11.43,-0.73
199102,10.45,-1.72
199103,10.72,-1.46
199104,11.21,-0.96
199105,11.37,-0.80
199106,10.48,-1.70
199107,10.31,-1.87
199108,11.52,-0.67
199109,11.85,-0.34
199110,12.04,-0.16
199111,12.08,-0.11
199112,11.44,-0.75
199201,11.40,-0.76
199202,12.01,-0.16
199203,11.81,-0.37
199204,10.65,-1.52
199205,12.13,-0.04
199206,12.14,-0.04
199207,13.33,1.15
199208,12.79,0.60
199209,11.71,-0.48
199210,11.60,-0.60
199211,11.77,-0.42
199212,12.36,0.17
199301,13.84,1.68
199302,14.34,2.17
199303,15.03,2.85
199304,15.95,3.78
199305,15.61,3.44
199306,15.55,3.37
199307,14.13,1.95
199308,14.46,2.27
199309,14.36,2.17
199310,15.27,3.07
199311,14.97,2.78
199312,14.30,2.11
199401,12.62,0.46
199402,12.47,0.30
199403,11.11,-1.07
199404,11.54,-0.63
199405,10.22,-1.95
199406,9.88,-2.30
199407,9.70,-2.48
199408,9.47,-2.72
199409,10.34,-1.85
199410,11.51,-0.69
199411,12.37,0.18
199412,12.58,0.39
199501,13.24,1.08
199502,12.78,0.61
199503,13.27,1.09
199504,13.13,0.96
199505,15.99,3.82
199506,17.17,4.99
199507,17.92,5.74
199508,17.73,5.54
199509,17.36,5.17
199510,14.26,2.06
199511,12.95,0.76
199512,12.73,0.54
199601,12.89,0.73
199602,13.15,0.98
199603,13.07,0.89
199604,12.50,0.33
199605,10.54,-1.63
199606,10.00,-2.18
199607,9.96,-2.22
199608,9.46,-2.73
199609,10.04,-2.15
199610,11.21,-0.99
199611,12.32,0.13
199612,12.96,0.77
199701,13.58,1.42
199702,13.41,1.24
199703,12.71,0.53
199704,13.93,1.76
199705,13.79,1.62
199706,13.97,1.79
199707,13.63,1.45
199708,16.17,3.98
199709,18.03,5.84
199710,17.81,5.61
199711,17.25,5.06
199712,16.81,4.62
199801,15.86,3.70
199802,16.23,4.06
199803,17.50,5.32
199804,16.43,4.26
199805,15.81,3.64
199806,16.95,4.77
199807,17.72,5.54
199808,15.60,3.41
199809,12.88,0.69
199810,13.58,1.38
199811,13.89,1.70
199812,13.98,1.79
199901,13.94,1.78
199902,13.34,1.17
199903,12.05,-0.13
199904,14.31,2.14
199905,15.22,3.05
199906,13.76,1.58
199907,13.77,1.59
199908,14.87,2.68
199909,15.23,3.04
199910,13.47,1.27
199911,12.59,0.40
199912,12.38,0.19
200001,12.37,0.21
200002,13.26,1.09
200003,14.26,2.08
200004,11.93,-0.24
200005,11.01,-1.16
200006,10.98,-1.20
200007,9.87,-2.31
200008,9.05,-3.14
200009,9.64,-2.55
200010,11.36,-0.84
200011,11.76,-0.43
200012,11.75,-0.44
200101,11.83,-0.33
200102,11.35,-0.82
200103,10.94,-1.24
200104,11.78,-0.39
200105,12.18,0.01
200106,11.63,-0.55
200107,12.42,0.24
200108,12.61,0.42
200109,11.40,-0.79
200110,10.10,-2.10
200111,10.53,-1.66
200112,10.73,-1.46
200201,10.19,-1.97
200202,9.24,-2.93
200203,9.33,-2.85
200204,7.93,-4.24
200205,6.98,-5.19
200206,6.99,-5.19
200207,6.57,-5.61
200208,5.71,-6.48
200209,7.75,-4.44
200210,8.60,-3.60
200211,8.39,-3.80
200212,8.30,-3.89
200301,8.37,-3.79
200302,9.22,-2.95
200303,9.69,-2.49
200304,9.81,-2.36
200305,11.23,-0.94
200306,12.06,-0.12
200307,11.48,-0.70
200308,11.75,-0.44
200309,9.95,-2.24
200310,8.79,-3.41
200311,9.23,-2.96
200312,10.07,-2.12
200401,10.14,-2.02
200402,10.22,-1.95
200403,9.03,-3.15
200404,10.11,-2.06
200405,8.89,-3.28
200406,8.53,-3.65
200407,9.13,-3.05
200408,9.05,-3.14
200409,10.33,-1.86
200410,13.67,1.47
200411,13.90,1.71
200412,13.29,1.10
200501,15.17,3.01
200502,15.06,2.89
200503,16.01,3.83
200504,15.47,3.30
200505,16.42,4.25
200506,17.31,5.13
200507,16.90,4.72
200508,17.56,5.37
200509,17.10,4.91
200510,14.71,2.51
200511,13.77,1.58
200512,13.39,1.20
200601,11.96,-0.20
200602,11.16,-1.01
200603,11.98,-0.20
200604,11.70,-0.47
200605,10.78,-1.39
200606,9.77,-2.41
200607,10.51,-1.67
200608,10.16,-2.03
200609,10.37,-1.82
200610,12.67,0.47
200611,12.68,0.49
200612,12.85,0.66
200701,12.63,0.47
200702,13.00,0.83
200703,11.58,-0.60
200704,11.42,-0.75
200705,12.17,0.00
200706,11.75,-0.43
200707,11.25,-0.93
200708,11.37,-0.82
200709,11.42,-0.77
200710,8.84,-3.36
200711,8.51,-3.68
200712,10.13,-2.06
200801,10.60,-1.56
200802,11.13,-1.04
200803,11.36,-0.82
200804,11.36,-0.81
200805,11.05,-1.12
200806,12.13,-0.05
200807,12.15,-0.03
200808,12.02,-0.17
200809,11.43,-0.76
200810,11.28,-0.92
200811,11.66,-0.53
200812,10.92,-1.27
200901,10.93,-1.23
200902,10.31,-1.86
200903,9.97,-2.21
200904,10.93,-1.24
200905,11.39,-0.78
200906,12.05,-0.13
200907,12.11,-0.07
200908,11.73,-0.46
200909,11.63,-0.56
200910,11.63,-0.57
200911,11.39,-0.80
200912,11.27,-0.92
201001,10.96,-1.20
201002,10.98,-1.19
201003,11.56,-0.62
201004,11.35,-0.82
201005,11.05,-1.12
201006,10.28,-1.90
201007,10.41,-1.77
201008,11.27,-0.92
201009,10.53,-1.66
201010,11.43,-0.77
201011,12.22,0.03
201012,13.93,1.74
201101,13.31,1.15
201102,13.68,1.51
201103,13.35,1.17
201104,13.11,0.94
201105,15.02,2.85
201106,14.75,2.57
201107,16.94,4.76
201108,16.51,4.32
201109,16.76,4.57
201110,16.79,4.59
201111,16.28,4.09
201112,13.80,1.61
201201,14.05,1.89
201202,13.84,1.67
201203,13.35,1.17
201204,12.69,0.52
201205,9.89,-2.28
