Utah County, Utah January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,384,70
199002,384,70
199003,384,70
199004,384,70
199005,378,64
199006,415,101
199007,364,49
199008,379,63
199009,426,109
199010,426,109
199011,426,109
199012,426,109
199101,426,112
199102,426,112
199103,426,112
199104,426,112
199105,426,112
199106,394,80
199107,384,69
199108,413,97
199109,360,43
199110,360,43
199111,360,43
199112,360,43
199201,360,46
199202,360,46
199203,360,46
199204,360,46
199205,377,63
199206,387,73
199207,307,-8
199208,301,-15
199209,310,-7
199210,310,-7
199211,310,-7
199212,310,-7
199301,310,-4
199302,310,-4
199303,310,-4
199304,310,-4
199305,304,-10
199306,270,-44
199307,222,-93
199308,153,-163
199309,142,-175
199310,142,-175
199311,142,-175
199312,142,-175
199401,142,-172
199402,142,-172
199403,142,-172
199404,142,-172
199405,145,-169
199406,244,-70
199407,425,110
199408,567,251
199409,596,279
199410,596,279
199411,596,279
199412,596,279
199501,596,282
199502,596,282
199503,596,282
199504,596,282
199505,582,268
199506,482,168
199507,354,39
199508,305,-11
199509,290,-27
199510,290,-27
199511,290,-27
199512,290,-27
199601,290,-24
199602,290,-24
199603,290,-24
199604,290,-24
199605,296,-18
199606,375,61
199607,478,163
199608,467,151
199609,449,132
199610,449,132
199611,449,132
199612,449,132
199701,449,135
199702,449,135
199703,449,135
199704,449,135
199705,454,140
199706,420,106
199707,319,4
199708,309,-7
199709,322,5
199710,322,5
199711,322,5
199712,322,5
199801,322,8
199802,322,8
199803,322,8
199804,322,8
199805,311,-3
199806,264,-50
199807,370,55
199808,372,56
199809,386,69
199810,386,69
199811,386,69
199812,386,69
199901,386,72
199902,386,72
199903,386,72
199904,386,72
199905,386,72
199906,414,100
199907,366,51
199908,343,27
199909,318,1
199910,318,1
199911,318,1
199912,318,1
200001,318,4
200002,318,4
200003,318,4
200004,318,4
200005,330,16
200006,364,50
200007,442,127
200008,527,211
200009,538,221
200010,538,221
200011,538,221
200012,538,221
200101,538,224
200102,538,224
200103,538,224
200104,538,224
200105,541,227
200106,545,231
200107,512,197
200108,511,195
200109,551,234
200110,551,234
200111,551,234
200112,551,234
200201,551,237
200202,551,237
200203,551,237
200204,551,237
200205,542,228
200206,552,238
200207,628,313
200208,548,232
200209,501,184
200210,501,184
200211,501,184
200212,501,184
200301,501,187
200302,501,187
200303,501,187
200304,501,187
200305,503,189
200306,465,151
200307,481,166
200308,541,225
200309,544,227
200310,544,227
200311,544,227
200312,544,227
200401,544,230
200402,544,230
200403,544,230
200404,544,230
200405,543,229
200406,554,240
200407,419,104
200408,311,-5
200409,307,-10
200410,307,-10
200411,307,-10
200412,307,-10
200501,307,-7
200502,307,-7
200503,307,-7
200504,307,-7
200505,306,-8
200506,265,-49
200507,323,8
200508,352,36
200509,353,36
200510,353,36
200511,353,36
200512,353,36
200601,353,39
200602,353,39
200603,353,39
200604,353,39
200605,360,46
200606,435,121
200607,459,144
200608,463,147
200609,455,138
200610,455,138
200611,455,138
200612,455,138
200701,455,141
200702,455,141
200703,455,141
200704,455,141
200705,453,139
200706,453,139
200707,490,175
200708,574,258
200709,586,269
200710,586,269
200711,586,269
200712,586,269
200801,586,272
200802,586,272
200803,586,272
200804,586,272
200805,575,261
200806,523,209
200807,450,135
200808,399,83
200809,397,80
200810,397,80
200811,397,80
200812,397,80
200901,397,83
200902,397,83
200903,397,83
200904,397,83
200905,406,92
200906,384,70
200907,343,28
200908,293,-23
200909,320,3
200910,320,3
200911,320,3
200912,320,3
201001,320,6
201002,320,6
201003,320,6
201004,320,6
201005,311,-3
201006,337,23
201007,347,32
201008,359,43
201009,354,37
201010,354,37
201011,354,37
201012,354,37
201101,354,40
201102,354,40
201103,354,40
201104,354,40
201105,354,40
201106,334,20
201107,304,-11
201108,369,53
201109,361,44
201110,361,44
201111,361,44
201112,361,44
201201,361,47
201202,361,47
201203,361,47
201204,361,47
201205,370,56
201206,436,122
201207,481,166
201208,514,198
201209,519,202
201210,519,202
201211,519,202
201212,519,202
201301,519,205
201302,519,205
201303,519,205
201304,519,205
201305,516,202
201306,522,208
201307,560,245
201308,507,191
201309,490,173
201310,490,173
201311,490,173
201312,490,173
201401,490,176
201402,490,176
201403,490,176
