Utah County, Utah January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,6924,-382
199002,6832,-472
199003,6862,-443
199004,6878,-426
199005,6924,-379
199006,6866,-437
199007,6871,-432
199008,6864,-439
199009,6778,-523
199010,6767,-534
199011,6787,-517
199012,7042,-262
199101,7223,-83
199102,7015,-289
199103,7161,-144
199104,7371,67
199105,7446,143
199106,7494,191
199107,7495,192
199108,7486,183
199109,7599,298
199110,7597,296
199111,7660,356
199112,7420,116
199201,7298,-8
199202,7254,-50
199203,7054,-251
199204,6759,-545
199205,6530,-773
199206,6511,-792
199207,6532,-771
199208,6533,-770
199209,6496,-805
199210,6414,-887
199211,6556,-748
199212,6683,-621
199301,6733,-573
199302,6983,-321
199303,7093,-212
199304,7336,32
199305,7381,78
199306,7483,180
199307,7525,222
199308,7563,260
199309,7615,314
199310,7747,446
199311,7715,411
199312,7583,279
199401,7403,97
199402,7336,32
199403,7255,-50
199404,7168,-136
199405,7145,-158
199406,6972,-331
199407,6903,-400
199408,6852,-451
199409,6758,-543
199410,6777,-524
199411,6833,-471
199412,6794,-510
199501,6855,-451
199502,6589,-715
199503,6675,-630
199504,6782,-522
199505,7024,-279
199506,7202,-101
199507,7226,-77
199508,7235,-68
199509,7266,-35
199510,7237,-64
199511,6869,-435
199512,6780,-524
199601,6802,-504
199602,6999,-305
199603,6996,-309
199604,6950,-354
199605,6804,-499
199606,6644,-659
199607,6620,-683
199608,6622,-681
199609,6715,-586
199610,6721,-580
199611,6858,-446
199612,6940,-364
199701,6990,-316
199702,7090,-214
199703,7041,-264
199704,7121,-183
199705,7052,-251
199706,7091,-212
199707,7115,-188
199708,7117,-186
199709,7042,-259
199710,7022,-279
199711,7024,-280
199712,7136,-168
199801,6995,-311
199802,6919,-385
199803,7020,-285
199804,6980,-324
199805,7081,-222
199806,7220,-83
199807,7196,-107
199808,7195,-108
199809,7158,-143
199810,7181,-120
199811,7161,-143
199812,7128,-176
199901,7142,-164
199902,7090,-214
199903,6977,-328
199904,7052,-252
199905,7105,-198
199906,6996,-307
199907,7004,-299
199908,7011,-292
199909,7109,-192
199910,7000,-301
199911,6828,-476
199912,6787,-517
200001,6775,-531
200002,6694,-610
200003,6789,-516
200004,6523,-781
200005,6361,-942
200006,6314,-989
200007,6306,-997
200008,6287,-1016
200009,6224,-1077
200010,6302,-999
200011,6750,-554
200012,6694,-610
200101,6837,-469
200102,6950,-354
200103,6860,-445
200104,6977,-327
200105,6952,-351
200106,6947,-356
200107,6947,-356
200108,6947,-356
